review_record_id,required_wording_preserved,approved_wording
XREVIEW-043838ca02904ab1e74970ce,True,no paid stage observed in retained evidence
XREVIEW-0e8a5d44759de94aa5fd7f01,True,no paid stage observed in retained evidence
XREVIEW-1058bfc1fe7301bbaadba576,True,no paid stage observed in retained evidence
XREVIEW-13da45a80f180f3f7100e8a4,True,no paid stage observed in retained evidence
XREVIEW-1cffd00c56199421d8efad06,True,no paid stage observed in retained evidence
XREVIEW-278e55e7a817aad9c0e9322c,True,no paid stage observed in retained evidence
XREVIEW-30482af59ad21737ac3cbe89,True,no paid stage observed in retained evidence
XREVIEW-32bdf71889ff74e10c981931,True,no paid stage observed in retained evidence
XREVIEW-4125d5f9d9b8d82da3445b0d,True,no paid stage observed in retained evidence
XREVIEW-4f9a3162d0a83e9d5cee77f0,True,no paid stage observed in retained evidence
XREVIEW-50e0bbc13102467e74eaee92,True,no paid stage observed in retained evidence
XREVIEW-57b21c6433b34803c86d9cfc,True,no paid stage observed in retained evidence
XREVIEW-5a4354a58b182e95c45582ea,True,no paid stage observed in retained evidence
XREVIEW-5d799c8f259c6304ccdcd141,True,no paid stage observed in retained evidence
XREVIEW-5daba48d19411ee77cb1297a,True,no paid stage observed in retained evidence
XREVIEW-5df716afacb8628d3bc9f461,True,no paid stage observed in retained evidence
XREVIEW-679725e10c43990bf21dbb16,True,no paid stage observed in retained evidence
XREVIEW-7ad7eb24dccb0b1d7cce15f5,True,no paid stage observed in retained evidence
XREVIEW-802c65eaa2ff2abf54f9ddb0,True,no paid stage observed in retained evidence
XREVIEW-80ea70ba442209281b9ae868,True,no paid stage observed in retained evidence
XREVIEW-88cb23e87fd5a6fa6718d8d9,True,no paid stage observed in retained evidence
XREVIEW-91d92849ac122b12a1a9da6e,True,no paid stage observed in retained evidence
XREVIEW-949390725738585330b43bfc,True,no paid stage observed in retained evidence
XREVIEW-98ed5982d4cc7b28fb85fe70,True,no paid stage observed in retained evidence
XREVIEW-9aedc5850f7e602324c20e96,True,no paid stage observed in retained evidence
XREVIEW-9e9a873a81f6f0fde05d4b53,True,no paid stage observed in retained evidence
XREVIEW-a2eb03d04ae1d4766fb3fa23,True,no paid stage observed in retained evidence
XREVIEW-b8bb979b95fc013fb556d76f,True,no paid stage observed in retained evidence
XREVIEW-c3233973a13d23744df8c602,True,no paid stage observed in retained evidence
XREVIEW-c70a4010eb6c758e21512655,True,no paid stage observed in retained evidence
XREVIEW-c7a5c05d9d9108a4cdab5a26,True,no paid stage observed in retained evidence
XREVIEW-ccd998f16a42d144b9fabe7a,True,no paid stage observed in retained evidence
XREVIEW-d7cb52b2a1248344ceb2dead,True,no paid stage observed in retained evidence
XREVIEW-dd8b1cdb36670915a2cda958,True,no paid stage observed in retained evidence
XREVIEW-de3af5059730db817b30568c,True,no paid stage observed in retained evidence
XREVIEW-e2f16c78634349e70326f38d,True,no paid stage observed in retained evidence
XREVIEW-eb4ecaedd82ece397a2df837,True,no paid stage observed in retained evidence
XREVIEW-f61b5d9712edd1898bf2a82c,True,no paid stage observed in retained evidence
