readable_conflict_qa_resolution_id,review_queue_row_number,extraction_case_id,page_number,source_observation_ids,source_observation_count,resolution_classification,resolution_status,quantitative_action,non_base_wage_action,retained_quantitative_observation_ids,routed_quantitative_observation_ids,created_non_base_wage_observation_ids,structured_basis,bounded_evidence_pointer,local_evidence_inspected,reason_codes,confidence,unresolved_flag,notes
qares1826_4efd472b193178ee83281c09,1,cex_3aa9b7e69b4a086e1dd2e5b5,8,qobs_37b00ea23114e8bcc3dc5ac6|qobs_d21cb18e2de539057c644ca9,2,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_37b00ea23114e8bcc3dc5ac6|qobs_d21cb18e2de539057c644ca9,,,The page separately labels a 3% general salary increase and 1.75% equity adjustment.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0050_sr_8cdb6ccab3663d30d4acaa57.pdf#page=8,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_57bcf2a1d1f6a76f43f185c0,2,cex_1fa1e412a821765bf0673616,6,qobs_7d59019de0e975088093191b|qobs_696fec269326e7bd405b6a47|qobs_194aeccaaa80ba41e0ff3892|qobs_e68f60236f4804303aaddbdc|qobs_d8cd849b2a621614dad873d6,5,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_7d59019de0e975088093191b|qobs_696fec269326e7bd405b6a47|qobs_194aeccaaa80ba41e0ff3892|qobs_e68f60236f4804303aaddbdc|qobs_d8cd849b2a621614dad873d6,,,Five separately printed salary cells occur in the bounded patrol-officer schedule.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0367_sr_ae7029efe8542a6a8b46ea47.pdf#page=6,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_5d0336327e97c6af554603b3,3,cex_3e940c2d671c549e5967d721,52,qobs_11b9469f7e488b96f3668b4b|qobs_228069350461bb0ef04bff48,2,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_11b9469f7e488b96f3668b4b|qobs_228069350461bb0ef04bff48,,,The bounded grade table contains separate values under the shared grade heading.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0092_sr_0c7dc75c68a7e6c210594482.pdf#page=52,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_6135887131752d18ab0336eb,4,cex_47fc35f9d528af0ec6185b9d,10,qobs_0cfd9130f3db58b13e3ce452|qobs_42d3cc8dbe5f632424a9c61b|qobs_cfbbe915e7ca1784041391f8,3,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_0cfd9130f3db58b13e3ce452|qobs_42d3cc8dbe5f632424a9c61b|qobs_cfbbe915e7ca1784041391f8,,,The training-wage formula displays three separate percentage cells.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0016_sr_8597d3a12fde454e0d499f62.pdf#page=10,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_85f726618e12d7d4f736734d,5,cex_cee255168d800981c6d73c2c,1,qobs_4a3de13b5fb7f05ac75fb3d5|qobs_d6af0550806e19d2ed366dde|qobs_d3b829b3b7531334cbec2405,3,distinct_effective_period,resolved,retain_distinct_active_records,no_change,qobs_4a3de13b5fb7f05ac75fb3d5|qobs_d6af0550806e19d2ed366dde|qobs_d3b829b3b7531334cbec2405,,,"The bounded fiscal-impact table labels wage increases by Year 1, Year 2, and Year 3.",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0029_sr_7ebc1637b23126b4385ddffb.pdf#page=1,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_98591102083229343fecc71f,6,cex_cee255168d800981c6d73c2c,1,qobs_985ddb7a53fed53c92361fdb|qobs_443497d509eb8f225658b2c9,2,insufficient_evidence_needs_review,unresolved,retain_active_flag_unresolved,no_change,qobs_985ddb7a53fed53c92361fdb|qobs_443497d509eb8f225658b2c9,,,Aggregate fiscal-impact dollar estimates are not employee wage cells and lack a safe lane conversion.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0029_sr_7ebc1637b23126b4385ddffb.pdf#page=1,structured_fields_and_single_bounded_local_page,BOUNDED_EVIDENCE_REMAINS_UNDERSPECIFIED,low,true,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_226412afb4f4cf240e3cd37b,7,cex_995a391a0e1cd96a38427d0c,7,qobs_4917b6e99309266ef7a6dee3|qobs_bf626ad61c78b170a00f609e|qobs_25483f7c98b248266bd5479a|qobs_2d75e2647fe72a0255be3171,4,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_4917b6e99309266ef7a6dee3|qobs_bf626ad61c78b170a00f609e|qobs_25483f7c98b248266bd5479a|qobs_2d75e2647fe72a0255be3171,,,Four distinct cells are printed in the bounded scheduled-base-pay evidence.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0013_sr_ab020d2123019581b612bdc6.pdf#page=7,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_0814aca0f58b6e2cb252cc2f,8,cex_f21d2a741f1eed04e42e0c2d,9,qobs_12e05d4539d49c320b1275be|qobs_1cae30f385752047fe790fac,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_12e05d4539d49c320b1275be|qobs_1cae30f385752047fe790fac,,,The bounded page applies 80% and 100% of base wage to first- and second-year officers.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0206_sr_e7d16387446eae680fc8cfb4.pdf#page=9,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_4fc28e6506c6bb6f9aac14e6,9,cex_1b9c6dcb6ff5f24f67c20a67,10,qobs_cf92a3dc861c1c2875f3d418|qobs_de6479fbf8ec223f065e14a9|qobs_c05dd38f896d227982e6bea6|qobs_c9060d480445805c2541a7dd|qobs_59342470b69745f2a0d2239b,5,distinct_effective_period,resolved,retain_distinct_active_records,no_change,qobs_cf92a3dc861c1c2875f3d418|qobs_de6479fbf8ec223f065e14a9|qobs_c05dd38f896d227982e6bea6|qobs_c9060d480445805c2541a7dd|qobs_59342470b69745f2a0d2239b,,,The salary schedule prints separate 2018-2022 annual salary columns.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0231_sr_665ea175902fd4406293ad90.pdf#page=10,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_1d6099e50c1d8cbfe1885e2b,10,cex_428a4513531604e90be3225f,21,qobs_e358cfb5772df5cf1eec2a1f|qobs_fccaa642b32c214385bdbc11,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_e358cfb5772df5cf1eec2a1f|qobs_fccaa642b32c214385bdbc11,,,"The page uses 2,538 hours for shift personnel and 2,080 for 40-hour personnel.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0399_sr_fc81981a4a823d0ab79e75ce.pdf#page=21,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
