verification_id,candidate_queue_row_id,candidate_queue_stable_key,municipality_id,census_gov_id,state,municipality,government_name,candidate_url,candidate_title,candidate_source_type,candidate_priority,candidate_status_before_verification,triage_bucket,duplicate_source_group_id,duplicate_group_size,duplicate_group_role,near_duplicate_candidate_key,population,state_candidate_rows_per_covered,unit_type_scouted,source_owner_type,scout_confidence,triage_score,source_wave,verification_stage
VER-955272e50228873065aa,NSCQ-KS-20260720-0026,NSCQ-KS-20260720-0026,cog_2025_126896,126896,KS,Dodge City,CITY OF DODGE CITY,https://www.dodgecity.org/Archive.aspx?ADID=819,"Memorandum of Understanding (City of Dodge City, Kansas and Fraternal Order of Police, Lodge #49) (01/01/2014–12/31/2014)",cba,high,scheduled,high_priority_later_verify,URL-c43a5a2e030baf9e6b8a,1,primary,KEY-ebc6f90153318a0b5547,27514,1.708333,police,city,high,81,POST-PI-AGGRESSIVE-3X300-ATTEMPT3-LANE2-2026-07-23,candidate_lead_planned_not_verified
VER-a0349489ed4c9973338b,NSCQ-KS-20260720-0035,NSCQ-KS-20260720-0035,cog_2025_164714,164714,KS,Pittsburg,CITY OF PITTSBURG,https://www.pittks.org/wp-content/uploads/2018/12/S-1058-Salary-Ordinance-2019.pdf,S-1058 - Salary Ordinance 2019,ordinance_or_policy,high,scheduled,high_priority_later_verify,URL-e0552f67537328f92a0d,1,primary,KEY-39bfbe550fbf4a9e1f53,20504,1.708333,non_safety,city,medium,94,POST-PI-AGGRESSIVE-3X300-ATTEMPT3-LANE3-2026-07-23,candidate_lead_planned_not_verified
VER-38656844a316d272f3b6,NSCQ-IN-20260720-0002,NSCQ-IN-20260720-0002,cog_2025_163681,163681,IN,Evansville,CITY OF EVANSVILLE,https://evansville.granicus.com/MetaViewer.php?clip_id=6911&meta_id=390911&view_id=12,"Ordinance G-2024-09: Fixing the Salaries of Every Appointive Officer, Employee, Deputy, Assistant, Departmental and Institutional Head of the City of Evansville (Year 2025) and Establishing Salary Administration Procedures",wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-fb6530bebce0789eccf3,1,primary,KEY-e238808b36045f342aa4,115332,1.705882,non_safety,city,medium,85,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-1061173d1ab72f38b65a,NSCQ-IN-20260720-0006,NSCQ-IN-20260720-0006,cog_2025_126081,126081,IN,South Bend,CITY OF SOUTH BEND,https://docs.southbendin.gov/WebLink/0/edoc/104073/Bill%2063-16%20Exhibit%202017%20Nonbargaining%20Salary%20Ordinance.pdf,"2017 Nonbargaining Salary Ordinance Schedule (City of South Bend, Indiana)",wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-88042eeadc0732baf9c4,1,primary,KEY-a1d42893652691805c4f,103395,1.705882,non_safety,city,medium,100,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-273b79cdadc969d78e0a,NSCQ-IN-20260720-0011,NSCQ-IN-20260720-0011,cog_2025_194672,194672,IN,Hammond,CITY OF HAMMOND,https://www.gohammond.com/document_library/city_council_ordinances_and_resolutions/ordinances/2019/Ordinance_9450.pdf,"Ordinance No. 9150 / ""CITY OF HAMMOND CIVIL CITY SALARY ORDINANCE 2020"" (fixing salaries and wages of city officials and employees other than those fixed by statute or prior ordinance)",wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-f01b15a617d7e949bc17,1,primary,KEY-554b8126890ca63d2778,76193,1.705882,non_safety,city,medium,83,POST-PI-PARALLEL-ROUND1-LANE2-2026-07-23,candidate_lead_planned_not_verified
VER-e1f84f56881e645ca6ba,NSCQ-IN-20260720-0014,NSCQ-IN-20260720-0014,cog_2025_194673,194673,IN,Lafayette,CITY OF LAFAYETTE,https://www.lafayette.in.gov/AgendaCenter/ViewFile/Item/19214?fileID=60454,"Ordinance No. 2023-46: An Ordinance Fixing the Salaries of the Appointed Officers and Employees of the City of Lafayette, Indiana, for the Year 2024, Excluding the Sworn Protective Occupation and Law Enforcement Members of the Police and Fire Departments",ordinance_or_policy,high,scheduled,high_priority_later_verify,URL-798ea85be9011656df00,1,primary,KEY-61c4a7351ef9f4c4ed61,71216,1.705882,non_safety,city,medium,94,POST-PI-PARALLEL-ROUND2-3X150-LANE1-2026-07-23,candidate_lead_planned_not_verified
VER-a80cf9825b6194611c53,NSCQ-IN-20260720-0020,NSCQ-IN-20260720-0020,cog_2025_163557,163557,IN,Kokomo,CITY OF KOKOMO,https://cms4files1.revize.com/kokomoin/document_center/council_packet/Council%20Packet%209-9-2024.pdf,Council Packet 9-9-2024 / 2025 Salary Ordinance #7149 (includes AFSCME Local 2185 hourly salary rates for non-public-safety employees),wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-f833e06e5041911364cb,2,primary,KEY-cf933fb4328b65425c8c,59890,1.705882,non_safety,city,medium,97,POST-PI-PARALLEL-ROUND2-3X150-LANE1-2026-07-23,candidate_lead_planned_not_verified
VER-571db88fd281d3616e83,NSCQ-IN-20260720-0021,NSCQ-IN-20260720-0021,cog_2025_163557,163557,IN,Kokomo,CITY OF KOKOMO,https://cms4files1.revize.com/kokomoin/document_center/council_packet/Council%20Packet%209-9-2024.pdf,Council Packet 9-9-2024 / 2025 Salary Ordinance #7149 (includes contractual police compensation/rates and longevity/overtime/call-in pay terms for sworn police),wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-f833e06e5041911364cb,2,linked_duplicate,KEY-9230c24a8144ed3b130a,59890,1.705882,police,city,medium,70,POST-PI-PARALLEL-ROUND2-3X150-LANE1-2026-07-23,candidate_lead_planned_not_verified
VER-70d120ece9a727fd65e6,NSCQ-IN-20260720-0036,NSCQ-IN-20260720-0036,cog_2025_163644,163644,IN,Portage,CITY OF PORTAGE,https://www.portagein.gov/DocumentCenter/View/4741/Police-150-CBA_2022-2024,Police 150 CBA 2022-2024,cba,high,scheduled,high_priority_later_verify,URL-2a2b6acf8d3875b0813d,1,primary,KEY-b69d9415100c6613c334,38513,1.705882,police,city,medium,100,POST-PI-PARALLEL-ROUND2-3X150-LANE3-2026-07-23,candidate_lead_planned_not_verified
VER-030cd1572bddde24d71c,NSCQ-IN-20260720-0038,NSCQ-IN-20260720-0038,cog_2025_163644,163644,IN,Portage,CITY OF PORTAGE,https://www.portagein.gov/DocumentCenter/View/4730/Public-Employees-150-CBA_2022-2024,Public Employees 150 CBA 2022-2024,cba,high,scheduled,high_priority_later_verify,URL-053bc30145c616e0e5f2,1,primary,KEY-5960e4d132f05de4c9d7,38513,1.705882,non_safety,city,medium,100,POST-PI-PARALLEL-ROUND2-3X150-LANE3-2026-07-23,candidate_lead_planned_not_verified
VER-4f9a4266d2bb31ca310d,NSCQ-IN-20260720-0047,NSCQ-IN-20260720-0047,cog_2025_190105,190105,IN,Goshen,CITY OF GOSHEN,https://goshenindiana.org/media/uploads/1/14314_2023-10-30-Council-Packet-Web.pdf,Ordinance 5166 – 2024 Compensation for Civil City and Utilities Employees,wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-b889ebb9a389588b418b,3,primary,KEY-eb76b4acb9ff0749665e,34355,1.705882,non_safety,city,medium,100,POST-PI-PARALLEL-ROUND2-3X150-LANE3-2026-07-23,candidate_lead_planned_not_verified
VER-d1835989cfba76689d37,NSCQ-IN-20260720-0048,NSCQ-IN-20260720-0048,cog_2025_190105,190105,IN,Goshen,CITY OF GOSHEN,https://goshenindiana.org/media/uploads/1/14314_2023-10-30-Council-Packet-Web.pdf,Ordinance 5168 – 2024 Compensation for Police Department Employees,wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-b889ebb9a389588b418b,3,linked_duplicate,KEY-462913db99744bb7db5d,34355,1.705882,police,city,medium,100,POST-PI-PARALLEL-ROUND2-3X150-LANE3-2026-07-23,candidate_lead_planned_not_verified
VER-54b0b738503c9ec2c050,NSCQ-IN-20260720-0049,NSCQ-IN-20260720-0049,cog_2025_190105,190105,IN,Goshen,CITY OF GOSHEN,https://goshenindiana.org/media/uploads/1/14314_2023-10-30-Council-Packet-Web.pdf,Ordinance 5167 – 2024 Compensation for Fire Department Employees,wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-b889ebb9a389588b418b,3,linked_duplicate,KEY-62411bb7b9c90431e183,34355,1.705882,fire,city,medium,100,POST-PI-PARALLEL-ROUND2-3X150-LANE3-2026-07-23,candidate_lead_planned_not_verified
VER-b9ec85ab31400a0b292c,NSCQ-FL-20260720-0002,NSCQ-FL-20260720-0002,cog_2025_101942,101942,FL,Jacksonville,CITY OF JACKSONVILLE,https://www.jacksonville.gov/getattachment/Departments/Employee-Services/Labor-Relations/2024-2027-Police-Lieutenants-Captains.pdf?lang=en-US,"F.O.P. LIEUTENANTS & CAPTAINS (Collective Bargaining Agreement), October 1, 2024 - September 30, 2027",cba,high,scheduled,high_priority_later_verify,URL-b1f15c6bfed8c29b959d,1,primary,KEY-473cc59c6695ab6e5eea,985843,1.662069,police,city,medium,91,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-6a23d593d9c0ffb053b2,NSCQ-FL-20260720-0005,NSCQ-FL-20260720-0005,cog_2025_194757,194757,FL,Miami,CITY OF MIAMI,https://archive.miamigov.com/employeerel/pages/labor/union_contracts/FOP_LODGE_NO20-OCT12018-SEP302021.pdf,"AGREEMENT BETWEEN CITY OF MIAMI, MIAMI, FLORIDA AND FRATERNAL ORDER OF POLICE, WALTER E. HEADLEY, JR., MIAMI LODGE NO. 20",cba,high,scheduled,high_priority_later_verify,URL-c67fbe980d879c6b4d93,1,primary,KEY-ed6ced9e46ca464f8954,455924,1.662069,police,city,medium,91,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-1f3b102b63c3262d19fe,NSCQ-FL-20260720-0008,NSCQ-FL-20260720-0008,cog_2025_194757,194757,FL,Miami,CITY OF MIAMI,https://archive.miamigov.com/employeerel/pages/labor/Labor%20Contracts/AFSCME%201907/AFSCME%20LOCAL%201907%20CONTRACT%202020-2023%20Official.pdf,"AGREEMENT BETWEEN CITY OF MIAMI, MIAMI, FLORIDA AND MIAMI GENERAL EMPLOYEES AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES LOCAL 1907, AFL-CIO",cba,high,scheduled,high_priority_later_verify,URL-92125148b21acb33a64d,1,primary,KEY-77ff8f243063a686b94c,455924,1.662069,non_safety,city,medium,91,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-c1166afccaeae38549b8,NSCQ-FL-20260720-0011,NSCQ-FL-20260720-0011,cog_2025_161665,161665,FL,Orlando,CITY OF ORLANDO,https://www.seiufpsu.org/wp-content/uploads/2023/04/SEIU-Orlando-CBA-22-25.pdf,"AGREEMENT — City of Orlando & SEIU Florida Public Services Union (Professional Unit, Supervisory & White-Collar Units) (October 1, 2022 through September 30, 2025)",cba,high,scheduled,high_priority_later_verify,URL-af400d6291b9d2c32016,1,primary,KEY-2a9477571b981f26e9d8,320742,1.662069,non_safety,union,high,96,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-cdfe87b667a32fa9aafc,NSCQ-FL-20260720-0014,NSCQ-FL-20260720-0014,cog_2025_161693,161693,FL,St. Petersburg,CITY OF ST PETERSBURG,https://www.seiufpsu.org/wp-content/uploads/2024/07/COSP-BCU-WCU-FY24-26-Contract.pdf,AGREEMENT BETWEEN THE CITY OF ST. PETERSBURG AND THE FLORIDA PUBLIC SERVICES UNION (FPSU) (Service Employees International Union) - White Collar Bargaining Unit & Blue Collar Bargaining Unit,cba,high,scheduled,high_priority_later_verify,URL-2e399a315af9dd9287c8,1,primary,KEY-b2b0b40238f496f0261d,263553,1.662069,non_safety,union,medium,99,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-0d599d04542e9d5dd2ef,NSCQ-FL-20260720-0020,NSCQ-FL-20260720-0020,cog_2025_161604,161604,FL,Hialeah,CITY OF HIALEAH,https://www.hialeahfl.gov/DocumentCenter/View/18140/Agreement-Between-City-of-Hialeah-FL-and-FOP-Lodge-No-12-October-1-2023---September-30-2026pdf,"Agreement Between City of Hialeah, FLorida and Fraternal Order of Police Lodge No. 12 October 1, 2023 - September 30, 2026",cba,high,scheduled,high_priority_later_verify,URL-2ec09e44e65f534a2835,1,primary,KEY-ffa357af17e33c6a2d26,221300,1.662069,police,city,high,91,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
