packet_id,retained_source_id,rating_lane_id,stage,attempt,request_id,backend,model,status,schema_valid,input_sha256,input_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
BRMGRP-20260802-6b06f5509c6b00417ca10be2,RMSRD-20260802-4f755739cace3dc17236,gabriel_rating_lane_001,live,1,resp_07169fce9f415d12006a6fbbdb28188197b270a79fd65d5168,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,538c85b30ae50074dc4fcac949a6b55655f1890f917b8149172bf4fc06ba9b18,21194,5758,6163,11921,43.114635,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-6b06f5509c6b00417ca10be2,RMSRD-20260802-4f755739cace3dc17236,gabriel_rating_lane_001,live,2,resp_036276628fa3a6e4006a6fbc06007481949195908321425111,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,e6135a0cd00338ba655bd9aa40e863a16de93ecb66dae94e76680d6654bde9c2,21335,5782,4818,10600,34.150098,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-90519ced55d4e709729fdadf,RMSRD-20260802-b410aa1534004d474cc3,gabriel_rating_lane_001,live,1,resp_0571627bb1b2bc89006a6fbbdb2eec81968c0e5040eba47cda,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,3187c44542d15de020c29216254dbfbadbb6991769b2e4acd4e6b436693ba2e1,19240,5248,4648,9896,32.717496,,,false,false
BRMGRP-20260802-6aad94f4c96689982ab9786d,RMSRD-20260802-477074bcd3ea543d1bae,gabriel_rating_lane_001,live,1,resp_01c6e8dbf355d298006a6fbbdb29948193834d0c2c48651e02,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,21b6ae1109f9579a05a31c0c2a7b9bc1ab088b9edeb53e55f58d9f4ca3454e9c,18894,5047,4547,9594,32.539793,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-6aad94f4c96689982ab9786d,RMSRD-20260802-477074bcd3ea543d1bae,gabriel_rating_lane_001,live,2,resp_07efaa6eaa1398d8006a6fbc060b34819098f3afc60a9099f5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,ca07af81c09f9fba6c11806af6e87bdb07069bfd2dd52faf84417cdaf78ab428,19035,5071,4493,9564,29.129849,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-bc0621340735142830b31727,RMSRD-20260802-377f97023dc29ad8b684,gabriel_rating_lane_001,live,1,resp_00c6312833b265c2006a6fbbdb2dbc8190b51b8a7706d38fce,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,4e8f6625bdc504630deb2a75b426a846bdd8df3cadc79dbc0c9ae07535dd285f,19208,5027,4787,9814,32.656431,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-bc0621340735142830b31727,RMSRD-20260802-377f97023dc29ad8b684,gabriel_rating_lane_001,live,2,resp_0a3ebf5964824262006a6fbc0606bc8196be5fb225324a91ff,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,f175283c07861df843eb3cf587387f9445832c331734941edf35d5454d8bfc3a,19349,5051,5847,10898,37.389675,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-11dcf2efab95a2988b9ddb8b,RMSRD-20260802-089829f8f0113ce3b8de,gabriel_rating_lane_001,live,1,resp_0a088b2463a38940006a6fbbdb26608194a145d9d4851475d5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,6f003c6453db59ab771f77957e9e5e96b294d9ac155bf102f9e10d14c85409af,18702,5096,4707,9803,33.555763,,span_order_or_membership_changed,false,false
BRMGRP-20260802-11dcf2efab95a2988b9ddb8b,RMSRD-20260802-089829f8f0113ce3b8de,gabriel_rating_lane_001,live,2,resp_0dbed26aaa6a7cde006a6fbc061a508196b050aa7df4e45d5c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,d3978507a36a0870aaa95c02cb63099721a47bbbe1d972968104c88f7e3b93ff,18843,5120,4743,9863,29.528255,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-efb703e579f4ebad2ff07fc4,RMSRD-20260802-67d5c9a12fad6754ba55,gabriel_rating_lane_001,live,1,resp_0c107f7a3b9b9fcf006a6fbbdb29448193bd2e25b03fe9ee86,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,cb6cb3414e689629302aeebba4cdea78ba29f967f58b3a78d593a5f6bfef8e43,18466,5061,5371,10432,36.732577,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-efb703e579f4ebad2ff07fc4,RMSRD-20260802-67d5c9a12fad6754ba55,gabriel_rating_lane_001,live,2,resp_040a6f766501e0a6006a6fbc0606d0819780b4cba1489d07f4,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,93ef0e714c4c41fc375b4da78291b880c173f59c01aed0bfc3ca968dcfd3b2a8,18607,5085,4087,9172,25.297604,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-be122e164aed5bf45ed2cb04,RMSRD-20260802-4130d7de180c9c84f6b6,gabriel_rating_lane_001,live,1,resp_0f26be528123b86a006a6fbc2e86c48197a2db124e463fa937,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,f8608a6c490e8488345600c82338ea1a8c3042ca15649e2de43486fdc3d2f56a,19427,5014,5276,10290,35.896822,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-be122e164aed5bf45ed2cb04,RMSRD-20260802-4130d7de180c9c84f6b6,gabriel_rating_lane_001,live,2,resp_03dc4f45c2bc2b92006a6fbc55b0dc8197bd7f378be477059d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,43e0a21e228ec1a5f319bbc25f8a75848f088c87322dff409ddacf76e13b6d34,19568,5038,5882,10920,41.081104,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-0450165460dde8051c3dff76,RMSRD-20260802-c8fcf57e17a2198f5440,gabriel_rating_lane_001,live,1,resp_06beaf75370f69eb006a6fbc2e87b48193850f5bd6c2cd8ea4,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,f5a3162e4e41320e8022678865578c94c89d376911752ff2ebbeb6dd900dd46f,18317,4945,4221,9166,29.173492,,direct_qualitative_support_without_mechanism_signal,false,false
BRMGRP-20260802-0450165460dde8051c3dff76,RMSRD-20260802-c8fcf57e17a2198f5440,gabriel_rating_lane_001,live,2,resp_0e7dabca87407721006a6fbc55b3c88194b85a32d94c21571a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,50e0cb8385108e304a080701dae482ddd4d4831c82ae4e731dbda33f06a8f070,18458,4969,3991,8960,27.247302,,side_relevance_overclassified,false,false
BRMGRP-20260802-06cc1fcf46ccec68d9e170c4,RMSRD-20260802-a77398525eee16bdd7e0,gabriel_rating_lane_001,live,1,resp_09823548e271bae5006a6fbc2e88fc8197893d43dfd42eb14a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,4824d709589fd250a8c3ebf91910f6413e30baac070f83b6b426fcf818aa87bf,18115,4902,4214,9116,31.656014,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-06cc1fcf46ccec68d9e170c4,RMSRD-20260802-a77398525eee16bdd7e0,gabriel_rating_lane_001,live,2,resp_09a81a0832c1c126006a6fbc5787588193accee8020795a720,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,8b16399db8755580314514b4fd4053a35d15b2404550865367af1ff011e7ed6d,18256,4926,4194,9120,27.757627,,,false,false
BRMGRP-20260802-b1f8ff27d87ee695b2a4d18b,RMSRD-20260802-ac7523d94bfc6d122ed6,gabriel_rating_lane_001,live,1,resp_07f11376d83b5fe7006a6fbc2e8ce4819086e669062bd4df33,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,108457d450cd6384ffacf3f0963c238bbe79d514b901518e49f57ee4a89b4ab4,18406,4912,5388,10300,38.274752,,side_relevance_overclassified,false,false
BRMGRP-20260802-b1f8ff27d87ee695b2a4d18b,RMSRD-20260802-ac7523d94bfc6d122ed6,gabriel_rating_lane_001,live,2,resp_0902604627400b73006a6fbc55b4108197894fe1d3e94014cc,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,7935f050db8cdd769edccac38f3b5e594d1f6577870b26d461e87b3e3c2fc57a,18547,4936,4711,9647,33.359099,,direct_qualitative_support_without_mechanism_signal,false,false
BRMGRP-20260802-36dddb3d396c0e6bf98c79c3,RMSRD-20260802-3024f170ebbb67b6eb1f,gabriel_rating_lane_001,live,1,resp_046f45397e29b34a006a6fbc2ea15081958e7016395d8c3324,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,fac6103690522a22ef68d1b14d63eb1fc2cbeb91bfa614f997d6db3758cc8edc,18225,4937,5749,10686,42.258935,,,false,false
BRMGRP-20260802-e5da4a02cbdb64009c0ef257,RMSRD-20260802-1858e1c52f4c7b2d2cac,gabriel_rating_lane_001,live,1,resp_03c68c39719309fd006a6fbc2e8a388194b52eada8b0df166a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,c06363aafc2ff600be66823efe48e4c41ebb6bd362797f635d816a7a92a454c3,17747,4726,3961,8687,26.927019,,span_order_or_membership_changed,false,false
BRMGRP-20260802-e5da4a02cbdb64009c0ef257,RMSRD-20260802-1858e1c52f4c7b2d2cac,gabriel_rating_lane_001,live,2,resp_08668f75b64799a7006a6fbc55b4b481979fc10912ff9879a1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,814f390cfe61a1a169cc6c180734687226fbb5540e4a899cca54bf7179565523,17888,4750,4254,9004,28.764298,,direct_quantitative_support_without_quantitative_signal,false,false
BRMGRP-20260802-0e51bf06168db7a18f986301,RMSRD-20260802-1729290abad86f0d41aa,gabriel_rating_lane_001,live,1,resp_09057e90a5843e2e006a6fbc81f350819397f9c475ba679858,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,c4222fb6c0254cd830ced3220051093598b43e2e8d0e99c8245077ae33189a56,18556,4814,5200,10014,34.773513,,,false,false
BRMGRP-20260802-0d17c8a11f6f34eb1d8abb4c,RMSRD-20260802-ab5cc6813be42edb5fd7,gabriel_rating_lane_001,live,1,resp_0cf452e18492d7b8006a6fbc81f07c8197bb54efb12bb7e4e6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,d9765026005f6883cab735f335f198adf7458730f688319f609e1726898a34c6,18479,4981,5309,10290,38.483117,,direct_qualitative_support_without_mechanism_signal,false,false
BRMGRP-20260802-0d17c8a11f6f34eb1d8abb4c,RMSRD-20260802-ab5cc6813be42edb5fd7,gabriel_rating_lane_001,live,2,resp_0a5016c4b9cd9381006a6fbcaa93708195a8fb22d98ab5914a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,0c443d4dc53c6e713ea36aafa87aec03311c83a6c74a58406a18e5e888fae2c9,18620,5005,4013,9018,27.065312,,direct_qualitative_support_without_mechanism_signal,false,false
