source_rating_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,priority_bucket,cba_non_cba_hint,mechanism_source_family_hints,span_count,quantitative_input_span_count,qualitative_input_span_count,input_span_ids_sha256,packet_id,packet_input_sha256,packet_input_char_count,rating_lane_id,rating_lane_sequence
BRMGRS-20260802-e3bea04534222f4538a6c206,RMSRD-20260802-4f755739cace3dc17236,RMSRD-20260802-4f755739cace3dc17236,BRM5C-BRM5-20260731-13468-04,Delaware,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,31,17,14,4da6c0759242db50273417190416f59f8c52e0607a383eb6efce66705eee8c0e,BRMGRP-20260802-6b06f5509c6b00417ca10be2,e77b2f99d4efea335c766881eb0f3301b9a0142f3db317853c806775ae5b1bcd,19965,gabriel_rating_lane_001,1
BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,RMSRD-20260802-b410aa1534004d474cc3,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,28,14,14,cc55ae3143e1b7411ceddf9921f98248aca34c0bc5ccabc501102a2dd04b0bd7,BRMGRP-20260802-90519ced55d4e709729fdadf,ca5131328e94df77e5f338bd60371e8d56efbd402fd0609c39a3ea5d93377733,18011,gabriel_rating_lane_001,2
BRMGRS-20260802-5574980324c1e88bc178473b,RMSRD-20260802-477074bcd3ea543d1bae,RMSRD-20260802-477074bcd3ea543d1bae,BRM5C-BRM5-20260731-16084-01,Grosse Ile,MI,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,27,12,15,451330aed8f9ca845c4489ce4d7210a1a5f3598114839f1c8a63bf1ecdf3c0e9,BRMGRP-20260802-6aad94f4c96689982ab9786d,6819bcf057bcece25b9701d0480f78931f092b9588fcc3b456da354dbefe9a17,17665,gabriel_rating_lane_001,3
BRMGRS-20260802-53915794a65bb26348f62b2c,RMSRD-20260802-377f97023dc29ad8b684,RMSRD-20260802-377f97023dc29ad8b684,BRM5C-BRM5-20260731-17312-02,Muskingum,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,27,10,17,70ed60b54d6634027f965b4bf8f0a7bc5b5b27653899d50395bcbf4a28a3bb8a,BRMGRP-20260802-bc0621340735142830b31727,aa7d0d7c8801de80e15bedd9cdc8d0d5ec31353d796fe558aad3cf365a0c871c,17979,gabriel_rating_lane_001,4
BRMGRS-20260802-be98705f0b43bb7296333732,RMSRD-20260802-089829f8f0113ce3b8de,RMSRD-20260802-089829f8f0113ce3b8de,BRM5C-BRM5-20260731-14574-01,New Britain,PA,Northeast,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,,27,15,12,941e9b45d84b0559de4f39beb981c38a3449eb4d375e4ae761d12cf13ae41c9a,BRMGRP-20260802-11dcf2efab95a2988b9ddb8b,bca2555c067cb6242077e0dd34615cc1912135b507478e991e33b2115313486b,17473,gabriel_rating_lane_001,5
BRMGRS-20260802-1d6fbd3b9bf795761aa04137,RMSRD-20260802-67d5c9a12fad6754ba55,RMSRD-20260802-67d5c9a12fad6754ba55,BRM5C-BRM5-20260731-14906-01,New Fairview,TX,South,pdf,personnel_policy,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,27,9,18,4c0396fbfcc30ab5aaa05cc97eb5ca9b8be2cca5d754ccd457bc7fa33526a793,BRMGRP-20260802-efb703e579f4ebad2ff07fc4,2c1df434bee6190305d4175be61762a74d23821159350c730d4b6c0a08cbd189,17237,gabriel_rating_lane_001,6
BRMGRS-20260802-e9da767a2885e73b01c61a2a,RMSRD-20260802-4130d7de180c9c84f6b6,RMSRD-20260802-4130d7de180c9c84f6b6,BRM5C-BRM5-20260731-09888-01,Sandusky,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,26,13,13,d97fcf05c50604cdd5382aa06fb7e45a2fb257db47f535dece324bd08735db57,BRMGRP-20260802-be122e164aed5bf45ed2cb04,c18b30244012cf97bd1774cd9174feafa7df6786ed2e89b7272a2975a882216a,18198,gabriel_rating_lane_001,7
BRMGRS-20260802-2d858ced4fcd0a47376e1c26,RMSRD-20260802-c8fcf57e17a2198f5440,RMSRD-20260802-c8fcf57e17a2198f5440,BRM5C-BRM5-20260731-13483-01,Franklin,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,26,15,11,a21c9f295aab469a0b2c2bbba17c09f19ede0b7d14e0048998266006838938eb,BRMGRP-20260802-0450165460dde8051c3dff76,93d8a4ff2481439b84ac125719e988d773fb5b62281f287d88a29a52e534670e,17088,gabriel_rating_lane_001,8
BRMGRS-20260802-826ffacd36837db576eecc01,RMSRD-20260802-a77398525eee16bdd7e0,RMSRD-20260802-a77398525eee16bdd7e0,BRM5C-BRM5-20260731-14215-01,Kinderhook,NY,Northeast,pdf,factfinding_report,medium_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint;market_or_comparability_pressure;non_safety_constraint_signal,26,12,14,56537c952dc90d3ef310e7a84a85695c2d379b2770ebd6592c489c37e4e2ccc1,BRMGRP-20260802-06cc1fcf46ccec68d9e170c4,d630f292c307c8bfa0eacb7628b7e986558deffb181e40536594c075fab9aa00,16886,gabriel_rating_lane_001,9
BRMGRS-20260802-267c904a6cfd32901531f142,RMSRD-20260802-ac7523d94bfc6d122ed6,RMSRD-20260802-ac7523d94bfc6d122ed6,BRM5C-BRM5-20260731-04774-01,Antrim,MI,Midwest,pdf,wage_schedule,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,26,11,15,257d802f8048c911d565944f2d833805cbcf0fc55a2d01eacdfdb96c9251acc5,BRMGRP-20260802-b1f8ff27d87ee695b2a4d18b,471966514bc25f6c32c3c2817dead9ab2aff48368a5c13a8e6ed534bc0860136,17177,gabriel_rating_lane_001,10
