source_rating_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,cba_non_cba_hint,priority_bucket,span_count_rated,quantitative_span_count_rated,qualitative_span_count_rated,strongest_claim_readiness_bucket,strongest_downstream_use_bucket,strongest_mechanism_type,strongest_mechanism_strength_level,has_direct_quantitative_compensation_support,has_qualitative_mechanism_support,has_mixed_quant_qual_support,has_safety_side_relevance,has_non_safety_side_relevance,has_comparison_potential,has_growth_continuity_potential,has_non_base_compensation_evidence,has_bargaining_or_dispute_process_evidence,source_claim_use_rating,source_rating_confidence,source_rating_rationale,quarantine_flag,quarantine_reason,packet_ids_used,rating_lane_id,claim_boundary,global_analysis_readiness,ingestion_status,codification_status,normalization_status,matching_status,source_locator_lineage
BRMGRS-20260802-e3bea04534222f4538a6c206,RMSRD-20260802-4f755739cace3dc17236,RMSRD-20260802-4f755739cace3dc17236,BRM5C-BRM5-20260731-13468-04,Delaware,OH,Midwest,pdf,cba,cba_arbitration_factfinding_hint,high_priority_verification_ready,31,17,14,quantitative_direct_text_claim_ready,core_finding_candidate,quant_percentage_raise_or_cola,moderate,true,true,true,false,false,false,false,true,false,core_finding_candidate,0.8555,Aggregated 31 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-6b06f5509c6b00417ca10be2,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-13468-04"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-09-0943.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-09-0943.pdf"", ""scout_target_id"": ""BRM5-20260731-13468""}"
BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,RMSRD-20260802-b410aa1534004d474cc3,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,pdf,cba,cba_arbitration_factfinding_hint,medium_priority_verification_ready,28,14,14,quantitative_direct_text_claim_ready,core_finding_candidate,quant_overtime_or_holiday_rate,moderate,true,true,true,true,false,false,false,true,true,core_finding_candidate,0.8571,Aggregated 28 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-90519ced55d4e709729fdadf,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRS-20260802-5574980324c1e88bc178473b,RMSRD-20260802-477074bcd3ea543d1bae,RMSRD-20260802-477074bcd3ea543d1bae,BRM5C-BRM5-20260731-16084-01,Grosse Ile,MI,Midwest,pdf,cba,cba_arbitration_factfinding_hint,medium_priority_verification_ready,27,12,15,mixed_quant_qual_claim_ready,core_finding_candidate,quant_other_compensation_value,central,true,true,true,true,false,false,false,true,true,core_finding_candidate,0.8585,Aggregated 27 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-6aad94f4c96689982ab9786d,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-16084-01"", ""final"": ""https://grosseile.civicweb.net/document/38737"", ""original"": ""https://grosseile.civicweb.net/document/38737/"", ""scout_target_id"": ""BRM5-20260731-16084""}"
BRMGRS-20260802-53915794a65bb26348f62b2c,RMSRD-20260802-377f97023dc29ad8b684,RMSRD-20260802-377f97023dc29ad8b684,BRM5C-BRM5-20260731-17312-02,Muskingum,OH,Midwest,pdf,cba,cba_arbitration_factfinding_hint,high_priority_verification_ready,27,10,17,quantitative_direct_text_claim_ready,core_finding_candidate,quant_overtime_or_holiday_rate,moderate,true,true,true,false,false,false,false,true,true,core_finding_candidate,0.8563,Aggregated 27 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-bc0621340735142830b31727,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-17312-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-05-0575.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-05-0575.pdf"", ""scout_target_id"": ""BRM5-20260731-17312""}"
BRMGRS-20260802-be98705f0b43bb7296333732,RMSRD-20260802-089829f8f0113ce3b8de,RMSRD-20260802-089829f8f0113ce3b8de,BRM5C-BRM5-20260731-14574-01,New Britain,PA,Northeast,pdf,cba,cba_arbitration_factfinding_hint,high_priority_verification_ready,27,15,12,quantitative_direct_text_claim_ready,core_finding_candidate,quant_stipend_or_premium,moderate,true,true,true,true,false,false,false,true,false,core_finding_candidate,0.8711,Aggregated 27 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-11dcf2efab95a2988b9ddb8b,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-14574-01"", ""final"": ""https://bcato.org/media/1633/contract.pdf"", ""original"": ""https://www.bcato.org/media/1633/contract.pdf"", ""scout_target_id"": ""BRM5-20260731-14574""}"
BRMGRS-20260802-1d6fbd3b9bf795761aa04137,RMSRD-20260802-67d5c9a12fad6754ba55,RMSRD-20260802-67d5c9a12fad6754ba55,BRM5C-BRM5-20260731-14906-01,New Fairview,TX,South,pdf,personnel_policy,non_cba_or_unresolved_hint,high_priority_verification_ready,27,9,18,quantitative_direct_text_claim_ready,supporting_example_candidate,quant_stipend_or_premium,strong,true,true,true,false,false,false,false,true,false,supporting_example_candidate,0.8681,Aggregated 27 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use supporting_example_candidate.,false,,BRMGRP-20260802-efb703e579f4ebad2ff07fc4,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-14906-01"", ""final"": ""https://storage.googleapis.com/proudcity/newfairviewtx/2024/04/4_15_24-Agenda-Packet.pdf"", ""original"": ""https://storage.googleapis.com/proudcity/newfairviewtx/2024/04/4_15_24-Agenda-Packet.pdf"", ""scout_target_id"": ""BRM5-20260731-14906""}"
BRMGRS-20260802-e9da767a2885e73b01c61a2a,RMSRD-20260802-4130d7de180c9c84f6b6,RMSRD-20260802-4130d7de180c9c84f6b6,BRM5C-BRM5-20260731-09888-01,Sandusky,OH,Midwest,pdf,cba,cba_arbitration_factfinding_hint,high_priority_verification_ready,26,13,13,mixed_quant_qual_claim_ready,core_finding_candidate,qual_market_recruitment_retention_pressure,moderate,true,true,true,false,false,false,false,true,true,core_finding_candidate,0.8731,Aggregated 26 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-be122e164aed5bf45ed2cb04,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-09888-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-08-0632.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-08-0632.pdf"", ""scout_target_id"": ""BRM5-20260731-09888""}"
BRMGRS-20260802-2d858ced4fcd0a47376e1c26,RMSRD-20260802-c8fcf57e17a2198f5440,RMSRD-20260802-c8fcf57e17a2198f5440,BRM5C-BRM5-20260731-13483-01,Franklin,OH,Midwest,pdf,cba,cba_arbitration_factfinding_hint,high_priority_verification_ready,26,15,11,mixed_quant_qual_claim_ready,core_finding_candidate,quant_step_schedule_progression,moderate,true,true,true,true,false,false,false,true,true,core_finding_candidate,0.8677,Aggregated 26 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-0450165460dde8051c3dff76,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-13483-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0017.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0017.pdf"", ""scout_target_id"": ""BRM5-20260731-13483""}"
BRMGRS-20260802-826ffacd36837db576eecc01,RMSRD-20260802-a77398525eee16bdd7e0,RMSRD-20260802-a77398525eee16bdd7e0,BRM5C-BRM5-20260731-14215-01,Kinderhook,NY,Northeast,pdf,factfinding_report,cba_arbitration_factfinding_hint,medium_priority_verification_ready,26,12,14,quantitative_direct_text_claim_ready,core_finding_candidate,quant_overtime_or_holiday_rate,moderate,true,true,true,false,false,false,false,true,true,core_finding_candidate,0.8623,Aggregated 26 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-06cc1fcf46ccec68d9e170c4,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-14215-01"", ""final"": ""https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/85/44/59/85445921641594557227811551705330764477"", ""original"": ""https://ecommons.cornell.edu/bitstreams/44ef4a8a-2af2-4125-8c8c-dd37fd019615/download"", ""scout_target_id"": ""BRM5-20260731-14215""}"
BRMGRS-20260802-267c904a6cfd32901531f142,RMSRD-20260802-ac7523d94bfc6d122ed6,RMSRD-20260802-ac7523d94bfc6d122ed6,BRM5C-BRM5-20260731-04774-01,Antrim,MI,Midwest,pdf,wage_schedule,non_cba_or_unresolved_hint,high_priority_verification_ready,26,11,15,quantitative_direct_text_claim_ready,core_finding_candidate,quant_overtime_or_holiday_rate,weak,true,true,true,true,false,false,false,true,true,core_finding_candidate,0.8669,Aggregated 26 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use core_finding_candidate.,false,,BRMGRP-20260802-b1f8ff27d87ee695b2a4d18b,gabriel_rating_lane_001,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-04774-01"", ""final"": ""https://cms5.revize.com/revize/antrim/human%20resources/Union%20Contracts/2025%20Command%20Agreement%20Employer%20Proposal%20Final.pdf"", ""original"": ""https://cms5.revize.com/revize/antrim/human%20resources/Union%20Contracts/2025%20Command%20Agreement%20Employer%20Proposal%20Final.pdf"", ""scout_target_id"": ""BRM5-20260731-04774""}"
