source_rating_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,priority_bucket,cba_non_cba_hint,mechanism_source_family_hints,span_count,quantitative_input_span_count,qualitative_input_span_count,input_span_ids_sha256,packet_id,packet_input_sha256,packet_input_char_count,rating_lane_id,rating_lane_sequence
BRMGRS-20260802-760324a0019242c1dbda9d18,RMSRD-20260802-d3b44ce16ca0f617fa19,RMSRD-20260802-d3b44ce16ca0f617fa19,BRM5C-BRM5-20260731-08247-02,Augusta,KS,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,30,17,13,9adf3e9fc11abbc2018a97122634e4eec08d389a8d33f4f14686a1100f26f93e,BRMGRP-20260802-0afc5ad1471c9e295fd216fc,7800a4ef48b79eb11ff5e5dad615561744c816132b06e5e96fae3bf18e7945ae,19217,gabriel_rating_lane_003,1
BRMGRS-20260802-766149a30c0375a9f5f0ca97,RMSRD-20260802-ff8daa6cf53237db9803,RMSRD-20260802-ff8daa6cf53237db9803,BRM5C-BRM5-20260731-10397-01,Batavia,NY,Northeast,pdf,arbitration_award,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,28,15,13,513407ec48792defda0456bc5932e98007086311599faec3e6544a183f552a90,BRMGRP-20260802-78b3f76dd2f57592a328e3c4,63b287d008ee6f072cfb0ddf6c3eea5152c46054777ddc10b227857e2b5207ce,17578,gabriel_rating_lane_003,2
BRMGRS-20260802-676c542e888f0ef41dafe7e3,RMSRD-20260802-fd7174b8933bf0eca5aa,RMSRD-20260802-fd7174b8933bf0eca5aa,BRM5C-BRM5-20260731-13407-01,Athens,OH,Midwest,pdf,factfinding_report,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,28,11,17,1cf97860be447c1822b53da3b89b4a13baa4e58d402c3bf44bbf69e9662494e3,BRMGRP-20260802-a2bd4b3bc26bc4ff7831995f,829c6be3da3f63587dec6cf339212a525fcd84d5536346c32af1cc04f598560f,19198,gabriel_rating_lane_003,3
BRMGRS-20260802-8c19aab00fefaf908124eed5,RMSRD-20260802-da150cbf738c4bb1aa54,RMSRD-20260802-da150cbf738c4bb1aa54,BRM5C-BRM5-20260731-06104-02,Oakwood,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,,27,15,12,f8e160a6de572cae60919699c8aae1bb2ab1ffd24e08fee005d92a4e5a8d4faf,BRMGRP-20260802-2ef4ef5458fdfc2cb86b55a0,32c1bfe601e2d9bf0b6fde7c6f7ba409cd118370a854be713b117424724ddfd3,18272,gabriel_rating_lane_003,4
BRMGRS-20260802-19bc0674e6a9d73be90f0df1,RMSRD-20260802-13cee9bfd91257e881d8,RMSRD-20260802-13cee9bfd91257e881d8,BRM5C-BRM5-20260731-10832-01,North Sewickley,PA,Northeast,pdf,civil_service_or_hr_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,,27,17,10,907362f3a89ef50c82d2ff1ef1d5378997eb4b960dc18fcaf0a14c582137f35f,BRMGRP-20260802-33662da9a6a297c3422bc1a3,a63a913255675491f1c3ca47829594fd37b93ffa46459fa437ef7cb532aa957f,17933,gabriel_rating_lane_003,5
BRMGRS-20260802-0a364f2bb4951b3a0cb015fd,RMSRD-20260802-11b58c3ff3ad2751768c,RMSRD-20260802-11b58c3ff3ad2751768c,BRM5C-BRM5-20260731-17657-01,Dunn,WI,Midwest,pdf,arbitration_award,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,26,17,9,806050b0042254557a74b59043393a9bf6c3b507ad04613c808d32330deb24e3,BRMGRP-20260802-98042c6cda74fd6c1eee108a,9ff48f181f8c655716f23ede5f1113ac71f599a3ff6f942871ad232e5392119b,17145,gabriel_rating_lane_003,6
BRMGRS-20260802-6a93a7eee66860d5cb70b20d,RMSRD-20260802-fddf176dd41fbbef7cbd,RMSRD-20260802-fddf176dd41fbbef7cbd,BRM5C-BRM5-20260731-04329-01,Franklin,IN,Midwest,pdf,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,,26,14,12,bfdbb0c3d0947950e307dff0c70daded88d0236b167dccbba1a6bbe28437013d,BRMGRP-20260802-2bd523942619a73cde7745d5,5fa1bece37af36e53613b3f902f46c96120b54b3932a410978ddcec2beb03670,16939,gabriel_rating_lane_003,7
BRMGRS-20260802-64cacdfcec308867034ed9b6,RMSRD-20260802-4baf8a8b02d47cd2aab7,RMSRD-20260802-4baf8a8b02d47cd2aab7,BRM5C-BRM5-20260731-06088-01,Monroe,OH,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,26,12,14,1478bcda5a82d368aed73014beb71734617e26873e07ce3a2975b638a7d2586a,BRMGRP-20260802-123d5d1e22e93303f9df0b34,df7ef0112b79d855d588e423ee832a84a6dcc3c1fa0c2f14ae99e2358d42c0f8,17526,gabriel_rating_lane_003,8
BRMGRS-20260802-8c2a88890806b6b55d63870d,RMSRD-20260802-3c251c9da4f374ce8948,RMSRD-20260802-3c251c9da4f374ce8948,BRM5C-BRM5-20260731-03252-01,Hanover,PA,Northeast,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,,26,11,15,2ca731fe431ccbd232592a85fc8a21f4f44f3c3ee5aa9c2fcc6fbc5e84193d5a,BRMGRP-20260802-73b8bf94779cbd24555c757f,d53bcfee01e68834a751068475842afb5a5f88c558c2ec00134dbabf126d69af,16980,gabriel_rating_lane_003,9
BRMGRS-20260802-ac49087b9f1d5a1c9b740b3f,RMSRD-20260802-d57c219fcc0680343643,RMSRD-20260802-d57c219fcc0680343643,BRM5C-BRM5-20260731-04617-01,Lawrence,KS,Midwest,pdf,mou_or_memorandum,high_priority_verification_ready,non_cba_or_unresolved_hint,,26,12,14,54cc15a06268ba9e6a872ee527475a11be585676e68cbab3e3955d73641f8493,BRMGRP-20260802-67906a30e1f6849f19a349a0,4acf4dca14722a3c38363656abe9eb7e8c50219f313276de4b4fb1612281b4c3,18306,gabriel_rating_lane_003,10
BRMGRS-20260802-22f8503a682c7e56ed817c3e,RMSRD-20260802-d9378f2730dfdd19c87c,RMSRD-20260802-d9378f2730dfdd19c87c,BRM5C-BRM5-20260731-08735-01,Stockbridge,MI,Midwest,pdf,wage_schedule,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,26,13,13,289c0776306f5d1effe7c2e0e36770a21030fd1a1def10ceb5600b24217131a0,BRMGRP-20260802-e52f9850497ae82fc72135ef,97752b8b26bc6a9e2c80992140129ce2187ca316249d48a6711588cd58896597,17417,gabriel_rating_lane_003,11
BRMGRS-20260802-76f3f4ec66d86a32e1901c39,RMSRD-20260802-59b999da9fa8523dab37,RMSRD-20260802-59b999da9fa8523dab37,BRM5C-BRM5-20260731-00662-03,Newcastle,IN,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,25,11,14,0aee1b3007beb25d8953083f9d9e388f9b8189bb65e63a272c69e163f5ac6140,BRMGRP-20260802-0aa069af382d63eb44d7ff8a,6ee23175b2fc79ae464bb9e67497c5d63459d3dbafa83162b6c447a1ea7abb9d,16573,gabriel_rating_lane_003,12
BRMGRS-20260802-d9d0334dbcf430895f6619eb,RMSRD-20260802-3dade5cd1b8cabbeeb30,RMSRD-20260802-3dade5cd1b8cabbeeb30,BRM5C-BRM5-20260731-10427-01,Cochecton,NY,Northeast,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,25,10,15,29d9071a601f82ebe8661dc4bdd4b8d1be51bdb2b6a40f0711657b8f267bcfa8,BRMGRP-20260802-21998b8ddb773f91f2d79762,f0db25497e4a822cf19c878dfc458c32e26903ce3854e53b9bd59267ac61af4f,16579,gabriel_rating_lane_003,13
BRMGRS-20260802-78e523ca03b4d9fef0f07d19,RMSRD-20260802-344ae07ee28f30c77c45,RMSRD-20260802-344ae07ee28f30c77c45,BRM5C-BRM5-20260731-13492-01,Granville,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,,25,10,15,0849fe57556f4ede5f1266bee29cef6584bb332cb94005e2f913743612a9c25f,BRMGRP-20260802-b8e754211db4beb2d7ed4055,3dba3e0397c877bc78d3449b82ced191aa276b06d6ab44dc47a836a2bfcc0268,17242,gabriel_rating_lane_003,14
