figure_id,text
F01,"A national wage gap, representative prevalence, regression result, or causal effect."
F02,"A national wage gap, representative prevalence, regression result, or causal effect."
F03,"A national wage gap, representative prevalence, regression result, or causal effect."
F04,"A national wage gap, representative prevalence, regression result, or causal effect."
F05,"A national wage gap, representative prevalence, regression result, or causal effect."
F06,"A national wage gap, representative prevalence, regression result, or causal effect."
F07,"A national wage gap, representative prevalence, regression result, or causal effect."
F08,"A national wage gap, representative prevalence, regression result, or causal effect."
F09,"A national wage gap, representative prevalence, regression result, or causal effect."
F10,"A national wage gap, representative prevalence, regression result, or causal effect."
F11,"A national wage gap, representative prevalence, regression result, or causal effect."
F12,"A national wage gap, representative prevalence, regression result, or causal effect."
F13,"A national wage gap, representative prevalence, regression result, or causal effect."
F14,"A national wage gap, representative prevalence, regression result, or causal effect."
F15,"A national wage gap, representative prevalence, regression result, or causal effect."
F16,"A national wage gap, representative prevalence, regression result, or causal effect."
