data_paths,figure_id,input_hashes
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.jsonl""]",F01,"[""7fdfc6aa648b4f2892835936f7fb54396e8df3f5d4d9a04c18d65d0a84e77738"", ""18b9e3dd1ee80e10415fe453fb4835f23b773b56abfe89c71b28f23fc01bb7f9""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f02.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f02.jsonl""]",F02,"[""e7b01ebefc46d894f417e2dd2ed3bfba08126b183e1107ecf1753a1bb2a3f655"", ""c9586ec69f3c62d83783014c81458687bd05278feb09bd41b14a5f7e58c37769""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f03.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f03.jsonl""]",F03,"[""1638d0c0096355cc069b8633b4ebebc68875b16e95b09a197f7f8fc0c52001d3"", ""a8b098d0de44e19285c8a41a19ba284bc422067062cd59977f6b897b4eaba9bc""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f04.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f04.jsonl""]",F04,"[""d6d4b9d2df48b584005269db5b58b73e0bf84f1ca30c234512cce5ee35963bb7"", ""bb993ec6325a24fb684cea0db73d5e1e65806b30200f6d4d36a5642593709226""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f05.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f05.jsonl""]",F05,"[""9098293ec801db2566767c3a5742293ab47003d50f45812152144f4c3d344d77"", ""ebf0d4ac3f9d2500210703423f1e2bae7057d2f3d515f343bc942cc14b42f69a""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f06.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f06.jsonl""]",F06,"[""f64c6208a5c4eabc55c80ce23f4a29b7c1389925f67418ce1e30a6bbfe8c07c4"", ""da3d73a9e4a92bbfc432b00ca7758a23a16d04012db320ef2b7ee8d290554a66""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f07.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f07.jsonl""]",F07,"[""33b33c6d7520b2a2b319d682851d539723972a717d81f68b8e405961e3d67b41"", ""b5e8f9d04e2c86b3b93b55f6b3698cb9821c2d7a4a0df9d778f3528d8bfa849f""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f08.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f08.jsonl""]",F08,"[""e3db6cac2ad39331b2286b5a477cac2f1af0001cb8e15c327694d9d01082238a"", ""09d18c18a7bbe38619718951a3455c52071b151f86f451535b1f36ad31a6ca20""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f09.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f09.jsonl""]",F09,"[""3922b84722d47c414f6ce6065a56f6cfd128100c676fafa12115f0acc7cfe921"", ""66f52630fb415a2531e5e215805e810182eed521564d3154a18062b089df6dfc""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f10.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f10.jsonl""]",F10,"[""4f846da0554eebe969b4ac556ef6b14d5538e136c049ce83d3af3d935d321530"", ""afff5a7c442838f57d4fdb85cbabd176b87cd15012b47115ed81db4783388ceb""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f11.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f11.jsonl""]",F11,"[""ba3eb4c3a3bdaa0790b331d4d48b6be63a7b06d2a3bc47b9e2054963e9c9cab4"", ""c5ff3c6c9e2e5b7c3a9df7d1923826c8137b1360104b34c588b1eead40303cd3""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f12.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f12.jsonl""]",F12,"[""5bf44dc790929249771149f7488f469db1f7cc73b52f43e6bd714a87987dff44"", ""f0874e2b10fdd14ffd4f704942e59f47036f0456820413353766777246ad4574""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f13.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f13.jsonl""]",F13,"[""6336d49f04ef56ef4fad42f1f73c6ee5567c71faf471eb6005781c31ca981432"", ""deec42071c88185711efe0e0d07275a000a9a212ad97f02c1b2e2c774d987649""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f14.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f14.jsonl""]",F14,"[""562ffc61a54e4c962298a84475c3ce8713201b550baed0dfddaee63124cfe1e1"", ""a01fd723ad6df915b58d25292bc145546322c9014deea370df6ba708b6f31abf""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f15.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f15.jsonl""]",F15,"[""41e17a34701e1f307ef1e3cfe18c9776c92ab4618d74ea59cc3b7957d4eda184"", ""7508aa3d75ea8ce0c5ed6ed13c885bec4d90cb4a290cf7a633cabd43826ade1a""]"
"[""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f16.csv"", ""docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f16.jsonl""]",F16,"[""77a846dcc8633f0c89f01e376eb9356e7133e168ca5dd7934e2d128f3db4b613"", ""fd3ac4991de0e0fee37be8ab90f599dc5a88160bc15a26879e546debdc1a0b91""]"
