figure_id,report_order,title
F01,1,Corpus scale and source mix
F02,2,Evidence pipeline and analytical readiness
F03,3,Municipality scout coverage by state
F04,4,Staffing evidence by type
F05,5,Staffing-channel evidence by tier
F06,6,Geographic reach of staffing evidence
F07,7,Implementation evidence distinguishes adoption from payment
F08,8,Administrative corroboration by compensation mechanism
F09,9,Documentary wage-growth evidence is mechanism-specific
F10,10,Bounded local wage comparisons point in both directions
F11,11,Counterexamples define the boundary of the findings
F12,12,Why the external evidence did not become a clean wage panel
F13,13,Evidence composition and final status of 14 claims
F14,14,Geographic concentration of retroactive-pay records
F15,15,Urban and rural distribution of implementation evidence
F16,16,What the evidence supports—and what it does not establish
