figure_id,text
F01,"Large source volume, with analytical usefulness varying by layer"
F02,Filtering preserves incompatible and unresolved evidence instead of forcing it into estimates
F03,Coverage is the share of eligible municipalities reached—not raw source volume
F04,Most retained staffing units describe vacancies or position reductions
F05,A small reviewed subset directly or descriptively fits the proposed channels
F06,"Staffing records span 511 municipalities, unevenly across states"
F07,"Adoption, amendment, implementation, and payment remain distinct stages"
F08,"Coverage is shown separately for sources, municipalities, and root events"
F09,Step progression leans safety; across-board results are mixed; COLA evidence is sparse
F10,"Five favor safety, four favor non-safety, and one is neutral"
F11,Seven retained records directly challenge or narrow broad interpretations
F12,"Unresolved side, basis, identity, and conflict holds remain outside clean comparisons"
F13,Precise support is rare; mechanism support and explicit limitations dominate
F14,"Fixed-grid event counts show documentary concentration, not population prevalence"
F15,Unknown urbanicity remains visible rather than inferred
F16,"The project supports bounded mechanism findings, not national or causal estimates"
