checks,figure_id,pixel_variance,png_dimensions,reviewed_at,status,thumbnail_dimensions
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F01,3996.691490113735,"[1823, 1103]",2026-08-06T05:55:03.112124+00:00,pass,"[560, 339]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F02,3612.621843755245,"[2055, 1103]",2026-08-06T05:55:03.270609+00:00,pass,"[560, 301]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F03,150.19914573431015,"[1996, 1410]",2026-08-06T06:05:33.136374+00:00,pass,"[560, 396]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F04,2266.513736486435,"[1750, 1103]",2026-08-06T05:56:03.014560+00:00,pass,"[560, 353]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F05,1568.3222177028656,"[1819, 1103]",2026-08-06T05:56:03.163970+00:00,pass,"[560, 340]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F06,2375.4771141409874,"[1731, 1256]",2026-08-06T05:56:03.383140+00:00,pass,"[560, 406]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F07,2889.8353612422943,"[1872, 1103]",2026-08-06T06:05:13.310582+00:00,pass,"[560, 330]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F08,239.27610778808594,"[1762, 1256]",2026-08-06T05:57:03.232145+00:00,pass,"[560, 399]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F09,3181.0304238796234,"[1769, 1103]",2026-08-06T05:59:50.693132+00:00,pass,"[560, 349]"
"{""accessible_svg_desc"": true, ""accessible_svg_title"": true, ""analytical_unit_present"": true, ""caption_at_most_80_words"": true, ""color_not_sole_encoding"": true, ""conflicts_excluded_or_shown"": true, ""denominator_present"": true, ""map_dimensions"": true, ""not_blank"": true, ""plain_visible_title"": true, ""png_opens"": true, ""png_width_at_least_1600"": true, ""svg_opens"": true, ""thumbnail_opens"": true, ""tier_present"": true, ""white_background"": true}",F10,252.55106157064438,"[1817, 1256]",2026-08-06T06:00:58.237060+00:00,pass,"[560, 387]"
