geography_panel,hex_cell_id,implementation_event_count,mechanism_view_name,root_compensation_event_count,scale_group,shared_grid,side_view
lower_48,CONUS50-+00004-+00013,1,institutional_channel:budget_pay_plan_process,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50-+00004-+00013,1,compensation_outcome:retroactive_pay,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50-+00004-+00013,1,timing_implementation:one_time,1,timing_implementation:one_time,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50-+00004-+00013,1,timing_implementation:ordinance_adoption,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50-+00004-+00013,1,timing_implementation:payroll_effective_date,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50-+00004-+00013,1,timing_implementation:retroactive,1,timing_implementation:retroactive,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50-+00004-+00013,1,pressure_channel:fiscal_constraint,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00025-+00029,2,institutional_channel:none_identified,2,institutional_channel:none_identified,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00025-+00029,2,compensation_outcome:retroactive_pay,2,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00025-+00029,2,timing_implementation:payroll_effective_date,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00025-+00029,2,timing_implementation:retroactive,2,timing_implementation:retroactive,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00025-+00029,2,pressure_channel:none_identified,2,pressure_channel:none_identified,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,1,institutional_channel:ordinance_council_adoption,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,2,compensation_outcome:across_the_board_raise,2,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,1,compensation_outcome:classification_band_change,1,compensation_outcome:classification_band_change,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,1,timing_implementation:contract_ratification,1,timing_implementation:contract_ratification,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,4,timing_implementation:payroll_effective_date,6,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,4,pressure_channel:none_identified,6,pressure_channel:none_identified,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,4,institutional_channel:none_identified,5,institutional_channel:none_identified,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,4,compensation_outcome:retroactive_pay,4,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,2,compensation_outcome:step_progression,2,compensation_outcome:step_progression,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,4,timing_implementation:recurring,5,timing_implementation:recurring,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,4,timing_implementation:retroactive,4,timing_implementation:retroactive,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,2,compensation_outcome:cola_cpi_adjustment,2,compensation_outcome:cola_cpi_adjustment,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00030-+00036,1,compensation_outcome:base_wage_change,1,compensation_outcome:base_wage_change,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00024-+00027,1,institutional_channel:ordinance_council_adoption,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00024-+00027,1,compensation_outcome:across_the_board_raise,1,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00024-+00027,1,timing_implementation:ordinance_adoption,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed,non_safety
lower_48,CONUS50--00024-+00027,1,timing_implementation:recurring,1,timing_implementation:recurring,EPSG:5070_50km_fixed,non_safety
