figure_id,limitation_id
F01,SEARCH-12844
F01,STORAGE-7895
F01,NO-CAUSAL-ESTIMATE
F02,SEARCH-12844
F02,STORAGE-7895
F02,NO-CAUSAL-ESTIMATE
F03,SEARCH-12844
F03,STORAGE-7895
F03,NO-CAUSAL-ESTIMATE
F04,SEARCH-12844
F04,STORAGE-7895
F04,NO-CAUSAL-ESTIMATE
F05,SEARCH-12844
F05,STORAGE-7895
F05,NO-CAUSAL-ESTIMATE
F06,SEARCH-12844
F06,STORAGE-7895
F06,NO-CAUSAL-ESTIMATE
F07,SEARCH-12844
F07,STORAGE-7895
F07,NO-CAUSAL-ESTIMATE
F08,SEARCH-12844
F08,STORAGE-7895
F08,NO-CAUSAL-ESTIMATE
F09,SEARCH-12844
F09,STORAGE-7895
F09,NO-CAUSAL-ESTIMATE
F10,SEARCH-12844
F10,STORAGE-7895
F10,NO-CAUSAL-ESTIMATE
F11,SEARCH-12844
F11,STORAGE-7895
F11,NO-CAUSAL-ESTIMATE
F12,SEARCH-12844
F12,STORAGE-7895
F12,NO-CAUSAL-ESTIMATE
F13,SEARCH-12844
F13,STORAGE-7895
F13,NO-CAUSAL-ESTIMATE
F14,SEARCH-12844
F14,STORAGE-7895
F14,NO-CAUSAL-ESTIMATE
F15,SEARCH-12844
F15,STORAGE-7895
F15,NO-CAUSAL-ESTIMATE
F16,SEARCH-12844
F16,STORAGE-7895
F16,NO-CAUSAL-ESTIMATE
