figure_id,subtitle,title
F01,"Large source volume, with analytical usefulness varying by layer",Corpus scale and source mix
F02,Filtering preserves incompatible and unresolved evidence instead of forcing it into estimates,Evidence pipeline and analytical readiness
F03,Coverage is the share of eligible municipalities reached—not raw source volume,Municipality scout coverage by state
F04,Most retained staffing units describe vacancies or position reductions,Staffing evidence by type
F05,A small reviewed subset directly or descriptively fits the proposed channels,Staffing-channel evidence by tier
F06,"Staffing records span 511 municipalities, unevenly across states",Geographic reach of staffing evidence
F07,"Adoption, amendment, implementation, and payment remain distinct stages",Implementation evidence distinguishes adoption from payment
F08,"Coverage is shown separately for sources, municipalities, and root events",Administrative corroboration by compensation mechanism
F09,Step progression leans safety; across-board results are mixed; COLA evidence is sparse,Documentary wage-growth evidence is mechanism-specific
F10,"Five favor safety, four favor non-safety, and one is neutral",Bounded local wage comparisons point in both directions
F11,Seven retained records directly challenge or narrow broad interpretations,Counterexamples define the boundary of the findings
F12,"Unresolved side, basis, identity, and conflict holds remain outside clean comparisons",Why the external evidence did not become a clean wage panel
F13,Precise support is rare; mechanism support and explicit limitations dominate,Evidence composition and final status of 14 claims
F14,"Fixed-grid event counts show documentary concentration, not population prevalence",Geographic concentration of retroactive-pay records
F15,Unknown urbanicity remains visible rather than inferred,Urban and rural distribution of implementation evidence
F16,"The project supports bounded mechanism findings, not national or causal estimates",What the evidence supports—and what it does not establish
