geography_panel,hex_cell_id,implementation_event_count,mechanism_view_name,root_compensation_event_count,scale_group,shared_grid,side_view
alaska_inset,ALASKA_INSET-cog_2025_160773,1,institutional_channel:none_identified,2,institutional_channel:none_identified,EPSG:5070_50km_fixed,safety
alaska_inset,ALASKA_INSET-cog_2025_160773,1,compensation_outcome:stipend_or_premium,1,compensation_outcome:stipend_or_premium,EPSG:5070_50km_fixed,safety
alaska_inset,ALASKA_INSET-cog_2025_160773,1,timing_implementation:recurring,1,timing_implementation:recurring,EPSG:5070_50km_fixed,safety
alaska_inset,ALASKA_INSET-cog_2025_160773,1,pressure_channel:none_identified,2,pressure_channel:none_identified,EPSG:5070_50km_fixed,safety
alaska_inset,ALASKA_INSET-cog_2025_160773,1,compensation_outcome:retroactive_pay,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,safety
alaska_inset,ALASKA_INSET-cog_2025_160773,1,timing_implementation:payroll_effective_date,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,safety
alaska_inset,ALASKA_INSET-cog_2025_160773,1,timing_implementation:retroactive,1,timing_implementation:retroactive,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00004-+00013,1,institutional_channel:none_identified,1,institutional_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00004-+00013,2,compensation_outcome:retroactive_pay,2,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00004-+00013,2,timing_implementation:payroll_effective_date,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00004-+00013,2,timing_implementation:retroactive,2,timing_implementation:retroactive,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00004-+00013,2,pressure_channel:none_identified,2,pressure_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00004-+00013,1,institutional_channel:ordinance_council_adoption,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00004-+00013,1,timing_implementation:ordinance_adoption,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00005-+00013,2,institutional_channel:none_identified,2,institutional_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00005-+00013,3,compensation_outcome:retroactive_pay,3,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00005-+00013,2,timing_implementation:one_time,2,timing_implementation:one_time,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00005-+00013,3,timing_implementation:retroactive,3,timing_implementation:retroactive,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00005-+00013,3,pressure_channel:none_identified,3,pressure_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00005-+00013,1,institutional_channel:ordinance_council_adoption,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00005-+00013,1,timing_implementation:ordinance_adoption,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed,safety
lower_48,CONUS50-+00005-+00013,1,timing_implementation:payroll_effective_date,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00036,9,institutional_channel:none_identified,11,institutional_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00036,1,compensation_outcome:base_wage_change,1,compensation_outcome:base_wage_change,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00036,8,compensation_outcome:retroactive_pay,8,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00036,9,timing_implementation:payroll_effective_date,11,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00036,5,timing_implementation:recurring,5,timing_implementation:recurring,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00036,8,timing_implementation:retroactive,8,timing_implementation:retroactive,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00036,9,pressure_channel:none_identified,11,pressure_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00031-+00038,1,institutional_channel:none_identified,1,institutional_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00031-+00038,1,compensation_outcome:holiday_pay,1,compensation_outcome:holiday_pay,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00031-+00038,1,compensation_outcome:step_progression,1,compensation_outcome:step_progression,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00031-+00038,1,timing_implementation:ordinance_adoption,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00031-+00038,1,timing_implementation:recurring,1,timing_implementation:recurring,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00031-+00038,1,pressure_channel:market_recruitment_retention,1,pressure_channel:market_recruitment_retention,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00036,2,institutional_channel:none_identified,3,institutional_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00036,1,compensation_outcome:across_the_board_raise,1,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00036,1,timing_implementation:recurring,1,timing_implementation:recurring,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00036,2,pressure_channel:none_identified,3,pressure_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00036,2,compensation_outcome:retroactive_pay,2,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00036,2,timing_implementation:payroll_effective_date,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00036,2,timing_implementation:retroactive,2,timing_implementation:retroactive,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00037,2,institutional_channel:none_identified,3,institutional_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00037,2,compensation_outcome:across_the_board_raise,2,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00037,2,timing_implementation:payroll_effective_date,3,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00037,2,timing_implementation:recurring,2,timing_implementation:recurring,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00037,2,pressure_channel:none_identified,3,pressure_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00037,1,compensation_outcome:retroactive_pay,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00029-+00037,1,timing_implementation:retroactive,1,timing_implementation:retroactive,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00024-+00027,1,institutional_channel:ordinance_council_adoption,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00024-+00027,1,compensation_outcome:retroactive_pay,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00024-+00027,1,timing_implementation:payroll_effective_date,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00024-+00027,1,timing_implementation:retroactive,1,timing_implementation:retroactive,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00024-+00027,1,pressure_channel:none_identified,1,pressure_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00039,2,institutional_channel:none_identified,2,institutional_channel:none_identified,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00039,1,compensation_outcome:base_wage_change,1,compensation_outcome:base_wage_change,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00039,2,compensation_outcome:retroactive_pay,2,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00039,2,timing_implementation:payroll_effective_date,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00039,1,timing_implementation:recurring,1,timing_implementation:recurring,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00039,2,timing_implementation:retroactive,2,timing_implementation:retroactive,EPSG:5070_50km_fixed,safety
lower_48,CONUS50--00030-+00039,2,pressure_channel:none_identified,2,pressure_channel:none_identified,EPSG:5070_50km_fixed,safety
