centroid_latitude,centroid_longitude,compensation_outcome,confidence_high_count,confidence_moderate_count,corroborated_event_count,disclosure_flags,geography_panel,hex_cell_id,implementation_event_count,implementation_status_scope,institutional_channel,mechanism_view_name,one_time_event_count,pressure_channel,projected_hex_center_x,projected_hex_center_y,recurring_event_count,root_compensation_event_count,rural_event_count,side,timing_channel,unique_cycle_count,unique_municipality_count,unknown_urbanicity_count,urban_event_count
56.29518,-158.391784,,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_160809,1,formally_adopted|implemented|paid_or_observed,ordinance_council_adoption,institutional_channel:ordinance_council_adoption,0,,0.0,0.0,0,1,1,remains_unclear,,1,1,0,0
56.29518,-158.391784,retroactive_pay,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_160809,1,formally_adopted|implemented|paid_or_observed,,compensation_outcome:retroactive_pay,0,,0.0,0.0,0,1,1,remains_unclear,,1,1,0,0
56.29518,-158.391784,,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_160809,1,formally_adopted|implemented|paid_or_observed,,timing_implementation:ordinance_adoption,0,,0.0,0.0,0,1,1,remains_unclear,ordinance_adoption,1,1,0,0
56.29518,-158.391784,,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_160809,1,formally_adopted|implemented|paid_or_observed,,timing_implementation:payroll_effective_date,0,,0.0,0.0,0,1,1,remains_unclear,payroll_effective_date,1,1,0,0
56.29518,-158.391784,,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_160809,1,formally_adopted|implemented|paid_or_observed,,timing_implementation:retroactive,0,,0.0,0.0,0,1,1,remains_unclear,retroactive,1,1,0,0
56.29518,-158.391784,,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_160809,1,formally_adopted|implemented|paid_or_observed,,pressure_channel:none_identified,0,none_identified,0.0,0.0,0,1,1,remains_unclear,,1,1,0,0
61.573919,-159.246921,,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_122702,1,formally_adopted|implemented|paid_or_observed,ordinance_council_adoption,institutional_channel:ordinance_council_adoption,0,,0.0,0.0,1,1,1,remains_unclear,,1,1,0,0
61.573919,-159.246921,across_the_board_raise,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_122702,1,formally_adopted|implemented|paid_or_observed,,compensation_outcome:across_the_board_raise,0,,0.0,0.0,1,1,1,remains_unclear,,1,1,0,0
61.573919,-159.246921,,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_122702,1,formally_adopted|implemented|paid_or_observed,,timing_implementation:recurring,0,,0.0,0.0,1,1,1,remains_unclear,recurring,1,1,0,0
61.573919,-159.246921,,1,0,0,event_counts_are_documentary_not_prevalence,alaska_inset,ALASKA_INSET-cog_2025_122702,1,formally_adopted|implemented|paid_or_observed,,pressure_channel:none_identified,0,none_identified,0.0,0.0,1,2,1,remains_unclear,,1,1,0,0
