bytes,input_id,path,read_only,sha256
73834,claims,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.jsonl,True,deec42071c88185711efe0e0d07275a000a9a212ad97f02c1b2e2c774d987649
4403,headlines,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_headline_number_table.jsonl,True,b388a331253422b35e8772f4962fdbeedd2dcfd84b5a952198a7f99174952ae7
21651,approvals,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_visual_approval_table.jsonl,True,c994735db89994df37c62b833cce33fe5b511ab8796d448faa12da6c9b3dd6c8
258,corpus,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/corpus_scale_visual_table.jsonl,True,cd3e165dfe2e0244910219241440da56007d988565d6d53ffd1e3b20198df4cd
753,pipeline,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/pipeline_attrition_visual_table.jsonl,True,e536ece1d0a6bc32a43b7c973547146afbdc52b37dd66303cfc743e49ed03ae7
957,staffing,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/staffing_distribution_visual_table.jsonl,True,65008765e8cbf95f5db31ab00003a96746e40d6fc7325d6dcb641e7b8d995fcf
967,implementation,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/implementation_lifecycle_visual_table.jsonl,True,ddeec486ae9896691be9f2c23881080a792de76d4998c6ae486699d60d692fb0
7510,mechanism,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/mechanism_support_visual_table.jsonl,True,5533c4c5c2f510bb6c66f2a95087c9b79ed5286a96dda3d50650dee90b34d1ea
58750,growth,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/documentary_growth_visual_table.jsonl,True,9ee774b96c451c95928fe297fc953f1d5081a110aadedc2f5c9fbe81558f83b5
2470,counterexamples,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/counterexample_visual_table.jsonl,True,8a2508d58fccfbac1f8af8ae9a4e6b8fba15db388f1576430afa0c8f3670e803
602,holds,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/conflict_hold_visual_table.jsonl,True,7d59602e3f49f7c38191ed27b9ee51ca2abf41f4e3314618b6aa9bbddd7cce06
198548,local,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/02_AGGRESSIVE-NORMALIZATION-MATCHING/aggressive_local_comparison_units.jsonl,True,2513ff485f59c58965648bc06de193e59bd80073b13044d8f2b877570e081a3b
1230419,staffing_full,artifacts/local_structured_external_data/whole_corpus_aggressive_bounded_reanalysis_2026-08-06/tracked_payloads/02_AGGRESSIVE-NORMALIZATION-MATCHING/aggressive_staffing_units.jsonl.gz,True,26189966c4e1373df3af835482f09801f1192f62fedd5d0c4a5e1af0ce6583b7
5549899,hex,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/mechanism_hex_density_visual_ready_layer.jsonl,True,752523b6894c46d80585d4b2900bde93b4e8d13776639ff5307598c8613ab6d7
623868,hex_safety,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/mechanism_hex_density_safety_view.jsonl,True,9755b456e03ad27630a14323c068eca4d62fd419110df5be9210780505431c3b
147752,hex_non,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/mechanism_hex_density_non_safety_view.jsonl,True,177debd0d2d60282205c01a5b7100d859dfd30afceab71e62556b77d26245e9b
631576,hex_diff,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/mechanism_hex_density_difference_view.jsonl,True,3cbfc42f63c7219f58a2f2117327dc60844221c19df5e9f8bef0254ee64a10ae
492636,urban,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/municipality_urbanicity_layer.jsonl,True,19e693d1a611c6ac4ca72560c043b23c12ebb4f38a069e848678cda8ba7ecbbc
810134,crosswalk,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/municipality_geographic_crosswalk.jsonl,True,cc7e7c1b119b0aa4e6d0c2a3dcbab8dad5704beeff0fe56161c82a6f117efc8e
1898437,events,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/root_compensation_event_layer.jsonl,True,099780ea93c3f0dabe7c9a7861d26bb8c92b7094d93b28621ad2b4690cccfa68
165404,state_coverage,docs/dashboard/data/state_summary.json,True,bb7881f1b24c61f26426aac04eef38e861df256e94ab0527534c4b52a7cf5efe
