approval_status,figure_id,figure_number,png,qa_status,svg,thumbnail,title
approved_for_rendering,F01,1,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f01.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f01.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f01_thumb.png,Corpus scale and source mix
approved_with_caption_caveat,F02,2,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f02.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f02.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f02_thumb.png,Evidence pipeline and analytical readiness
approved_with_caption_caveat,F03,3,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f03.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f03.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f03_thumb.png,Municipality scout coverage by state
approved_for_rendering,F04,4,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f04.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f04.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f04_thumb.png,Staffing evidence by type
approved_tiered_sensitivity_visual,F05,5,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f05.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f05.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f05_thumb.png,Staffing-channel evidence by tier
approved_with_caption_caveat,F06,6,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f06.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f06.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f06_thumb.png,Geographic reach of staffing evidence
approved_strict_lane_only,F07,7,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f07.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f07.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f07_thumb.png,Implementation evidence distinguishes adoption from payment
approved_with_caption_caveat,F08,8,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f08.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f08.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f08_thumb.png,Administrative corroboration by compensation mechanism
approved_tiered_sensitivity_visual,F09,9,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f09.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f09.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f09_thumb.png,Documentary wage-growth evidence is mechanism-specific
approved_with_caption_caveat,F10,10,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f10.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f10.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f10_thumb.png,Bounded local wage comparisons point in both directions
approved_for_rendering,F11,11,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f11.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f11.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f11_thumb.png,Counterexamples define the boundary of the findings
approved_for_rendering,F12,12,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f12.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f12.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f12_thumb.png,Why the external evidence did not become a clean wage panel
approved_with_caption_caveat,F13,13,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f13.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f13.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f13_thumb.png,Evidence composition and final status of 14 claims
needs_visual_data_repair,F14,14,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f14.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f14.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f14_thumb.png,Geographic concentration of retroactive-pay records
needs_visual_data_repair,F15,15,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f15.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f15.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f15_thumb.png,Urban and rural distribution of implementation evidence
approved_for_rendering,F16,16,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f16.png,pass,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f16.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f16_thumb.png,What the evidence supports—and what it does not establish
