classification_method,municipality,municipality_id,reference_year,state,suburban_classification_created,urban_land_share,urbanicity
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Abernathy,cog_2025_176161,2020,TX,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Acworth,cog_2025_193721,2020,NH,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Adams,cog_2025_193998,2020,PA,false,0.473748,unknown
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Adams,cog_2025_202835,2020,WI,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Addison,cog_2025_194691,2020,IL,false,1.0,urban
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Afton,cog_2025_127192,2020,KS,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Alaiedon,cog_2025_167028,2020,MI,false,0.059378,unknown
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Alban,cog_2025_191873,2020,WI,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Albion,cog_2025_207959,2020,IN,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Albion,cog_2025_131402,2020,NY,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Alburtis,cog_2025_194891,2020,PA,false,1.0,urban
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Alden,cog_2025_170800,2020,NY,false,0.038964,unknown
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Alexandria,cog_2025_170299,2020,NJ,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Alfred,cog_2025_170697,2020,NY,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Algonac,cog_2025_166790,2020,MI,false,1.0,urban
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Allegan,cog_2025_166842,2020,MI,false,0.080353,unknown
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Allegheny,cog_2025_209428,2020,PA,false,0.160401,unknown
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Altamont,cog_2025_164776,2020,KS,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Altamont,cog_2025_131201,2020,NY,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,American,cog_2025_172701,2020,OH,false,0.509592,urban
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Amherst,cog_2025_205132,2020,OH,false,0.918746,urban
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Amsterdam,cog_2025_212073,2020,NY,false,0.9165,urban
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Ancram,cog_2025_131334,2020,NY,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Anderson,cog_2025_172895,2020,OH,false,0.744429,urban
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Andover,cog_2025_161508,2020,CT,false,,unknown
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Andover,cog_2025_190414,2020,ME,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Andrew,cog_2025_190200,2020,IA,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Angola,cog_2025_170489,2020,NY,false,0.659942,urban
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Annsville,cog_2025_170900,2020,NY,false,0.0,rural
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Antigo,cog_2025_136703,2020,WI,false,0.015625,unknown
urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,Antrim,cog_2025_167304,2020,MI,false,0.0,rural
