figure_id,text
F01,Canonical adjudicated whole-corpus analytical tables; no new sources.
F02,Canonical adjudicated whole-corpus analytical tables; no new sources.
F03,Canonical adjudicated whole-corpus analytical tables; no new sources.
F04,Canonical adjudicated whole-corpus analytical tables; no new sources.
F05,Canonical adjudicated whole-corpus analytical tables; no new sources.
F06,Canonical adjudicated whole-corpus analytical tables; no new sources.
F07,Canonical adjudicated whole-corpus analytical tables; no new sources.
F08,Canonical adjudicated whole-corpus analytical tables; no new sources.
F09,Canonical adjudicated whole-corpus analytical tables; no new sources.
F10,Canonical adjudicated whole-corpus analytical tables; no new sources.
F11,Canonical adjudicated whole-corpus analytical tables; no new sources.
F12,Canonical adjudicated whole-corpus analytical tables; no new sources.
F13,Canonical adjudicated whole-corpus analytical tables; no new sources.
F14,Canonical adjudicated whole-corpus analytical tables; no new sources.
F15,Canonical adjudicated whole-corpus analytical tables; no new sources.
F16,Canonical adjudicated whole-corpus analytical tables; no new sources.
