canonical_payload_id,extraction_result_id,extraction_artifact_pointers,extraction_modality,source_SHA_256,retained_source_ids,candidate_ids,search_wave_provenance,municipality_ids,municipality_names,states,expected_periods,side_hints,department_hints,source_family_hints,administrative_source_type,source_quality,extraction_priority,root_event_ids,mechanism_event_ids,existing_claim_ids,expected_claim_upgrade_tags,extraction_warnings,deterministic_processing_eligibility,proposed_extraction_families,primary_terminal_status,pages_available,sections_available,tables_available,structured_record_count,lineage_basis,lane_id
EXTPAYLOAD-00437bb92546727dc37ba255,EXTEXTRACT-d326090dec67be9abb127ec1,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/97/EXTPAYLOAD-00437bb92546727dc37ba255.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/97/EXTPAYLOAD-00437bb92546727dc37ba255.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/97/EXTPAYLOAD-00437bb92546727dc37ba255.txt.gz,pdf,97d3079bb5d1ee4b42f36c01d6d917231fe2a020634742bfb114be7ffb37324e,EXTSOURCE-00437bb92546727dc37ba255,RESCAND-cbc270e3a1d31b568a24d2e4,external_search_wave_002_exhaustive_residual,,Conemaugh,PA,2026,non_safety,non_safety,implementation_confirmation|payroll_and_earnings,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-9e7bdc798793ee82db315b4e|ROOTCOMP-e8d3d7131d55faa2a6278da3|ROOTCOMP-eb5d912c4a1d565682bd0023,MECHEXP-0090c971d55d88eb59b21a70|MECHEXP-10596d6ab509734bb5ab0636|MECHEXP-44e567bda43dda6bd4d5b93f|MECHEXP-496791b4a587faf7377d377f|MECHEXP-80d2cff250f9a79b648cf252|MECHEXP-aec6e39f56159567e600bc69|MECHEXP-b7c0565006d0123ae759f5f0|MECHEXP-c020974cd161b227dbdaa876|MECHEXP-c06c65ea22fb79dc58510240|MECHEXP-c5689aee182318b89d46804a|MECHEXP-d8cb3cf99155996b23e682b1|MECHEXP-f238b26494e15183de8cf45d,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,,deterministic_text_pattern_processing_ready,payroll_and_earnings,extracted_text_ok,196,0,0,0,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-00700bc266d4ba049ff71656,EXTEXTRACT-59a9ef020587b8b33aa4a8d2,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ad/EXTPAYLOAD-00700bc266d4ba049ff71656.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ad/EXTPAYLOAD-00700bc266d4ba049ff71656.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ad/EXTPAYLOAD-00700bc266d4ba049ff71656.txt.gz,pdf,ad1791a1d315654d2d729125bc2f7a5731657ac6d97842759b039a781841f241,EXTSOURCE-00700bc266d4ba049ff71656,RESCAND-b1b090cc861fc628691eb067,external_search_wave_002_exhaustive_residual,,Catawba Island,OH,2026,non_safety,non_safety,benefits_and_total_compensation|implementation_confirmation|multi_family_administrative_source|payroll_and_earnings,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-e2fb504ffbfab28baa654204,MECHEXP-57c2ca0bd90adc138d521b25|MECHEXP-9510424390728d932c589f5a|MECHEXP-b59efdfafb0c43c31e5390f1|MECHEXP-ec45137643d92fb72aa41208,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,extracted_text_ok,22,0,0,0,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-0099935e48efcdcf57b9f5a8,EXTEXTRACT-f91e7b658b80018377a2697a,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/80/EXTPAYLOAD-0099935e48efcdcf57b9f5a8.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/80/EXTPAYLOAD-0099935e48efcdcf57b9f5a8.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/80/EXTPAYLOAD-0099935e48efcdcf57b9f5a8.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/80/EXTPAYLOAD-0099935e48efcdcf57b9f5a8.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/80/EXTPAYLOAD-0099935e48efcdcf57b9f5a8.tables.jsonl.gz,html,808b6e61423b40d4a6f8bbc54456d98637cfca9d9d0e3337e664d8711295dd87,EXTSOURCE-0099935e48efcdcf57b9f5a8,RESCAND-8eed64f77f97c6a3692971f1,external_search_wave_002_exhaustive_residual,,Blue Mound,TX,2023,unclear,unclear,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,benefits_document,official_administrative_summary,extraction_priority_high,ROOTCOMP-10ec1cc2e4a57ec0c4b49dbb,MECHEXP-42e7135c196551d04313afb7|MECHEXP-b448d94bbfebad0b45630dcb|MECHEXP-c95c78193bbdd61d651d7bc5|MECHEXP-ca74a6776c066b9f00e77925|MECHEXP-e554b7357e6086e2aa479001,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,benefits_and_total_compensation,extracted_text_ok,0,88,0,0,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-00ac5a5318f78383c3b5887b,EXTEXTRACT-4d7ea7a08bed827dd99bfcc0,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-00ac5a5318f78383c3b5887b.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-00ac5a5318f78383c3b5887b.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-00ac5a5318f78383c3b5887b.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-00ac5a5318f78383c3b5887b.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-00ac5a5318f78383c3b5887b.tables.jsonl.gz,html,ab15df8be1e6d03d4f839218aa4676b10f42cdfc963d4e519db86a9892665c84,EXTSOURCE-00ac5a5318f78383c3b5887b,EXTCAND-fdc33153c78e50b7d921a3de,external_search_wave_001_compacted,,Morris,NJ,undated,all_units,all_units,benefits_and_total_compensation|implementation_confirmation|multi_family_administrative_source|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-2644fe18720854aea3bf33e8,MECHEXP-084aeb0558730dd6dac56c34|MECHEXP-0ecd355d1d0d925dbd48879f|MECHEXP-4a236f93070f5adb5833f63b|MECHEXP-548c5fa47d745270c5d7f7d7|MECHEXP-e7687dd6c3c88c90e77c10d3,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,mixed_structured_and_text_processing_ready,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,extracted_text_and_structured_ok,0,316,1,0,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-00b90a2915c1f737e3222770,EXTEXTRACT-189b6bae3ab1bef4b0b0581c,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/05/EXTPAYLOAD-00b90a2915c1f737e3222770.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/05/EXTPAYLOAD-00b90a2915c1f737e3222770.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/05/EXTPAYLOAD-00b90a2915c1f737e3222770.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/05/EXTPAYLOAD-00b90a2915c1f737e3222770.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/05/EXTPAYLOAD-00b90a2915c1f737e3222770.tables.jsonl.gz,html,058c4e9f97e5e0436ea27ab8ddf6961cf3268d66dd6c18d0d42be80d254617a8,EXTSOURCE-00b90a2915c1f737e3222770,EXTCAND-9b6d601fdbabc3fa2aa7ce45,external_search_wave_001_compacted,,Center,PA,2022,all_units,all_units,benefits_and_total_compensation|implementation_confirmation|multi_family_administrative_source|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-b99303ce4332bcb2360e1332,MECHEXP-0833b5bc100f44aa30a1bdba|MECHEXP-25c510a5226c5ac4ab71b313|MECHEXP-3ff6a3b327edfdfe436f25ef|MECHEXP-be3057ff490ddd3a70b847bf,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,mixed_structured_and_text_processing_ready,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,extracted_text_and_structured_ok,0,351,1,0,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-012add8bb35407a7acd8b5f7,EXTEXTRACT-6b51aaa918923ed773068b92,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-012add8bb35407a7acd8b5f7.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-012add8bb35407a7acd8b5f7.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-012add8bb35407a7acd8b5f7.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-012add8bb35407a7acd8b5f7.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab/EXTPAYLOAD-012add8bb35407a7acd8b5f7.tables.jsonl.gz,html,abedabc34559e165d2898305ba7e93b5e4bd6077cb478450f8ab3adfa54d4bf3,EXTSOURCE-012add8bb35407a7acd8b5f7,RESCAND-90953fecf6e8a494c3eedb78,external_search_wave_002_exhaustive_residual,,Chester,OH,2025,unclear,unclear,contextual_controls|implementation_confirmation|payroll_and_earnings|tenure_and_progression,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-457740160d576f894d9c7fbb|ROOTCOMP-6ae7e03e9ca6319e1620d352,MECHEXP-0538d2cac109f3004d8e4512|MECHEXP-5a5a668edd0d0f10a96fbbb1|MECHEXP-621b41debd2c328ff3264c39|MECHEXP-759af4dda043a6fd119f8f32|MECHEXP-79733390ea43dfa998da06ac|MECHEXP-835b6295201c3198d3523daa|MECHEXP-837545daf9364cfd4a64b210|MECHEXP-c23e05950c8616e24c580955|MECHEXP-ce7eebb7a1a34397863e9f52|MECHEXP-f7ae07c6e3e46a15f6f36d20,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,,deterministic_text_pattern_processing_ready,contextual_controls,extracted_text_ok,0,158,0,0,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-0131240c6fc2b7daa962e497,EXTEXTRACT-0a94a774b62a6d4df1cb03ca,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/40/EXTPAYLOAD-0131240c6fc2b7daa962e497.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/40/EXTPAYLOAD-0131240c6fc2b7daa962e497.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/40/EXTPAYLOAD-0131240c6fc2b7daa962e497.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/40/EXTPAYLOAD-0131240c6fc2b7daa962e497.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/40/EXTPAYLOAD-0131240c6fc2b7daa962e497.tables.jsonl.gz,html,405e3a1282a41ef0593d075f559daa38149614997523f4b46383784c0a57f646,EXTSOURCE-0131240c6fc2b7daa962e497,EXTCAND-4d632dfb810a628c2cfbdaa3,external_search_wave_001_compacted,,Union,OH,2019,fire,fire,benefits_and_total_compensation|implementation_confirmation|multi_family_administrative_source|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-a406739a8eb4014a3d768fc3,MECHEXP-346c754c1ac209e236969179|MECHEXP-730608e67d75af32d65dcebe|MECHEXP-a96e5839fe5d7bd6be3770e7|MECHEXP-ae5b1033c48c0e9fe6d21c3d|MECHEXP-c4376085efb025c23a458983,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,mixed_structured_and_text_processing_ready,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,extracted_text_and_structured_ok,0,264,0,1,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-013cee2a9104b3a6839ff324,EXTEXTRACT-b8a39c5b29b8dbe10517935b,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1b/EXTPAYLOAD-013cee2a9104b3a6839ff324.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1b/EXTPAYLOAD-013cee2a9104b3a6839ff324.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1b/EXTPAYLOAD-013cee2a9104b3a6839ff324.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1b/EXTPAYLOAD-013cee2a9104b3a6839ff324.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1b/EXTPAYLOAD-013cee2a9104b3a6839ff324.tables.jsonl.gz,html,1b762d8c64489e090a1e28c3b6d701f4519510935e9effd6de02051435b539a1,EXTSOURCE-013cee2a9104b3a6839ff324,EXTCAND-da22ece0d84da5726ad961f9,external_search_wave_001_compacted,,Hazen,AR,undated,police,police,benefits_and_total_compensation|payroll_and_earnings,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-1262eb380252cc321a5399ba,MECHEXP-6f9f40eb9a5aa5b7c53f1886|MECHEXP-791c1d9306a5b03b3ede53cc|MECHEXP-af14c52c69e29c9bcf1fb889|MECHEXP-dcd4f456443026bbb8e0e7ee|MECHEXP-df66b671a20b8fcf9dc58560|MECHEXP-fa598f1b7539dd3b19f98caf,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,mixed_structured_and_text_processing_ready,payroll_and_earnings,extracted_text_and_structured_ok,0,30341,170,0,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-0140ed1317b38ef289281c58,EXTEXTRACT-937001bd1f428dee456502c1,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/84/EXTPAYLOAD-0140ed1317b38ef289281c58.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/84/EXTPAYLOAD-0140ed1317b38ef289281c58.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/84/EXTPAYLOAD-0140ed1317b38ef289281c58.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/84/EXTPAYLOAD-0140ed1317b38ef289281c58.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/84/EXTPAYLOAD-0140ed1317b38ef289281c58.tables.jsonl.gz,html,84657de9ebe2194d05e4130252c779a410b53f8af748bd3a22caf597f248ce10,EXTSOURCE-0140ed1317b38ef289281c58,EXTCAND-ec64bade3ea3ce23497e1a3c,external_search_wave_001_compacted,,Crete,NE,undated,all_units,all_units,benefits_and_total_compensation|implementation_confirmation|multi_family_administrative_source|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,staffing_table,official_administrative_summary,extraction_priority_high,ROOTCOMP-aee90f2af589612dade4a7e1|ROOTCOMP-dfaf60748d4fdd2d77f940cc,MECHEXP-19a0f384e83d67c1bb156ad1|MECHEXP-22d6f28ec3d5edc5301cab23|MECHEXP-a10dc55904fa2fa3903e8474|MECHEXP-a7b7ce346d63faf90c5c14b4|MECHEXP-b0c03d5c7e7a045acfcc2444|MECHEXP-c1e3aa350ece1494d8e37fd3,,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,mixed_structured_and_text_processing_ready,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,extracted_text_and_structured_ok,0,154,2,0,canonical_stage6_physical_extraction_result,field_span_lane_004
EXTPAYLOAD-0167cc71e74ff7d0798abe16,EXTEXTRACT-8ec2758e00cc4d6dabfd3d98,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f9/EXTPAYLOAD-0167cc71e74ff7d0798abe16.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f9/EXTPAYLOAD-0167cc71e74ff7d0798abe16.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f9/EXTPAYLOAD-0167cc71e74ff7d0798abe16.txt.gz,pdf,f907cb9f9bdce1342fe79aeff79fe8391e5dead78aec99bbf891758e1fee0234,EXTSOURCE-0167cc71e74ff7d0798abe16,EXTCAND-874c30246af9c14e8208ec16|EXTCAND-bcf05fd9a5ac16aa44058b81,external_search_wave_001_compacted,,Gardner,KS,2023,all_units,all_units,implementation_confirmation|payroll_and_earnings,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-6da52ba7d971a3430c5cebc5|ROOTCOMP-d6ae79d26078b8749630a646,MECHEXP-149c03712c52f107c79c93a1|MECHEXP-31fbc4d2c0377c27609dd7c9|MECHEXP-4838d9a5d41a13e7a4dd8585|MECHEXP-7d15cab8c1db5c8efa08c24e|MECHEXP-8eb2922cc3e7c1d4163b215e|MECHEXP-a7e95d7676b20a84b758d8ab|MECHEXP-c68136d61fe8cf54c0f24244|MECHEXP-e1fdcaea5ac9fc79a36c411a|MECHEXP-f92d467035204bb33f28a416|MECHEXP-fbcc662bb375139e129bbba8,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,,deterministic_text_pattern_processing_ready,payroll_and_earnings,extracted_text_ok,62,0,0,0,canonical_stage6_physical_extraction_result,field_span_lane_004
