external_field_record_id,canonical_payload_id,extraction_result_id,retained_source_ids,source_SHA_256,candidate_ids,municipality_raw,municipality_canonical_id,state,department_raw,department_canonical_hint,unit_raw,position_or_employee_raw,side_raw,side_deterministic_hint,period_raw,start_date_raw,end_date_raw,fiscal_year_raw,calendar_year_raw,field_family,field_name,raw_value,parsed_value,parsed_value_type,currency,unit,pay_basis_raw,compensation_basis_raw,recurring_status_raw,implementation_status_raw,source_page,source_section,source_table_id,source_row,source_column,source_cell,source_character_start,source_character_end,evidence_span_id,rule_id,rule_version,dictionary_version,parser_version,extraction_timestamp,extraction_confidence,extraction_confidence_basis,ambiguity_flags,conflict_flags,root_event_ids,mechanism_event_ids,claim_ids,claim_linkage_status,expected_claim_upgrade_tags,search_wave_provenance,extraction_modality,administrative_source_type,source_family,source_quality,extraction_artifact_pointer,lineage_basis
EXTFIELD-3c68d0221e0c6a8643a1b79d,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,expired,"31,",31,integer,,,,,,expired,2,,,,,,1311,1314,EXTSPAN-b4f6de5166f647bb28715cf3,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,exact_labeled_text,exact_labeled_text,,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-d682337d83ef61ff3f769af4,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,implementation_status,expired,expired,categorical_literal,,,,,,expired,2,,,,,,1296,1303,EXTSPAN-c17f765657dc3dd982dd01f6,FIELD-IMPLEMENTATION_CONFIRMATION-IMPLEMENTATION_STATUS,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-8858f1936706c750c4c1eece,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,expired,expired,expired,categorical_literal,,,,,,expired,2,,,,,,1296,1303,EXTSPAN-b4f6de5166f647bb28715cf3,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-527bbb3e558c1ef8f6e2eb58,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,payroll_and_earnings,unit,3,3,integer,,,,,,,2,,,,,,1504,1505,EXTSPAN-f247b8d153890a059c4a89f4,FIELD-PAYROLL_AND_EARNINGS-UNIT,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,exact_labeled_text,exact_labeled_text,,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-9d72ae45bbc7131704be01ac,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,expired,1,1,integer,,,,,,expired,3,,,,,,3333,3334,EXTSPAN-8129f5d268f80a47c4af5f73,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,exact_labeled_text,exact_labeled_text,,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-5557e6f3fae1094a6a5af1e7,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,implementation_status,expired,expired,categorical_literal,,,,,,expired,3,,,,,,3325,3332,EXTSPAN-7e017efa5a474395d5d3298a,FIELD-IMPLEMENTATION_CONFIRMATION-IMPLEMENTATION_STATUS,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-70fe63dff6539ebf0412e94d,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,expired,expired,expired,categorical_literal,,,,,,expired,3,,,,,,3325,3332,EXTSPAN-8129f5d268f80a47c4af5f73,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-db3c9891d5896828fede68c5,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,expired,"2009,",2009,integer,,,,,,expired,3,,,,,,3756,3761,EXTSPAN-2875bd0f04d25f85122ba5b6,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,exact_labeled_text,exact_labeled_text,,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-f5ab1b19ba41aa70301576e2,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,implementation_status,expired,expired,categorical_literal,,,,,,expired,3,,,,,,3741,3748,EXTSPAN-97e46bc4ee33de90741e9fb0,FIELD-IMPLEMENTATION_CONFIRMATION-IMPLEMENTATION_STATUS,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTFIELD-24fd71371ceaecd169b0b8f6,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,RESCAND-777f40bbcb93f6aa159ce49d,Avon,,NY,,unclear,,,,unclear,undated-source-B4X2500LIVE-20260729-001409,,,,,implementation_confirmation,expired,expired,expired,categorical_literal,,,,,,expired,3,,,,,,3741,3748,EXTSPAN-2875bd0f04d25f85122ba5b6,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,direct_official_administrative_record,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
