object_id,size_bytes,path,is_retained_source,is_source_binary,over_100mb
8d6b1e41cf31c146f463a889d1f52a188757b20b,65319205,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-2278240892c304890660.pdf,true,true,false
78b0b999e58831eaa00b13e2918aca7f2ec4db07,65227104,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-da4f8545c43f4ca0889d.pdf,true,true,false
c16b6a678ff24cab00e94084bdbb10b7c4209215,64147329,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-803d995e8cc9c477d1fe.pdf,true,true,false
7f80474265262cc953f03b52d4d59cb4927a7d76,63969965,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-6d7c15cd0a20a4e25abb.pdf,true,true,false
6021787c304259d0a2a8a1124e8207ae74604776,63137322,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-eb52861a67a3cc8814b9.pdf,true,true,false
adb336ffc96b43a5131af78116966c7a1d31d9d4,59410477,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-3f61af652a3a66934d3e.pdf,true,true,false
034d56741678d4fec4b13d140d88f1acf9e1ec58,58797854,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-0e978b2dd07e644e00e4.pdf,true,true,false
5b351b58e07a0487bef6947beb65e65f910dc4e9,55295209,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-9115f48c882acc067214.pdf,true,true,false
bb2e3bad9ff47d25c93aa4ed1239fac41ad1accb,50541684,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-4fb5f1d6c42ad76115aa.pdf,true,true,false
20f67ff368bc06244440c4b05327c849af1c6055,50256857,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-6e5378b0e484a9c25f77.pdf,true,true,false
