path,category,size_bytes,sha256,tracked
.gitattributes,other_lightweight,521,5d08ed50295786543ae5985a87af2391e163175760a66fe1e07320fcc1b55eca,true
.gitignore,other_lightweight,1415,4a88f1487254054b4b5683c92d77aa655ca7261cd36476dc7b5caa00143256b1,true
docs/analysis/combined_broad_pdf_text_layer_readiness_4961_dashboard_status_note_2026-07-28.md,analysis_doc_or_manifest,360,3ae39cdc8b15635c93ae810111edf9dd07cc43a220851fa7e65f78213e668821,true
docs/analysis/combined_broad_pdf_text_layer_readiness_4961_result_2026-07-28.md,analysis_doc_or_manifest,536,35bd8adb31cb7469ab1c0c1a6df5b3dec622ee088e82bd880d12944bb10af111,true
docs/analysis/combined_broad_source_review_download_5589_dashboard_status_note_2026-07-28.md,analysis_doc_or_manifest,566,4d9b963d24f98e7a4032b9f28d13a961b00fbf6c8e65611d0fbe2ab2e2e55fe0,true
docs/analysis/combined_broad_source_review_download_5589_result_2026-07-28.md,analysis_doc_or_manifest,1342,cc5609e2b093ef6dd61d634e0b3c0a2dfd03a0ced1104f618298ecbe0d398d17,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_cba_concentration_report.md,readiness_artifact,385,117cea376e2745da206aa861b1d8833e27260b3387afaf6c796938d7d93772d4,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_corrupt_or_unreadable.csv,readiness_artifact,3074,040eb0f277ee2e0cfc8b6978f0a9e06b6d08c11f93a47ae5c0adf3bb8b68f279,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_corrupt_or_unreadable_summary.json,readiness_artifact,153,6c914f15b85d5347fbae52e6c0fe0ac8e47b4fbf87dd526997af2f6d836fe20c,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_dashboard_update_summary.json,readiness_artifact,701,d9b33b67d0cbace78784eea5b7b6edc657055d139992db5f139d6a4f4bcd5942,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_dashboard_update_summary.md,readiness_artifact,386,ea11c0b01b39d4137b937544ba9f3d189417857ddb14df864280f83e1fe56efd,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_decision.json,readiness_artifact,1928,32aa9c1174f00d6c209ba82ea5d488075983c4708ddf9a2fc0bb0c0bf13b90f8,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_encrypted_or_locked.csv,readiness_artifact,47925,cb69191d2428fb432a8a7eb0d3cc9da976f55e2e34ed46009a6658c46e0895a5,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_encrypted_or_locked_summary.json,readiness_artifact,152,1ccdc182451d0c35b2ae02385b1ef514be73bd93b615d120451512258b728cd0,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_file_integrity.csv,readiness_artifact,1718611,0502a9cc7652399c1dbc9aee9076c28a8f5dd2d413527d4ae72e2851d25ecef0,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_file_integrity_preflight.csv,readiness_artifact,1947897,37c18c68c5944cf6953ba6f907990b236148edacd1aed45947d7c63228f993a6,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_file_integrity_preflight_summary.json,readiness_artifact,223,3daed595fc3d5fc0b28630ab0db29f35b8c067a90e7bda44c29d4bdbefddecf1,true
docs/analysis/compensation_extraction/COMBINED-BROAD-PDF-TEXT-LAYER-READINESS-4961-PARALLEL-LANES-2026-07-28/combined_broad_pdf_text_layer_readiness_4961_file_integrity_summary.json,readiness_artifact,176,349c663b5ea875347be01afc52e86589ee616cdbd805c81ab2c492f262ab6996,true
