example_id,source_record_id,example_type,municipality,state,source_family,evidence_type,side_label,mechanism_class,brief_bounded_evidence_summary,why_this_example_matters,claim_it_supports,caveats,raw_bounded_snippet_or_pointer,source_lineage
WCCPEX-b7717536d2561f66db0ced52,WCM-20b28280dbc27a559ca3accd,mechanism,Harrison,OH,mou_or_memorandum,mechanism,police_direct,collective_bargaining,"Harrison, OH: a mou_or_memorandum record codes collective bargaining for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the collective bargaining channel without treating the record as a causal estimate.,mechanism_card:collective_bargaining,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-0623b86e76118f9bb037ce9e,"{""candidate_id"": ""BRM5C-BRM5-20260731-02278-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2021/21-MED-02-0192.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2021/21-MED-02-0192.pdf"", ""scout_target_id"": ""BRM5-20260731-02278""}"
WCCPEX-620023a75d044a4d722b9ff0,WCM-2bbc0dcf4d342856157b19c2,mechanism,Union,OH,wage_schedule,mechanism,police_direct,collective_bargaining,"Union, OH: a wage_schedule record codes collective bargaining for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the collective bargaining channel without treating the record as a causal estimate.,mechanism_card:collective_bargaining,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-3a81fdb91f12dbf82a26983f,"{""candidate_id"": ""BRM5C-BRM5-20260731-13660-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1190.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1190.pdf"", ""scout_target_id"": ""BRM5-20260731-13660""}"
WCCPEX-8b5ca902e53552361ae73478,WCM-4675ccb7629f4ff4af6bf696,mechanism,Hatfield,PA,wage_schedule,mechanism,police_direct,collective_bargaining,"Hatfield, PA: a wage_schedule record codes collective bargaining for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the collective bargaining channel without treating the record as a causal estimate.,mechanism_card:collective_bargaining,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-03be1266f8c7a0c747d223a7,"{""candidate_id"": ""BRM5C-BRM5-20260731-03258-03"", ""final"": ""https://hatfield.org/media/1679/march-24-2021-regular-meeting-agenda-packet.pdf"", ""original"": ""https://hatfield.org/media/1679/march-24-2021-regular-meeting-agenda-packet.pdf"", ""scout_target_id"": ""BRM5-20260731-03258""}"
WCCPEX-c50f28536893cd93aa5a787c,WCM-6feb36825174f81c9c297e33,mechanism,Caledonia,OH,cba,mechanism,remains_unclear,arbitration_factfinding,"Caledonia, OH: a cba record codes arbitration factfinding for remains_unclear; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the arbitration factfinding channel without treating the record as a causal estimate.,mechanism_card:arbitration_factfinding,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-8e415c438b17e8450c8b78ac,"{""candidate_id"": ""BRM5C-BRM5-20260731-02208-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-09-1067.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-09-1067.pdf"", ""scout_target_id"": ""BRM5-20260731-02208""}"
WCCPEX-9002228502ce09035b47f850,WCM-3140e457a07cd6f05de6770c,mechanism,Olive,NY,cba,mechanism,police_direct,arbitration_factfinding,"Olive, NY: a cba record codes arbitration factfinding for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the arbitration factfinding channel without treating the record as a causal estimate.,mechanism_card:arbitration_factfinding,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-e1f197ee05ff1ed1a5d31c7f,"{""candidate_id"": ""BRM5C-BRM5-20260731-14254-01"", ""final"": ""https://townofoliveny.gov/wp-content/uploads/2023/12/Olive-Police-CBA-2024-2026.pdf"", ""original"": ""https://townofoliveny.gov/wp-content/uploads/2023/12/Olive-Police-CBA-2024-2026.pdf"", ""scout_target_id"": ""BRM5-20260731-14254""}"
WCCPEX-485dc4377f5385f3763a6858,WCM-3d479afd780a776fa61f3b03,mechanism,Glendale,WI,mou_or_memorandum,mechanism,police_direct,arbitration_factfinding,"Glendale, WI: a mou_or_memorandum record codes arbitration factfinding for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the arbitration factfinding channel without treating the record as a causal estimate.,mechanism_card:arbitration_factfinding,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-65e493407a4e6b8f44f434da,"{""candidate_id"": ""BRM5C-BRM5-20260731-17676-01"", ""final"": ""https://glendalewi.gov/AgendaCenter/ViewFile/ArchivedAgenda/_11252024-751"", ""original"": ""https://www.glendalewi.gov/AgendaCenter/ViewFile/ArchivedAgenda/_11252024-751"", ""scout_target_id"": ""BRM5-20260731-17676""}"
WCCPEX-605e55a2877ed56999fd1d6a,WCM-00613e37654f6a99adf1431e,mechanism,Milaca,MN,cba,mechanism,police_direct,non_base_compensation,"Milaca, MN: a cba record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,mechanism_card:non_base_compensation,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://cityofmilaca.org/documents/556/01-17-24_AGENDA_PACKET_PAGE_NUMBERS.pdf
WCCPEX-a443067e1aa2cb1c4e72dce3,WCM-00e4cf7635c260c4072a5eb6,mechanism,Orchard Lake Village,MI,wage_schedule,mechanism,police_direct,non_base_compensation,"Orchard Lake Village, MI: a wage_schedule record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,mechanism_card:non_base_compensation,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://cityoforchardlake.community.diligentoneplatform.com/document/0af5d23b-cfb0-48cc-b58f-bf7694d1bbe3
WCCPEX-dea0cd1123e3866a6fa117d1,WCM-011041c42392c701cecb62b5,mechanism,Sugarcreek,OH,cba,mechanism,fire_direct,non_base_compensation,"Sugarcreek, OH: a cba record codes non base compensation for fire_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,mechanism_card:non_base_compensation,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-12-1421.pdf
WCCPEX-f2fd6f6f10b7f68fc611502d,WCM-00a980f022281945c2af9e9b,mechanism,Wellsville,NY,cba,mechanism,police_direct,step_schedule_seniority,"Wellsville, NY: a cba record codes step schedule seniority for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the step schedule seniority channel without treating the record as a causal estimate.,mechanism_card:step_schedule_seniority,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://seethroughny.net/contracts/VillageofWellsville_P_2017.pdf
