qa_resolution_id,review_queue_row_number,review_type,extraction_case_id,page_number,lane,source_observation_ids,source_observation_count,resolution_classification,resolution_status,canonical_observation_id,duplicate_observation_ids,affected_quantitative_observation_ids,affected_non_base_wage_observation_ids,corrected_quantitative_action,corrected_non_base_wage_action,local_evidence_inspected,bounded_evidence_pointer,structured_basis,confidence,unresolved_flag,notes
qares_7bf40186cf4bcda3a10ed640,1,exact_content_duplicate,cex_b8904d5f29508df492899b0a,21,quantitative,qobs_0f812bc8463cb90b8680eec6|qobs_806595827983c836af0e67fd|qobs_aa32d97233e694c1b2a41310,3,duplicate_or_same_observation,resolved,qobs_0f812bc8463cb90b8680eec6,qobs_806595827983c836af0e67fd|qobs_aa32d97233e694c1b2a41310,qobs_0f812bc8463cb90b8680eec6|qobs_806595827983c836af0e67fd|qobs_aa32d97233e694c1b2a41310,,canonicalize_preserve_all_rows,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0417_sr_8600ac402ca15af56272e37b.pdf#page=21,Exact structured content repeats; earliest source-ledger row is canonical.,high,false,
qares_6ca45aba8f3a6097408fed8f,2,exact_content_duplicate,cex_a873bae3a7a05fe3314754fe,2,non_base_wage,nobs_f3124f700a5ae9729131304f|nobs_a27d3f791b7a18b06928853a,2,duplicate_or_same_observation,resolved,nobs_f3124f700a5ae9729131304f,nobs_a27d3f791b7a18b06928853a,,nobs_f3124f700a5ae9729131304f|nobs_a27d3f791b7a18b06928853a,no_change,canonicalize_preserve_all_rows,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf#page=2,Exact structured content repeats; earliest source-ledger row is canonical.,high,false,
qares_0bfe7d663ae5af9d89a073a0,3,potential_quantitative_conflict,cex_6967b92238ab419d9d658bb2,32,quantitative,qobs_3927f2ce7f61932d8c996d04|qobs_a92440905e9762cfdf93f485,2,non_base_wage_misroute,resolved,,,qobs_3927f2ce7f61932d8c996d04|qobs_a92440905e9762cfdf93f485,nobsqa_1cd4b56cb4d808d1454066cf|nobsqa_b07c85bd729dbbbfd35243d6,deactivate_and_route_to_non_base_wage,create_corrected_non_base_records,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=32,Structured values/reason codes identify non-base compensation: overtime,high,false,
qares_8174e69b404ef0dac7cb7946,4,potential_quantitative_conflict,cex_cf2ef3b39fdcb44d58e51f3b,6,quantitative,qobs_8044c5b70358d7b132b804a2|qobs_4b7fa2ac4dc2c0441ed90118,2,distinct_schedule_cell,resolved,,,qobs_8044c5b70358d7b132b804a2|qobs_4b7fa2ac4dc2c0441ed90118,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0239_sr_f567c10fc4c29904b86746eb.pdf#page=6,Distinct reason codes identify separate percentage components/cells.,medium,false,
qares_02b477c2d3d03d1f30c110da,5,potential_quantitative_conflict,cex_5bcf8fc4872759a9bb92a89b,10,quantitative,qobs_09740c868c022a470219240f|qobs_e183f31821059045e64e898d,2,distinct_schedule_cell,resolved,,,qobs_09740c868c022a470219240f|qobs_e183f31821059045e64e898d,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0247_sr_7a1e7e179be6878c489ecadf.pdf#page=10,Distinct reason codes identify separate percentage components/cells.,medium,false,
qares_84f4bfcff88c8c6e400b885f,6,potential_quantitative_conflict,cex_43e0f3541d71ad9b5fbacbcc,5,quantitative,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf,2,distinct_schedule_cell,resolved,,,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0260_sr_d16f4923de223f420aaaa691.pdf#page=5,Distinct reason codes identify separate percentage components/cells.,medium,false,
qares_2b5e88979fbe81f91e58af3e,7,potential_quantitative_conflict,cex_3aa9b7e69b4a086e1dd2e5b5,8,quantitative,qobs_37b00ea23114e8bcc3dc5ac6|qobs_d21cb18e2de539057c644ca9,2,insufficient_evidence_needs_review,unresolved,,,qobs_37b00ea23114e8bcc3dc5ac6|qobs_d21cb18e2de539057c644ca9,,retain_active_flag_unresolved,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0050_sr_8cdb6ccab3663d30d4acaa57.pdf#page=8,Different percentage values share the same structured period and reason code.,low,true,
qares_59c4f9bf508cabedbf029932,8,potential_quantitative_conflict,cex_f86002aabdcccceea3315e2d,5,quantitative,qobs_dc3e4751cef3e970f04b7f96|qobs_b3ee2db3f3a0aabb224d611b|qobs_bb580cc8f6ed01dcb4c94361|qobs_f4d14c722cfade7fd4c6ad82,4,distinct_schedule_cell,resolved,,,qobs_dc3e4751cef3e970f04b7f96|qobs_b3ee2db3f3a0aabb224d611b|qobs_bb580cc8f6ed01dcb4c94361|qobs_f4d14c722cfade7fd4c6ad82,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0032_sr_61c3f970b8595086cc44ddf4.pdf#page=5,Distinct reason codes identify separate percentage components/cells.,medium,false,
qares_c105f02244a4139306001769,9,potential_quantitative_conflict,cex_38a5d6d6ba59bb2283411321,23,quantitative,qobs_e5c3fdd0d9108331d7db1b58|qobs_e8e5bc5566c92f2f6ccb6e45,2,non_base_wage_misroute,resolved,,,qobs_e5c3fdd0d9108331d7db1b58|qobs_e8e5bc5566c92f2f6ccb6e45,nobsqa_329ab271358f7f9c743893ed|nobsqa_38b3bbe899064da5db1575f9,deactivate_and_route_to_non_base_wage,create_corrected_non_base_records,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0372_sr_6a518c030445f9161bcb7cef.pdf#page=23,Structured values/reason codes identify non-base compensation: overtime,high,false,
qares_b2f8b54e1c7263340bce47a6,10,potential_quantitative_conflict,cex_8e422fc7cff83da56aec2e17,10,quantitative,qobs_d57cfcec1d1300d5e61fa631|qobs_698296c4f25f511e49baa894,2,non_base_wage_misroute,resolved,,,qobs_d57cfcec1d1300d5e61fa631|qobs_698296c4f25f511e49baa894,nobsqa_f18732f7032e46fac733d0cf|nobsqa_486a9db7f628aa8b9b9bb0eb,deactivate_and_route_to_non_base_wage,create_corrected_non_base_records,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0234_sr_08f37611d328e626f631de53.pdf#page=10,Structured values/reason codes identify non-base compensation: overtime,high,false,
