non_base_wage_observation_id,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,non_base_wage_type,value_text,effective_date,eligibility_or_implementation_rule,bounded_evidence_pointer,confidence,reason_code,qa_status,source_quantitative_observation_id,qa_original_status,qa_resolution_id,qa_resolution_classification,qa_resolution_status,canonical_observation_id,duplicate_of,active_in_corrected_lane
nobs_d506ecdba49defa12e0e8b6c,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,sr_440fd5a0042b486017759ca5,NSCQ-AK-20260720-0002,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,non_safety,cba,,,21,other,one half of the severance pay,,Applies when the member(s) rejects the offer of placement and are laid off; severance pay is based on years of service as of the layoff date.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=21,medium,SLCNW_21_HALF_SEVERANCE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_d506ecdba49defa12e0e8b6c,,true
nobs_ca089076a19f73b174532b8f,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,sr_440fd5a0042b486017759ca5,NSCQ-AK-20260720-0002,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,non_safety,cba,,,20,other,no severance pay,,For tenure: 0 to less than 6 months.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=20,medium,SLCNW_20_NO_SEVERANCE_0_TO_LT_6,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_ca089076a19f73b174532b8f,,true
nobs_09ef3fafa4e8d99440cd7329,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,sr_440fd5a0042b486017759ca5,NSCQ-AK-20260720-0002,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,non_safety,cba,,,21,other,one hundred and twenty (120) calendar day notice period; severance pay references,,Waiver option exists to receive severance pay effective on layoff date (full severance formula/amount not visible).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=21,low,SLCNW_21_120_DAY_NOTICE_REFERENCE_ONLY,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_09ef3fafa4e8d99440cd7329,,true
nobs_4d560df30b6a38d7f38351d0,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,sr_dcae25c8b0630a7188cd55ee,NSCQ-AK-20260720-0001,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,police,cba,,,33,leave,compensatory time off in lieu of overtime pay; compensatory hours maximum two hundred forty (240); treated in same way /,,employee may elect compensatory time off in lieu of overtime pay; compensatory time off earned from overtime hours; compensatory time off is treated like annual leave,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=33,high,COMP_TIME_OFF_IN_LIEU_TREATED_AS_ANNUAL,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_4d560df30b6a38d7f38351d0,,true
nobs_84fc020578c1abc7e7fb9b88,cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,ttd_8e861bd2c1a8288eb2f035d4,sr_66f1bcfc906b687ba2b5f6b1,NSCQ-AK-20260720-0005,AK,Fairbanks,CITY OF FAIRBANKS,fire,memorandum_or_settlement,,,2,overtime,"OVERTIME COSTS $ (450,000)",,Not specified; connected to proposed CBA changes affecting overtime costs,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=2,high,OVERTIME_COSTS_DOLLAR_TOKEN_VISIBLE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_84fc020578c1abc7e7fb9b88,,true
nobs_a1a46b41b1556d96375afe6a,cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,ttd_8e861bd2c1a8288eb2f035d4,sr_66f1bcfc906b687ba2b5f6b1,NSCQ-AK-20260720-0005,AK,Fairbanks,CITY OF FAIRBANKS,fire,memorandum_or_settlement,,,2,overtime,overtime costs increased by 33% in 2020 and 2021; proposed changes will reduce overtime costs in future years to amounts,,Impacted by proposed staffing/rules changes; future reduction described without a specific date,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=2,medium,OVERTIME_COSTS_PERCENT_AND_REDUCTION_TO_,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_a1a46b41b1556d96375afe6a,,true
nobs_cb78147efffe3fe28737b910,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,5,healthcare_contributions,"HEALTH* 6.46 (per hour, new)","April 10, 2023",Shown in Schedule A benefit package columns for the classification.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=5,high,SCHEDULE_A_HEALTH_RATE_TOKEN_FOR_INVENT,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_cb78147efffe3fe28737b910,,true
nobs_acd7d59aaab55c8d142375c6,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,5,pension,"PENSION 10.53 (per hour, new)","April 10, 2023",Shown in Schedule A benefit package columns for the classification.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=5,high,SCHEDULE_A_PENSION_RATE_TOKEN_FOR_INVENT,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_acd7d59aaab55c8d142375c6,,true
nobs_24d4b840799b0808ad196e9e,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,5,other,PAC/CAF '-' (shown for new package row),"April 10, 2023",Shown in Schedule A benefit package columns for the classification.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=5,medium,PAC_CAF_TOKEN_DISPLAYED_AS_DASH,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_24d4b840799b0808ad196e9e,,true
nobs_d9273cfc7d093e03aad0297c,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,5,healthcare_contributions,"HEALTH* 6.46 (per hour, new)","April 10, 2023",Shown in Schedule A benefit package columns for the classification.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=5,high,SCHEDULE_A_HEALTH_RATE_TOKEN_FOR_PARTS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_d9273cfc7d093e03aad0297c,,true
