canonical_external_ingestion_id,external_administrative_observation_id,source_excerpt_or_table_row,source_SHA_256,source_page,source_table_id,source_row,source_character_start,source_character_end,proposed_analytical_role,linked_claim_ids,reason_for_cross_examination,conflict_flags,ambiguity_flags,expected_consequence_if_upheld,expected_consequence_if_rejected,recommended_review_type,adjudication_performed
EXTINGEST-6298447dd1686f5fce219644,EXTOBS-20e5e341d038ec373e61c44f,OFFICE OF THE COMPTROLLER,a71405c69d1c2e07fae9d7edf25a4c42f767f578a6fb868de9136295eecff7d8,,html_table_1,1192,,,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-91474e84c3da91622356d572,EXTOBS-258531c531ea10d6ad05c260,19,ad5a70ca2253a90ec62d0ccc0a3fdfa591e34e6290253318d4dd0f2a6822e7b4,,,,1849707,1849709,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-c3bc5cd311433d26517c77bf,EXTOBS-4243d9f061461ce3512c96d3,3,388ac419ef5b68ed1e1d04190977097add34bf67144715e32fda0ef3587f31cc,79,,,260229,260230,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-b344b41bd535f67a7c587372,EXTOBS-0ee12ed96e438c2907766596,"57,",970a5743db0d3ee69b30ae37698d7f843a995eba9b2d43d321f9dccd9421289d,12,,,17410,17413,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-7abfe24977da0f16ca01c022,EXTOBS-917d1f51dd9f71acbf9b6aa4,Client Fraud Investigation Records – All Other Programs (Corporate Master),f5ee1544a875556103c4194ec4bfd399b266b502ba8ee0bf0b4ce0d2e3d8be8e,,html_table_4,2410,,,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-2d926474ceadb45b81171e59,EXTOBS-c7d09bc2488806f6dcb0fc59,-3,23ead36ff1661ff39304b70110fde5f92ba41c19b252173308ebbda165f46726,76,,,146909,146911,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-7a47a8af40bbec739e7dbed6,EXTOBS-fe7a7cb9fefef0e4ba4fa570,3820,35450684004af514bd159d86e49e55701e02fd5d6cbed8974d8fac94d70a5955,,,,411378,411382,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-ba056b44a9475cc25bab6138,EXTOBS-18de944a6e796a1e8efeac47,"$2,489,134.00",23ead36ff1661ff39304b70110fde5f92ba41c19b252173308ebbda165f46726,136,,,276071,276084,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-9e787bb1a0b0f084e4ca572e,EXTOBS-6b526f1086416f8fa544e5a5,"20,000",229c611c0e9d5f8934dc812b1f22d34d656ba9d1093ce7856028510bc5880eb7,60,,,137901,137907,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-f66219e5b97540216702fc6b,EXTOBS-8a3da71d5e2b3711b1ad9ae8,DEPARTMENT OF HUMAN SERVICES,df914e9479087d82841e0bc8dd7e0ac2c21db47e4ed48436b09d7e12dc84ad3e,,html_table_1,1834,,,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-b36585a806465910526bb802,EXTOBS-fb70ded6cf1eed956de8780c,MELISSA HEINAN,6d8eede2ee8588b20a62996d7bf4f498e4534632425ac89b71acce039f7e5857,,html_table_10167,3,,,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-ed019d72f15640891ebcb796,EXTOBS-cc8f9f8386d4ef21f9da064f,UN LAKE_GENERAL LAKE,5d6a2908649c823447dca3916d24f24f55e2189ac2da9f713173913ca7660f63,222,,,569897,569918,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-06733954d2a1d00b420ce01d,EXTOBS-24e1ac6a7016de3465e9e641,"45,990",0f1b369a785d466bfec4542b902c98941dd8ee830cca60ccf23a1429f4a27f28,11,,,88304,88310,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-db0ec9bde46ae7f878706525,EXTOBS-a515f3db5b37dfe6c4cba576,1,6e4514ba27fc0ac8af72465c69a49450058b8478b168d91e291cfbd9de755f7b,20,,,48460,48461,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-28eaa9f5dec403020c64eaed,EXTOBS-6fa04fc1a502ff6d002f2da5,GREEN CREEK,dccf53f0b722953d61c96e03bba596652ac71127ceb2a62631991e85759f45b9,,html_table_2,1014,,,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-2ab1a3440ed810fbd68e6fb6,EXTOBS-5a5374bf3273aed91ab07125,Exterior Wall 2,6d85244a2b473d7cc2d02e1cf61c8631029af8c2720d117e40675b1eb633f7ae,,html_table_7,11,,,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-f98a3b5ec952f9b0cc5392be,EXTOBS-51061fcae2eb5d466883ac4d,Budget Unit Brief,38a6e932c8a55a4fa278b5aec241284942b2543e0ca6900d964268ceb9c44f04,,html_table_1,1910,,,local_comparison_candidate,,headline_or_local_comparison_candidate,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
