canonical_external_ingestion_id,external_administrative_observation_id,source_excerpt_or_table_row,source_SHA_256,source_page,source_table_id,source_row,source_character_start,source_character_end,proposed_analytical_role,linked_claim_ids,reason_for_cross_examination,conflict_flags,ambiguity_flags,expected_consequence_if_upheld,expected_consequence_if_rejected,recommended_review_type,adjudication_performed
EXTINGEST-3834ca687361e52160360a75,EXTOBS-2455fdaf3197c470851959a5,0.07,a2f7ef31c94ca88748e93585a38cf088e24ee57b43190e284a38bb0476951c10,41,,,82170,82174,staffing_hypothesis_candidate,MECH-06,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-e54decbbfd94d6a153402ad6,EXTOBS-d2a6fbe2e1053a98cec60d64,30,f7b8a45b165a7ffa1b15a3b764e8ecce383b46562b6259df791a9c2cfcd27392,225,,,458921,458923,local_comparison_candidate,MECH-09,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-c5633890f60cb8ae20d1b449,EXTOBS-1aeea1fdcf55602eb51cbaeb,17.06,eaca51651c344c70804db30f9dbe07cd69f99ba19412b24c6e25722abac608fe,,,,2801535,2801540,growth_candidate,MECH-04,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-3d5feea322b957680159643d,EXTOBS-7c49da19d1e418dee44b3efd,"22,",9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,,,,87281368,87281371,local_comparison_candidate,MECH-03,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-5e987428ecb25885986fa36a,EXTOBS-e38410649d5780567144904d,-2024,467e600ba9e446778b120e564b00620b179bc5921079341d3d0c64c65aaaba92,161,,,1037382,1037387,growth_candidate,MECH-04,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-4e9d4bb23ed28d059948b881,EXTOBS-c11e19accd73bfa492c3ebc7,000,467e600ba9e446778b120e564b00620b179bc5921079341d3d0c64c65aaaba92,160,,,938515,938518,growth_candidate,MECH-04,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-2a944fadb945b16daf04c230,EXTOBS-b745472b5eaffbda07eeb89d,63,5897a632d1e6ce01fe32527576797be87270d25b2c5df33f6bbdf697d17f23be,,,,556455,556457,local_comparison_candidate,MECH-09,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-f97da425b6e7bad6c7abe081,EXTOBS-ccb6d468d0e599c26d8a1d9f,25,b7c7e253ec9b3f8866ffa2bcf44af9bf9c9cd5c2108e9ac9541831aff03d9c8e,,,,249020,249022,implementation_confirmation_candidate,MECH-08,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-e9b42d451848b1b0ae98d7c5,EXTOBS-0ba8e1a96bb87a449f21a0e5,5,0b082a455733e747de180378b8e98c0dc87af3bc59cbfeece2adfe05f58c72b1,,,,61992,61993,growth_candidate,MECH-04,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
EXTINGEST-4322fa847fabb259b8274e6f,EXTOBS-f14a9d438606a41006d6fc6d,1997,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,,,,136765264,136765268,local_comparison_candidate,MECH-09,exact_claim_id_linked_direct_observation,,,retains candidate for later claim comparison,removes candidate from later analytical support,direct manual source review,False
