canonical_external_ingestion_id,external_administrative_observation_id,source_excerpt_or_table_row,source_SHA_256,source_page,source_table_id,source_row,source_character_start,source_character_end,proposed_analytical_role,linked_claim_ids,reason_for_cross_examination,conflict_flags,ambiguity_flags,expected_consequence_if_upheld,expected_consequence_if_rejected,recommended_review_type,adjudication_performed
EXTINGEST-be58ef05fbc2d3c68fb375f0,EXTOBS-07916c635da5c61740d16eda,73243,1b36fb777f4df7c29e23449873f3a7c382c83cb9bb0da2806e4360f248298ccf,,html_table_1330,8,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-4d4253e92504fa0099a60337,EXTOBS-f5a8810cfa3985e26feeb76f,51677,1b36fb777f4df7c29e23449873f3a7c382c83cb9bb0da2806e4360f248298ccf,,html_table_530,2,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-ff5f3383e722992c495a0e46,EXTOBS-b9f0b1a18eb4eced7f475f56,170108,2d76c6635af4bf882d7ed9df93094660b17895f717b5d78a009bdaeac0635be5,,html_table_730,5,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-9befd3cc331116d039bbc36c,EXTOBS-f1d4ed67aed9309c8033a06b,67349,095ccb2c80fe4c3c9bcfd92258e82d9f1334da2a7cc1c548093e97d29c7fece0,,html_table_558,4,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-9ae9c6c04661d9c57e1a44a5,EXTOBS-ebe91a7faa53e5e4868bcb60,117384,2d76c6635af4bf882d7ed9df93094660b17895f717b5d78a009bdaeac0635be5,,html_table_942,8,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-b668a46d1fdcf6f061694cef,EXTOBS-a0846878b95ceb1b9cb811a4,PPME #2003,18e8af15be9f21d4b3ba340f5e45190087303030d0ffd6272dcf0e35c39c2fcd,,html_table_10,137,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-32ec67483602c165267e79da,EXTOBS-16efd8dc7117e076615c1243,123876,1b36fb777f4df7c29e23449873f3a7c382c83cb9bb0da2806e4360f248298ccf,,html_table_1902,5,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-468bfa9fa8d6614cf3daa28e,EXTOBS-070bb615d06328613bc5dc75,98578,eaca51651c344c70804db30f9dbe07cd69f99ba19412b24c6e25722abac608fe,,html_table_1654,5,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-2ea3dca0ec831bbb2ae5be2a,EXTOBS-ca0d3acdb31ccbe052d082ea,69077,095ccb2c80fe4c3c9bcfd92258e82d9f1334da2a7cc1c548093e97d29c7fece0,,html_table_418,2,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-31d5a7413716b0e14c68deaf,EXTOBS-9d0ea51d9f3a750ce3ba746d,142067,df20c3d13fe568917eafe7d59b70f2d7ceaf0e2c3ae3a2e90f63343fab551b58,,html_table_890,3,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-113363fbbd95e88859c6c8a0,EXTOBS-cd524d1050b1085e1bd5ae37,149121,2d76c6635af4bf882d7ed9df93094660b17895f717b5d78a009bdaeac0635be5,,html_table_722,12,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-75c1e0e3389c67e9d2ba7133,EXTOBS-3e05c3112ebbc0705c94e53d,56776,cc11c23321a100de7effe479586c94014cac304a4712676594b63b8513be0dfb,,html_table_1306,8,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-746535f565e9d7727c34aed0,EXTOBS-14f85235fe427878ba7935ad,84486,2a8c521043e1ef0ddd185cee4a4943f0d302daa9e13a63c0232328a2f323495a,,html_table_18,5,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-84d649702b6d0cf47904fe72,EXTOBS-e6a69a4061f6e3f78e0dba02,64614,1b36fb777f4df7c29e23449873f3a7c382c83cb9bb0da2806e4360f248298ccf,,html_table_818,2,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
EXTINGEST-7326d2b95e942895ea586f95,EXTOBS-d64e833131b0cdb01f6fc841,98260,adc616adb509afbc931cf0b2f4f11a5112ceab0c74fa78698f941983779fefd4,,html_table_682,9,,,pending_reconciliation,,conflicting_value_or_identity,source_local_incompatible_literal_values,,retains candidate for later claim comparison,removes candidate from later analytical support,conflict adjudication,False
