absolute_difference,aggressive_tier,caveat,claim_links,corroboration_status,direction,duplicate_representations,formula,magnitude,municipality,non_safety_value,pay_basis,percentage_difference,period,ratio,raw_values,relaxation_rule,result_id,safety_value,semantic_outcome,source_basis,source_coordinates,source_count,source_ids,source_record_id,state,strict_eligibility,unit_type
-10.0,tier_2_bounded_analytically_usable,same-source values; generic role equivalence remains moderate and is disclosed,safety_wage_comparison,not_corroborated,non_safety_favorable,3,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,-10.0,New Hartford,20.0,hourly,-50.0,2023,0.5,"[10.0, 20.0]",ROLE-2,AGGRES-87ffdcc889b4b00a6c5b3418,10.0,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""source_lineage"": ""[\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-05289-01\\\"", \\\""final\\\"": \\\""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\\\"", \\\""original\\\"": \\\""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-05289\\\""}\"",\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-05289-01\\\"", \\\""final\\\"": \\\""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\\\"", \\\""original\\\"": \\\""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-05289\\\""}\""]""}",1,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}""]",AGGLOCAL-0edd6e2f8972fefa63a0fe2d,MN,prior_qa_conditional,local_comparison
-2.75,tier_2_bounded_analytically_usable,same-source values; generic role equivalence remains moderate and is disclosed,safety_wage_comparison,not_corroborated,non_safety_favorable,3,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,-2.75,Salem,33.0,hourly,-8.333333333333332,2025,0.9166666666666666,"[30.25, 33.0]",ROLE-2,AGGRES-9df6b61744cac980e343ae9c,30.25,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""source_lineage"": ""[\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-07161-01\\\"", \\\""final\\\"": \\\""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\\\"", \\\""original\\\"": \\\""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-07161\\\""}\"",\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-07161-01\\\"", \\\""final\\\"": \\\""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\\\"", \\\""original\\\"": \\\""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-07161\\\""}\""]""}",1,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}""]",AGGLOCAL-6b3214f2151158a16d234025,PA,prior_qa_conditional,local_comparison
-0.9100000000000001,tier_2_bounded_analytically_usable,"The negative hourly difference reproduces and materially bounds a uniform advantage claim, but tenure and schedule-position comparability are not established.",safety_wage_comparison,not_corroborated,non_safety_favorable,1,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,-0.9100000000000001,Canastota,24.82,hourly,-3.6663980660757463,2023-24,0.9633360193392425,"[23.91, 24.82]",ROLE-2,AGGRES-b2d57528edece3633af6c1d3,23.91,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""period"": ""2023-2024"", ""source_lineage"": ""{\""candidate_id\"": \""B4X2500LIVE-20260729-006395\"", \""extracted_text_sha256\"": \""fd41d71ce599f0645d2985c6eab82248e01481503a1aa34c6fd8b86ec45ac2c6\"", \""extraction_id\"": \""B4X2500TXT-20260730-00970d81537bd8db1772\"", \""lineage_integrity\"": \""passed; local retained-source and extracted-text hashes match the tracked manifests\"", \""readiness_id\"": \""B4X2500RDY-20260730-a8d3be473679172d086a\"", \""retained_source_page_count\"": 17, \""retained_source_sha256\"": \""719a57bc2ba6e629a4d2f34db552a08d9444c70fe062bbda05103bc1ef45ed39\"", \""retained_source_size_bytes\"": 127365, \""scout_target_id\"": \""B4X2500-20260729-06271\"", \""source_locator\"": \""https://canastota.gov/wp-content/uploads/2023/07/ADOPTED-BUDGET-2023-2024.pdf\"", \""source_review_download_id\"": \""B4X2500SRD-20260730-9b26daffb18fd9eb0082\"", \""source_title\"": \""Adopted Village Budget 2023-2024 (Schedule of Salaries of Elected and Appointed Officers and Employees; Police Officer Step Plan)\"", \""validated_source_page\"": 15, \""verification_row_id\"": \""B4X2500V-20260730-02422\""}""}",1,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-00970d81537bd8db1772.txt,AGGLOCAL-3a5633ad665cf65a3276a2c8,NY,named_bounded_documentary,local_comparison
-0.019999999999999574,tier_2_bounded_analytically_usable,same-source values; generic role equivalence remains moderate and is disclosed,safety_wage_comparison,not_corroborated,non_safety_favorable,4,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,-0.019999999999999574,Wilkins,23.59,hourly,-0.08478168715557259,2025,0.9991521831284442,"[23.57, 23.59]",ROLE-2,AGGRES-81f8d172d0e446fd61c826b6,23.57,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""source_lineage"": ""[\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-18471-01\\\"", \\\""final\\\"": \\\""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\\\"", \\\""original\\\"": \\\""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-18471\\\""}\"",\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-18471-01\\\"", \\\""final\\\"": \\\""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\\\"", \\\""original\\\"": \\\""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-18471\\\""}\""]""}",1,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}""]",AGGLOCAL-7d0279462d1d706824935469,PA,prior_qa_conditional,local_comparison
0.0,tier_2_bounded_analytically_usable,same-source values; generic role equivalence remains moderate and is disclosed,safety_wage_comparison,not_corroborated,neutral,1,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,0.0,Franklin,9302.0,annual_salary,0.0,2025,1.0,"[9302.0, 9302.0]",ROLE-2,AGGRES-54786b6bb6e546a65ad276fe,9302.0,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""source_lineage"": ""[\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-04329-01\\\"", \\\""final\\\"": \\\""https://franklin.in.gov/egov/documents/1733852781_74171.pdf\\\"", \\\""original\\\"": \\\""https://www.franklin.in.gov/egov/documents/1733852781_74171.pdf\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-04329\\\""}\"",\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-04329-01\\\"", \\\""final\\\"": \\\""https://franklin.in.gov/egov/documents/1733852781_74171.pdf\\\"", \\\""original\\\"": \\\""https://www.franklin.in.gov/egov/documents/1733852781_74171.pdf\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-04329\\\""}\""]""}",1,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-04329-01\"", \""final\"": \""https://franklin.in.gov/egov/documents/1733852781_74171.pdf\"", \""original\"": \""https://www.franklin.in.gov/egov/documents/1733852781_74171.pdf\"", \""scout_target_id\"": \""BRM5-20260731-04329\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-04329-01\"", \""final\"": \""https://franklin.in.gov/egov/documents/1733852781_74171.pdf\"", \""original\"": \""https://www.franklin.in.gov/egov/documents/1733852781_74171.pdf\"", \""scout_target_id\"": \""BRM5-20260731-04329\""}""]",AGGLOCAL-5b524d4b7cf4de40edc98c20,IN,prior_qa_conditional,local_comparison
1.009999999999998,tier_2_bounded_analytically_usable,same-source values; generic role equivalence remains moderate and is disclosed,safety_wage_comparison,not_corroborated,safety_favorable,3,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,1.009999999999998,New Sewickley,17.51,hourly,5.7681324957167215,2023,1.0576813249571673,"[18.52, 17.51]",ROLE-2,AGGRES-8a5af5fee83fe496aeea5921,18.52,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""source_lineage"": ""[\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-14579-02\\\"", \\\""final\\\"": \\\""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\\\"", \\\""original\\\"": \\\""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-14579\\\""}\"",\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-14579-02\\\"", \\\""final\\\"": \\\""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\\\"", \\\""original\\\"": \\\""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-14579\\\""}\""]""}",1,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}""]",AGGLOCAL-ee35b7442240fc78c156a025,PA,prior_qa_conditional,local_comparison
5.0,tier_2_bounded_analytically_usable,"The same-page maximum rates reproduce, but they are schedule maxima rather than verified actual pay and the source copy retains adoption-status caveats.",safety_wage_comparison,not_corroborated,safety_favorable,1,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,5.0,Cammack Village,20.0,hourly,25.0,2024,1.25,"[25.0, 20.0]",ROLE-2,AGGRES-fb1323398f274881c0fa7b9f,25.0,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""period"": ""2024"", ""source_lineage"": ""{\""candidate_id\"": \""B4X2500LIVE-20260729-009230\"", \""extracted_text_hash_rechecked\"": true, \""extracted_text_path\"": \""artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-5ba36a80d4b057dd5e4d.txt\"", \""extracted_text_sha256_manifest\"": \""3644ac155dc2260461bb6c51c44473d7aab71a4185e4f6167bf894eaceda717a\"", \""extracted_text_sha256_rechecked\"": \""3644ac155dc2260461bb6c51c44473d7aab71a4185e4f6167bf894eaceda717a\"", \""extraction_id\"": \""B4X2500TXT-20260730-5ba36a80d4b057dd5e4d\"", \""readiness_id\"": \""B4X2500RDY-20260730-52c599c1e162c2f9d866\"", \""retained_hash_rechecked\"": true, \""retained_source_path\"": \""artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-b3751c739a08b7117ec2.pdf\"", \""retained_source_sha256_manifest\"": \""15c96995bb594ff5e9b04c7e99cd8c157b9cc1b24363a93778d0991f9786dffc\"", \""retained_source_sha256_rechecked\"": \""15c96995bb594ff5e9b04c7e99cd8c157b9cc1b24363a93778d0991f9786dffc\"", \""same_retained_source\"": true, \""scout_target_id\"": \""B4X2500-20260729-09064\"", \""source_locator\"": \""https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3538/Cammack/3809577/Council_packet_12.12.23_final.pdf\"", \""source_review_download_id\"": \""B4X2500SRD-20260730-b3751c739a08b7117ec2\"", \""source_review_status\"": \""retained_pdf\"", \""source_title\"": \""Council packet (12.12.23) containing Ordinance 23-06: 2024 maximum salary schedule (includes Marshal/Full Time Patrolman/Part Time Patrolman)\"", \""text_extraction_method\"": \""poppler_pdftotext_layout_utf8_non_ocr\"", \""text_extraction_status\"": \""extracted_ok\"", \""verification_row_id\"": \""B4X2500V-20260730-02912\"", \""verification_status\"": \""reachable\""}""}",1,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-5ba36a80d4b057dd5e4d.txt,AGGLOCAL-12b2a71cc52e5a238fe129c3,AR,named_bounded_documentary,local_comparison
5.0,tier_2_bounded_analytically_usable,same-source values; generic role equivalence remains moderate and is disclosed,safety_wage_comparison,not_corroborated,safety_favorable,3,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,5.0,Oakland,15.0,hourly,33.33333333333333,2021,1.3333333333333333,"[20.0, 15.0]",ROLE-2,AGGRES-eacafd12547b5390cfaac054,20.0,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""source_lineage"": ""[\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-07107-01\\\"", \\\""final\\\"": \\\""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\\\"", \\\""original\\\"": \\\""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-07107\\\""}\"",\""{\\\""candidate_id\\\"": \\\""BRM5C-BRM5-20260731-07107-01\\\"", \\\""final\\\"": \\\""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\\\"", \\\""original\\\"": \\\""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\\\"", \\\""scout_target_id\\\"": \\\""BRM5-20260731-07107\\\""}\""]""}",1,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}""]",AGGLOCAL-ea4b618aafd40c2279b262c8,PA,prior_qa_conditional,local_comparison
6.0,tier_2_bounded_analytically_usable,"Same-document hourly values and arithmetic reproduce; duties, hours, experience, and role equivalence remain unmatched, so this is one bounded local example.",safety_wage_comparison,not_corroborated,safety_favorable,1,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,6.0,Shreve,16.0,hourly,37.5,2024,1.375,"[22.0, 16.0]",ROLE-2,AGGRES-fe5536aef06687e8661e0dcb,22.0,narrow_tier_2,exact retained documentary values with prior QA and formula reproduction,"{""period"": ""2024"", ""source_lineage"": ""{\""candidate_id\"": \""B4X2500LIVE-20260729-003326\"", \""extracted_text_hash_rechecked\"": true, \""extracted_text_sha256\"": \""4c273fa1161e220d49d78842561514440244d782441ae98cf96f74f4c1ce2f54\"", \""extraction_id\"": \""B4X2500TXT-20260730-61df0dd28e368f082959\"", \""readiness_id\"": \""B4X2500RDY-20260730-3a3391805d7b76e20fc2\"", \""retained_hash_rechecked\"": true, \""retained_source_sha256\"": \""8561876e961d2e68792fa67b37307a353e0068167a1275bfe1eaffff2aba68e0\"", \""same_retained_source\"": true, \""source_locator\"": \""https://irp.cdn-website.com/c5204193/files/uploaded/Ordinance_No_10-2024.pdf\"", \""source_review_download_id\"": \""B4X2500SRD-20260730-6db34d2126a26b38694f\"", \""source_title\"": \""Ordinance No. 10-2024 - Amended and Restated Ordinance Modifies Salary Schedule, Wage Scale, and Health Benefits (Village of Shreve)\"", \""verification_row_id\"": \""B4X2500V-20260730-05462\""}""}",1,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-61df0dd28e368f082959.txt,AGGLOCAL-cef263cc4603f71d0a46b4bf,OH,named_bounded_documentary,local_comparison
22.35,tier_3_directional_or_mechanism_supporting,"The same-source arithmetic reproduces, but the chief is outside the bargaining unit and job/hour equivalence is weak; appendix placement only.",safety_wage_comparison,not_corroborated,safety_favorable,1,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,22.35,Alburtis,11.22,hourly,199.19786096256684,2018,2.991978609625668,"[33.57, 11.22]",ROLE-3,AGGRES-c5aaeed0a009a5cff5615eb5,33.57,downgrade_to_tier_3,exact retained documentary values with prior QA and formula reproduction,"{""period"": ""2018-01-01 through 2018-06-30 overlapping rate window; source ordinance and police award cycle labeled 2018-2021"", ""source_lineage"": ""Both values trace to Alburtis Ordinance No. 546, PDF page 4, downloaded from the municipal codified-ordinance site. The retained PDF is B4X2500SRD-20260730-6ddfdb5fcb55a74977c0 (SHA-256 e1071e681d9ca1aa6ba1e9b73ce02084c3ca6e2f196868d861000ca11ea151d4), linked through scout target B4X2500-20260729-03846, verification row B4X2500V-20260730-04057, readiness row B4X2500RDY-20260730-49b270db104d6d876965, and extraction B4X2500TXT-20260730-a7728e27d6a354107235.""}",1,BROAD-STATE-4X2500-BOUNDED-WAGE-DIFFERENTIAL-VALIDATION-2026-07-30,AGGLOCAL-f635eb68edb0727b14b22125,PA,named_bounded_documentary,local_comparison
