broader_bounded_claim_text,canonical_claim_text_before,claim_id,final_claim_text,language_boundary,prohibited_claim_text,report_body_wording,strict_claim_text,technical_appendix_wording
"In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms; the evidence establishes mechanism operation, not an average wage effect.","Safety compensation is exposed to recurring formal negotiation and impasse-resolution institutions that can lift wage floors, preserve leverage, and lock increases into agreements or awards.",CLAIM-A,"In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms; the evidence establishes mechanism operation, not an average wage effect.","local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",Formal bargaining causes safety wages to rise faster nationwide.,"In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms; the evidence establishes mechanism operation, not an average wage effect.","In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms.","In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms; the evidence establishes mechanism operation, not an average wage effect. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
"In reviewed unit-cycle records, step, seniority, rank, and COLA provisions create recurring scheduled wage-growth paths; step progression leans safety in the available sample, while across-board results are mixed and COLA cells are sparse.","Step, seniority, rank, and COLA structures embed recurring wage growth rather than requiring a wholly discretionary raise each year.",CLAIM-B,"In reviewed unit-cycle records, step, seniority, rank, and COLA provisions create recurring scheduled wage-growth paths; step progression leans safety in the available sample, while across-board results are mixed and COLA cells are sparse.","local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",Safety wages generally grow faster nationwide because of step progression or COLAs.,"In reviewed unit-cycle records, step, seniority, rank, and COLA provisions create recurring scheduled wage-growth paths; step progression leans safety in the available sample, while across-board results are mixed and COLA cells are sparse.","The reviewed documentary corpus contains recurring step, seniority, rank, and COLA structures; comparative growth implications remain sample-specific.","In reviewed unit-cycle records, step, seniority, rank, and COLA provisions create recurring scheduled wage-growth paths; step progression leans safety in the available sample, while across-board results are mixed and COLA cells are sparse. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
"Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay; no complete total-compensation sum is estimated.","Safety compensation pressure extends beyond base pay because overtime, holidays, longevity, premiums, stipends, and allowances are structured compensation channels.",CLAIM-C,"Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay; no complete total-compensation sum is estimated.","local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",Safety workers receive more total compensation than non-safety workers nationwide.,"Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay; no complete total-compensation sum is estimated.","Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay.","Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay; no complete total-compensation sum is estimated. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
"Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings; the staffing evidence is descriptive, not causal or prevalence evidence.","Recruitment, retention, and comparator pressure provides an explicit institutional justification for raising schedules or adding targeted premiums, with public-safety staffing making the channel especially salient in many records.",CLAIM-D,"Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings; the staffing evidence is descriptive, not causal or prevalence evidence.","local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",Staffing shortages cause higher safety wages.,"Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings; the staffing evidence is descriptive, not causal or prevalence evidence.","Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings.","Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings; the staffing evidence is descriptive, not causal or prevalence evidence. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
"Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay; adoption alone is not payment, and only retained evidence with a paid stage is described as paid.",Retroactive effective dates and implementation provisions turn bargaining delay into payable increases and back pay instead of eliminating scheduled growth.,CLAIM-E,"Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay; adoption alone is not payment, and only retained evidence with a paid stage is described as paid.","local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",Every adopted or retroactive provision was implemented and paid.,"Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay; adoption alone is not payment, and only retained evidence with a paid stage is described as paid.",Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay.,"Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay; adoption alone is not payment, and only retained evidence with a paid stage is described as paid. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
"Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions; these records do not establish that every proposal was implemented or paid.","Council action, ordinances, budgets, pay plans, and classification systems translate compensation proposals into funded policy, while also imposing fiscal limits.",CLAIM-F,"Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions; these records do not establish that every proposal was implemented or paid.","local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",Budget and council action uniformly increase compensation.,"Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions; these records do not establish that every proposal was implemented or paid.","Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions.","Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions; these records do not establish that every proposal was implemented or paid. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
"Both safety and non-safety units use bargaining, steps, COLAs, and pay plans. The available evidence is consistent with a reinforcing safety-pressure bundle in some settings, but local and growth results are mixed and do not establish a uniform safety advantage.","Non-safety units also receive bargaining, steps, COLAs, and pay-plan mechanisms; the defensible distinction is a reinforcing safety pressure bundle, not a claim that non-safety compensation lacks institutional growth channels.",CLAIM-G,"Both safety and non-safety units use bargaining, steps, COLAs, and pay plans. The available evidence is consistent with a reinforcing safety-pressure bundle in some settings, but local and growth results are mixed and do not establish a uniform safety advantage.","local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect","Non-safety compensation lacks institutional growth mechanisms, or safety always has the advantage.","Both safety and non-safety units use bargaining, steps, COLAs, and pay plans. The available evidence is consistent with a reinforcing safety-pressure bundle in some settings, but local and growth results are mixed and do not establish a uniform safety advantage.",Safety and non-safety units both use formal compensation-growth mechanisms; the comparative pattern in reviewed records is mixed.,"Both safety and non-safety units use bargaining, steps, COLAs, and pay plans. The available evidence is consistent with a reinforcing safety-pressure bundle in some settings, but local and growth results are mixed and do not establish a uniform safety advantage. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
"The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate.",The corpus supports the direction and operation of a safety wage-pressure story more strongly than it supports a clean global wage-gap or causal-effect estimate.,CLAIM-H,"The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate.","local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",The corpus estimates a national safety wage gap or causal effect.,"The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate.","The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate.","The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
A national safety wage-gap estimate is not supported by the current corpus.,A national safety wage-gap estimate,UNSUP-01,A national safety wage-gap estimate is not supported by the current corpus.,"local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",The corpus provides a national safety wage-gap estimate.,A national safety wage-gap estimate is not supported by the current corpus.,A national safety wage-gap estimate is not supported by the current corpus.,"A national safety wage-gap estimate is not supported by the current corpus. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
A national prevalence estimate for any compensation mechanism is not supported by the current corpus.,A national prevalence estimate for any mechanism,UNSUP-02,A national prevalence estimate for any compensation mechanism is not supported by the current corpus.,"local/mechanism/sample-specific; no national wage gap, prevalence, or causal effect",The corpus estimates national mechanism prevalence.,A national prevalence estimate for any compensation mechanism is not supported by the current corpus.,A national prevalence estimate for any compensation mechanism is not supported by the current corpus.,"A national prevalence estimate for any compensation mechanism is not supported by the current corpus. Tier composition, unit definitions, counterexamples, conflicts, and unresolved linkage are reported in the technical tables."
