claim_id,evidence_id,evidence_link_id,evidence_role,material,source_pointer,tier
CLAIM-C,WCCPEX-605e55a2877ed56999fd1d6a,EVLINK-bf1b4edf8b7f33bff994f201,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-C,WCCPEX-a443067e1aa2cb1c4e72dce3,EVLINK-d343ebb1d8e3175ea7ee5b91,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-B,WCCPEX-f2fd6f6f10b7f68fc611502d,EVLINK-4faad221cd969795cd2213f6,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-B,WCCPEX-04b78c315901ed753adfaafc,EVLINK-6411421af492677ab9ef6daa,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-G,WCCPEX-fa637add09963a080b3734e2,EVLINK-2aa5c0c34c0dd376348a073a,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-G,WCCPEX-c85689d111d6649da0624c40,EVLINK-8bdc5a5b716f1a61b3b5b005,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-D,WCCPEX-80dbbcb3f4d246dc7abfaaef,EVLINK-07338a6209ca58fd3bf3c80a,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-D,WCCPEX-fe047165d32196d00caf2864,EVLINK-b26d6c841a3a5d7eb9d97739,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-A,WCCPEX-b7717536d2561f66db0ced52,EVLINK-b57358890635fdf83b58872d,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-A,WCCPEX-620023a75d044a4d722b9ff0,EVLINK-4dda3953351dfa262100b4eb,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-E,WCCPEX-d2fabc32027cdf0d9f2d46df,EVLINK-7c216156c71607b5decc8f9d,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-E,WCCPEX-74306cd723a39a8fdecaf5dd,EVLINK-3669893c44bb8e105bd17fc5,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-F,WCCPEX-84d60d648789abeaa588e12c,EVLINK-95b8fd0ea41c7f33fed60cbb,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-F,WCCPEX-691b60a557d81d806bb055be,EVLINK-4ff90b1533fa14fd43c85847,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-b7717536d2561f66db0ced52,EVLINK-fd05c1d644991bcfe5e557ca,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-620023a75d044a4d722b9ff0,EVLINK-ed6fa05d683649aee38f6c4c,core_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
