claim_id,evidence_id,evidence_link_id,evidence_role,material,source_pointer,tier
CLAIM-G,XREVIEW-582f580d1ea5f2db7b0c40bc,EVLINK-1fa97ec904e595370a895c1e,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-G,XREVIEW-1a4f26b30bef83c76712e3a8,EVLINK-ca87ef7c6909a08e96bbb5dd,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-G,XREVIEW-363d0df87ff1d0b7c497fb61,EVLINK-3f861e10678af63920c49505,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-G,XREVIEW-59e4b80e1177ffd012144a27,EVLINK-00bdee9d1603b311dc6a8734,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-G,XREVIEW-95222a9273a9ebbe5a659a4d,EVLINK-bec266df6be3421d9a117844,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-G,XREVIEW-b61497d9abc8c7ac51037e2a,EVLINK-a047b1d19b1d8ce87560eeb3,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-G,XREVIEW-ebbb0d2ea7871f6324a4f6da,EVLINK-0af1225bf5172cf370250662,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-H,XREVIEW-582f580d1ea5f2db7b0c40bc,EVLINK-9c40b7089bee2c84c824be59,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-H,XREVIEW-1a4f26b30bef83c76712e3a8,EVLINK-3bda12e9ea99d6ef9ac1d3be,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-H,XREVIEW-363d0df87ff1d0b7c497fb61,EVLINK-8efd288da4515ff4fb4594ca,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-H,XREVIEW-59e4b80e1177ffd012144a27,EVLINK-f2cd1ea91823d7661381ba33,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-H,XREVIEW-95222a9273a9ebbe5a659a4d,EVLINK-5aebf685d8ee4c6bc40ccba7,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-H,XREVIEW-b61497d9abc8c7ac51037e2a,EVLINK-b0398794aa7e050416a74ad8,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
CLAIM-H,XREVIEW-ebbb0d2ea7871f6324a4f6da,EVLINK-66028d10aff034150566a671,counterexample,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_examined_counterexample_core_packet.jsonl,Tier 2/3 separated
