analytical_unit,caveat,claim_compatibility,color_field,conflicts_excluded_or_shown,counterexamples_represented,denominator,facet_field,figure_id,final_visual_status,geography_verified,input_table,interpretation_outline,legend,proposed_caption,purpose,rendered,repair_task,sample_size_annotation,scale,source_recovery_required,tier_composition,urbanicity_verified,x_field,y_field
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-01,approved_for_rendering,True,corpus_scale_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive corpus scale visual table with explicit units and denominators.,corpus scale visual table,False,,1,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-02,approved_with_caption_caveat,True,pipeline_attrition_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive pipeline attrition visual table with explicit units and denominators.,pipeline attrition visual table,False,,7,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-03,approved_with_caption_caveat,True,state_coverage_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive state coverage visual table with explicit units and denominators.,state coverage visual table,False,,42,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-04,approved_with_caption_caveat,True,staffing_distribution_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive staffing distribution visual table with explicit units and denominators.,staffing distribution visual table,False,,6,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-05,approved_with_caption_caveat,True,staffing_side_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive staffing side visual table with explicit units and denominators.,staffing side visual table,False,,6,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-06,approved_with_caption_caveat,True,staffing_geography_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive staffing geography visual table with explicit units and denominators.,staffing geography visual table,False,,1,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-07,approved_strict_lane_only,True,implementation_lifecycle_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive implementation lifecycle visual table with explicit units and denominators.,implementation lifecycle visual table,False,,7,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-08,approved_with_caption_caveat,True,mechanism_support_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive mechanism support visual table with explicit units and denominators.,mechanism support visual table,False,,38,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,False,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-09,approved_tiered_sensitivity_visual,True,documentary_growth_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive documentary growth visual table with explicit units and denominators.,documentary growth visual table,False,,99,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
declared in input table; see registry,descriptive evidence only; no prevalence or causal interpretation,adjudicated bounded claims only,side/status where applicable,True,True,stored per row or explicit in summary,mechanism/state where applicable,FIGSPEC-10,approved_tiered_sensitivity_visual,True,local_comparison_visual_table.csv,"[""Describe the declared analytical unit and visible distribution."", ""State sample size, exclusions, holds, and strongest bounded pattern."", ""State countervailing evidence and what semantic review must confirm.""]",must name analytical unit,Descriptive local comparison visual table with explicit units and denominators.,local comparison visual table,False,,4,linear unless later QA approves otherwise,False,strict or explicitly tiered per status,True,category or geography,count or bounded statistic
