administrative_source_type,downloaded_in_this_task,expected_byte_size,expected_claim_upgrade_tags,likely_claim_gaps,marginal_claim_value_per_mib,municipality,period,priority_score,recovery_recommendation,required_before_visual,side,source_family,source_review_id,state,uniqueness
payroll_roster,False,30178,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Oakland,2021,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-06e7a1d1e8ccff556e6ac105,PA,4108aeeb918f33c7825d755b522ffe8cf510a2d7c2f119e1953fe358185284b8
payroll_roster,False,54564,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Perry,2021,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-1894574294a3fa24501ebd00,OH,11285ff7fcec81424c8dd1352cc92f7372c1bcad06ac91d9026226183fcf4804
payroll_roster,False,10685,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Red Boiling Springs,2015,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-21112f1ac3063291e1ecdca4,TN,58e32fac88152ee096c6710efafdaa858256d052d27a8ac6b66fe9b5df9f1367
ordinance_or_resolution,False,38429,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Bass Lake,2025,30,defer_recovery_to_future_research,False,fire,implementation_confirmation,EXTSRCREV-261e4c6041a5f631fe17663f,WI,7c89282cf5218139fae964512ccf164cfda49f69e35c3ffd4372c443cf1477a6
payroll_roster,False,87001,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,North Greenbush,undated,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-28033394ef2f6a354f87292b,NY,70a6a9a7fab5072fd1b57ea81f74e49803d7dc8c6113fc3891c0e802a0c465a6
payroll_roster,False,63237,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Starbuck,2026,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-2c23b0500c568b474ff61bf4,MN,bc7e6a2b2addfb888f7ab518328cb9d02acee89303aa4a39d4a1097f6c87fa30
payroll_roster,False,85010,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Tyler,2025,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-62a1d2472cb8798e8c721408,MN,7d6499db1e4f470e1f8a2ec4a28787d5594d6fafebaa6c50845cb251a087ae67
payroll_roster,False,72743,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Cassopolis,2016,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-66ceae9cff8ddcae98bef6cf,MI,c041cbca659b27932811c984fdd788b6e73066ae423c2bfd0d00e561118af509
payroll_roster,False,39911,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Casey,undated,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-739d3d8beefc227a71a9fe63,IL,daf9f7ed8f677be30812aca3d1ef95deda3b7c80510d758946ed3b05b617c653
payroll_roster,False,65736,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Lawrence Park,2014,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-80336056e9cf22e6ba19e5b0,PA,655171b8482c29b4b28d7308d3ff756ce7a806fce461b19c499ce5c8bc08db51
