broader_bounded_claim_text,claim_id
"In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms; the evidence establishes mechanism operation, not an average wage effect.",CLAIM-A
"In reviewed unit-cycle records, step, seniority, rank, and COLA provisions create recurring scheduled wage-growth paths; step progression leans safety in the available sample, while across-board results are mixed and COLA cells are sparse.",CLAIM-B
"Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay; no complete total-compensation sum is estimated.",CLAIM-C
"Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings; the staffing evidence is descriptive, not causal or prevalence evidence.",CLAIM-D
"Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay; adoption alone is not payment, and only retained evidence with a paid stage is described as paid.",CLAIM-E
"Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions; these records do not establish that every proposal was implemented or paid.",CLAIM-F
"Both safety and non-safety units use bargaining, steps, COLAs, and pay plans. The available evidence is consistent with a reinforcing safety-pressure bundle in some settings, but local and growth results are mixed and do not establish a uniform safety advantage.",CLAIM-G
"The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate.",CLAIM-H
A national safety wage-gap estimate is not supported by the current corpus.,UNSUP-01
A national prevalence estimate for any compensation mechanism is not supported by the current corpus.,UNSUP-02
A causal effect estimate for any compensation mechanism is not supported by the current design.,UNSUP-03
No regression-based claim is supported because no regression-ready design passed the gate and no regression was run.,UNSUP-04
A precise claim that safety wages grow a fixed percentage faster is not supported by the available matched evidence.,UNSUP-05
The evidence does not establish that a documented mechanism caused an observed wage difference.,UNSUP-06
