claim_id,strict_claim_text
CLAIM-A,"In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms."
CLAIM-B,"The reviewed documentary corpus contains recurring step, seniority, rank, and COLA structures; comparative growth implications remain sample-specific."
CLAIM-C,"Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay."
CLAIM-D,"Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings."
CLAIM-E,Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay.
CLAIM-F,"Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions."
CLAIM-G,Safety and non-safety units both use formal compensation-growth mechanisms; the comparative pattern in reviewed records is mixed.
CLAIM-H,"The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate."
UNSUP-01,A national safety wage-gap estimate is not supported by the current corpus.
UNSUP-02,A national prevalence estimate for any compensation mechanism is not supported by the current corpus.
UNSUP-03,A causal effect estimate for any compensation mechanism is not supported by the current design.
UNSUP-04,No regression-based claim is supported because no regression-ready design passed the gate and no regression was run.
UNSUP-05,A precise claim that safety wages grow a fixed percentage faster is not supported by the available matched evidence.
UNSUP-06,The evidence does not establish that a documented mechanism caused an observed wage difference.
