claim_id,requirement
CLAIM-A,"Repeated same-city, same-period, same-cycle safety/non-safety contracts with harmonized pay basis, comparable roles, total-compensation components, and a credible panel or shock-based identification design."
CLAIM-B,"Repeated same-city, same-period, same-cycle safety/non-safety contracts with harmonized pay basis, comparable roles, total-compensation components, and a credible panel or shock-based identification design."
CLAIM-C,"Repeated same-city, same-period, same-cycle safety/non-safety contracts with harmonized pay basis, comparable roles, total-compensation components, and a credible panel or shock-based identification design."
CLAIM-D,"Repeated same-city, same-period, same-cycle safety/non-safety contracts with harmonized pay basis, comparable roles, total-compensation components, and a credible panel or shock-based identification design."
CLAIM-E,"Repeated same-city, same-period, same-cycle safety/non-safety contracts with harmonized pay basis, comparable roles, total-compensation components, and a credible panel or shock-based identification design."
CLAIM-F,"Repeated same-city, same-period, same-cycle safety/non-safety contracts with harmonized pay basis, comparable roles, total-compensation components, and a credible panel or shock-based identification design."
CLAIM-G,"Repeated same-city, same-period, same-cycle safety/non-safety contracts with harmonized pay basis, comparable roles, total-compensation components, and a credible panel or shock-based identification design."
CLAIM-H,"Repeated same-city, same-period, same-cycle safety/non-safety contracts with harmonized pay basis, comparable roles, total-compensation components, and a credible panel or shock-based identification design."
UNSUP-01,a compatible panel and appropriate design
UNSUP-02,a compatible panel and appropriate design
UNSUP-03,a compatible panel and appropriate design
UNSUP-04,a compatible panel and appropriate design
UNSUP-05,a compatible panel and appropriate design
UNSUP-06,a compatible panel and appropriate design
