span_extraction_id,candidate_id,lane_id,target_mechanism_family,failure_stage,attempt_count,last_status,error_type,error_code,quarantine_reason,raw_prompt_saved,raw_response_saved
SPAN321-738ae040c0e38563fdc4193d,TS4L-945864d2fb70ff3ab742,lane_1,non_safety_constraint_signal,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-b025cd80fc87d1df7df365bc,TS4L-945864d2fb70ff3ab742,lane_1,non_safety_constraint_signal,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-89b36334d8082b9f861f2a4b,TS4L-9352bcad1f5b79be8c34,lane_1,non_safety_constraint_signal,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-da0ac3ba9b28d59bd0719a35,TS4L-9b217627fe31ef4c1d04,lane_1,non_safety_constraint_signal,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-b0c50d5b829afc0898e1ad8b,TS4L-1ff9f2e16c7b9d78d284,lane_1,non_safety_constraint_signal,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-8cf6491470c7468f41ecbfef,TS4L-1ff9f2e16c7b9d78d284,lane_1,non_safety_constraint_signal,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-da96acdb71addd0442d5eefd,TS4L-0a135257bde4fd82bb32,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-962de228127d8a33c488b9e7,TS4L-7fe1aa060f2c81a0851d,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-3a9091e22e1694f9d840b7b2,TS4L-7fe1aa060f2c81a0851d,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-4526854fb9b8c8752eca39c2,TS4L-b35f887ea07f8d108ef0,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-4e219abe043d034bb997a577,TS4L-6f16f57240a347254f76,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-a20d71d13d616dff4d07fc8d,TS4L-65919c2632c5c4ecc811,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-ed608854449ffdf89935b36c,TS4L-65919c2632c5c4ecc811,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-253adade07745bffef8985eb,TS4L-8e3e335736343674eb0e,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-4fa9b9ba68950b04f9a050ba,TS4L-dff4b26f58d93c025db6,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-8706b121192496c563c009d7,TS4L-dff4b26f58d93c025db6,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-788203d79b901e6c18c8e915,TS4L-cb18b94e3ad10c1d57b4,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-7b47df25b1c295c078440641,TS4L-53cb55b2ec502323e8ee,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-0e6f7502b7055d0102a46ed0,TS4L-669720ef20a6058e3d34,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-c1688824ae488eded51dfaa4,TS4L-a886e0c411c01094fbb0,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-46d110607757ef1a9f942771,TS4L-a886e0c411c01094fbb0,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-9fc1d7ec6969d1a89a6b3800,TS4L-ac9b90b8cf0807ce53fc,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,forbidden_final_claim_language,persistent_transport_or_strict_schema_failure,false,false
SPAN321-54d4804f02000486b9c671e9,TS4L-66bba3243693c1d3e51d,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-095dd679c9ef3e952d1c89a7,TS4L-d1d265c5e0754156ef11,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-3088ac5e98a67e959e8f59ab,TS4L-d1d265c5e0754156ef11,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-a1db906d5c3a90e3fc03bcf7,TS4L-a941e4912e55e0f8a56e,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-4c2838f8fe7b6e273de3ad56,TS4L-a941e4912e55e0f8a56e,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN321-719a14fb9d2feaad9b9030d5,TS4L-26680789eee7d320ce8a,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
