span_extraction_id,stage,attempt,request_id,backend,model,status,schema_valid,input_chars,span_chars,context_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
SPAN321-4f86bcce4667e85310f9f339,preflight,1,resp_07b3a4e02262d81c006a66cb7a77a4819380b9b9c0d086262e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1710,84,320,658,166,824,2.253451,,,false,false
SPAN321-120e2edfe36aaa24497600d3,preflight,1,resp_045f0483abb8d4e6006a66cb7a7be88196bed00aa4e76c4a05,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2521,895,320,735,339,1074,3.213579,,,false,false
SPAN321-27b2105a04650d76fe2ce941,preflight,1,resp_0ec0620ff1d4e2b2006a66cb7a7f908196b54b625704368716,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1748,108,320,672,275,947,2.742678,,,false,false
SPAN321-b77e65a68f186a6f0834c134,preflight,1,resp_03006868dc5da65b006a66cb7c5bb081969e46c2ced39cb686,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2515,875,320,851,254,1105,4.584663,,,false,false
SPAN321-6b89c2a7d366cb1f89d40bdf,preflight,1,resp_03bab852fdfeb8a2006a66cb7d14f08196aed3d1b0bfd8748d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1839,172,320,698,331,1029,5.868791,,,false,false
SPAN321-b025cd80fc87d1df7df365bc,preflight,1,resp_0e791d80c45a1d71006a66cb7d87388197a70f939afa1468aa,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2548,881,320,865,436,1301,6.892432,,,false,false
SPAN321-5ad78c7baa4ab1af5917bd0a,preflight,1,resp_07bc6f976e9d311c006a66cb7ee5e88190a0a35a3bf2c07606,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2265,633,320,813,251,1064,6.801191,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-5ad78c7baa4ab1af5917bd0a,preflight,2,resp_06f6d93e9e3de81b006a66cb81418c8194ae2b45015ccd2a8a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2398,633,320,839,287,1126,2.975176,,,false,false
SPAN321-738ae040c0e38563fdc4193d,live,1,resp_0ed29e4ba106bf32006a66cbaac67c819782c2cf818cdf3197,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2380,713,320,820,254,1074,2.904115,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-ae31b06146fcec018d341db3,live,1,resp_078f3286eb94efbc006a66cbaad9208194bbe6bf988034a207,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2329,662,320,815,279,1094,2.781951,,,false,false
SPAN321-b025cd80fc87d1df7df365bc,live,1,resp_057445a6a763da16006a66cbaac6108195b92d69024bed5cce,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2548,881,320,865,301,1166,2.942006,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-f74a25973225ee630d3dba9b,live,1,resp_0b370cdb0698d11c006a66cbaad1748197bcefcd629de8abaf,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2379,712,320,831,209,1040,2.606373,,,false,false
SPAN321-0973ad26253f48d69072b0c6,live,1,resp_065e8aa96c768000006a66cbad51748190ae92a6b9c3153bca,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2391,724,320,849,238,1087,4.809962,,,false,false
SPAN321-bd9a2dcada131f220c5aed30,live,1,resp_0b59fd417e7c48ff006a66cbad73dc8194a7fd312b0591862d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2324,657,320,826,267,1093,5.241246,,,false,false
SPAN321-89b36334d8082b9f861f2a4b,live,1,resp_02bc7500319feb76006a66cbad81c08194a5a5e054d634d3f4,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2377,710,320,821,206,1027,4.909409,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-e8927af4fdbd22ff13ec8f08,live,1,resp_0cd01ef957dd03a6006a66cbada6e88195a4db7a698b121730,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2378,711,320,813,273,1086,5.423920,,,false,false
SPAN321-908fd5c3e0d7c0d81cb82f50,live,1,resp_0faf766a02387f61006a66cbaf83fc8190a924dfd2e9f0eb9c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2378,711,320,810,235,1045,7.289565,StrictValidationError,forbidden_final_claim_language,false,false
SPAN321-5bdc32461d412de1d246b77f,live,1,resp_0967b5954638a365006a66cbaf9e088197965b437ffdb40b36,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2221,554,320,786,252,1038,7.406854,,,false,false
SPAN321-da0ac3ba9b28d59bd0719a35,live,1,resp_0f643dce279abb19006a66cbaff0508193999a92417cc1d642,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2406,739,320,842,226,1068,7.351244,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-0d8436ec9b0bbf34a11e643e,live,1,resp_088fb90b5eed696b006a66cbb022008197984e289d6bf7e789,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2016,349,320,775,231,1006,7.499414,,,false,false
SPAN321-b0c50d5b829afc0898e1ad8b,live,1,resp_0a0a58ecfc3eaba2006a66cbb1fd7481958d6eb7f2561fa027,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2310,643,320,825,214,1039,9.560259,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-6b89c2a7d366cb1f89d40bdf,live,1,resp_0455687aa3adb628006a66cbb21a848197b723212ef81244f5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1839,172,320,698,236,934,9.969021,,,false,false
SPAN321-8cf6491470c7468f41ecbfef,live,1,resp_019ce1e07842b77d006a66cbb21c6481909cc4ed2eb35f7d84,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2378,711,320,827,423,1250,12.307651,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-ffec5acea6870598b8a65762,live,1,resp_04f2939559f6a5f8006a66cbb23780819382ff18da7005b0eb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2301,634,320,815,272,1087,10.984123,,,false,false
SPAN321-9a41d241e1209e1506b8dc57,live,1,resp_0f9407696a6319ac006a66cbb445b48190a8788244c4194222,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2217,591,320,810,393,1203,12.763438,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-58869f127fdb324fd6822623,live,1,resp_0be9f2d39415509d006a66cbb4acd8819084f6eba2450f9c1b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,1839,213,320,750,297,1047,12.522454,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-5060012a408f78e794afc247,live,1,resp_04e8412111827452006a66cbb5b21081969471456916a33417,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1905,279,320,743,374,1117,14.241148,,,false,false
SPAN321-fd8082e1ba028ef6c469e0c6,live,1,resp_0bf9e218da850a95006a66cbb7048c8196a43230a44830ad76,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2335,709,320,837,281,1118,14.949028,,,false,false
SPAN321-b716a24f98162771dc01f08a,live,1,resp_022c675305ee68cb006a66cbb73e788195894f62cfce5a0768,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1980,354,320,773,272,1045,15.277230,,,false,false
SPAN321-cdd5ae8cc1d278f22183ded8,live,1,resp_0dd824fe5e95167e006a66cbb77c288193b012b201d4ee2bef,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2337,711,320,800,294,1094,15.760425,,,false,false
SPAN321-a909bcc582f1e2856939df8f,live,1,resp_09a5f92e363faa84006a66cbb8f5908195abb323ec07215b86,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2336,710,320,828,353,1181,17.593360,,,false,false
SPAN321-0c2db677ecd97d7d5f08aa02,live,1,resp_0511e16406603222006a66cbb9a71c81958357b9968eb1a456,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2335,709,320,860,290,1150,17.685196,,,false,false
SPAN321-706e47268f4c97bc758ef73c,live,1,resp_00af9b058d7fefcb006a66cbb9fc9c81978f3f46ff20dca344,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2335,709,320,861,271,1132,17.935267,,,false,false
SPAN321-738ae040c0e38563fdc4193d,live,2,resp_0fa8a9e3ebf0e9dc006a66cbbcb8548195a20851409c4b22ec,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2513,713,320,846,329,1175,3.189777,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-b025cd80fc87d1df7df365bc,live,2,resp_0dff28cb73d84367006a66cbbcb9248196973f627a68c8fcbe,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2681,881,320,891,388,1279,3.217319,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-89b36334d8082b9f861f2a4b,live,2,resp_03572b6d62ad3553006a66cbbcb8d4819386b512a2f5c6a30c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2510,710,320,847,404,1251,3.722873,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-908fd5c3e0d7c0d81cb82f50,live,2,resp_03ebfeb0d6ad9ee3006a66cbbcb2888190912b5f340d501c7c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2511,711,320,836,290,1126,2.487256,,,false,false
SPAN321-da0ac3ba9b28d59bd0719a35,live,2,resp_0a1a6b14f7de3e9e006a66cbbf29b08194aac146c141b9b98c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2539,739,320,868,381,1249,5.792057,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-b0c50d5b829afc0898e1ad8b,live,2,resp_001413a4a53d0a17006a66cbbfd55c8196846c19a699610435,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2443,643,320,851,361,1212,6.282032,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN321-8cf6491470c7468f41ecbfef,live,2,resp_0e6865b505b9565c006a66cbbfdcf08196bb029f563c0ce0bf,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2511,711,320,853,255,1108,5.742918,StrictValidationError,quote_not_exact_span_substring,false,false
