span_rating_id,span_extraction_id,extracted_text_id,retained_source_id,candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,local_extracted_text_path,extracted_text_sha256,source_file_sha256,span_text,span_start_offset,span_end_offset,span_sha256,context_before,context_after,extraction_rule_id,extraction_rule_family,span_specificity,rated_mechanism_family,documentary_mechanism_support,direct_text_support,provisional_causal_candidate_support,direction_of_pressure,evidence_strength,claim_relevance,quote_used,quote_exact_substring,reason_code,claim_boundary,no_wage_gap_claim,no_final_causal_claim,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,gabriel_backend,gabriel_model,gabriel_request_id,gabriel_attempt_count,notes
SPANR201-f8c6aaae3cda12a241f4fc19,SPAN321-354dddcee596928c75b8a497,TXT321-5693b260c4fd82cb814a,RS429-0ed24e3adf9aa2354992,TS4L-604b81012705eb969b1d,lane_4,tier_b,verification_ready_medium,https://www.dewitttownship.gov/AgendaCenter/ViewFile/Minutes/_11132023-416,"DeWitt Charter Township Board Minutes — November 13, 2023 (includes Wage Compensation and Classification Study Final Report; implementation January 1, 2024)",DeWitt charter,MI,safety_and_non_safety_compensation_units,Mixed (non-union/township-wide implementation plus discussion of public safety items and collective bargaining language items referenced in same board packet),POLC Supervisory Division (mentioned in same minutes packet; includes CBA-related wage schedule context elsewhere in packet),"Final Report concluded in 2023; proposed implementation January 1, 2024",2024-01-01,2024-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-5693b260c4fd82cb814a.txt,3fda06c2e820a6c0a4947eefc27fa4c98340948da22a3490233b1eb84e350279,fd2d83fd75fdb06d677f5cc55af205fb9ec0280e050e3aad15d54392b2c48a5d,"Compensation Commission
AYES: Fedewa, Ross, Seeger, Stump, Smith, Cramton, Galardi.
NAYS: None.
ABSENT: None.
Motion carried.

Wage Compensation
and Classification
Study Final Report

The Manager’s Office has been working with GovHr on a Wage Compensation and
Classification Study since April of this year. After many conversations and due diligence
from staff and GovHr, the study has been concluded. The Personnel Committee met on
October 23rd to discuss a draft study and considerations surrounding implementation.
Manager Dymczyk recommends implementing all reclassifications, the 60th Percentile
Pay Ranges, and a 4% COLA. The proposed changes are to be implemente",7725,8394,6e0dd41533b234c4fc180bfb62f18f9d91862fbf25671177e603d8c22237a3e2,"ship data, as well as comparable
data from other communities.
Cramton moved, Stump seconded, to receive and concur with the report as
submitted from the Salary ","d on January
1, 2024.
Once implementation is approved, payroll will take steps towards this transition and
GovHr will conclude the study with a final implementa",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,strong,strong,not_supported,neutral_or_unclear,strong,direct_text_claim,"Wage Compensation
and Classification
Study Final Report",true,explicit_wage_compensation_classification_study_final_report,Wage compensation/classification study document reference; no explicit peer-comparability result stated,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_002231871da908c2006a66cc1e3f288195a905ed613320d4fa,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-2f791916660638cdf5c9b60e,SPAN321-eee3babd160c21441edb9040,TXT321-5693b260c4fd82cb814a,RS429-0ed24e3adf9aa2354992,TS4L-604b81012705eb969b1d,lane_4,tier_b,verification_ready_medium,https://www.dewitttownship.gov/AgendaCenter/ViewFile/Minutes/_11132023-416,"DeWitt Charter Township Board Minutes — November 13, 2023 (includes Wage Compensation and Classification Study Final Report; implementation January 1, 2024)",DeWitt charter,MI,safety_and_non_safety_compensation_units,Mixed (non-union/township-wide implementation plus discussion of public safety items and collective bargaining language items referenced in same board packet),POLC Supervisory Division (mentioned in same minutes packet; includes CBA-related wage schedule context elsewhere in packet),"Final Report concluded in 2023; proposed implementation January 1, 2024",2024-01-01,2024-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-5693b260c4fd82cb814a.txt,3fda06c2e820a6c0a4947eefc27fa4c98340948da22a3490233b1eb84e350279,fd2d83fd75fdb06d677f5cc55af205fb9ec0280e050e3aad15d54392b2c48a5d,"The Manager’s Office has been working with GovHr on a Wage Compensation and
Classification Study since April of this year. After many conversations and due diligence
from staff and GovHr, the study has been concluded. The Personnel Committee met on
October 23rd to discuss a draft study and considerations surrounding implementation.
Manager Dymczyk recommends implementing all reclassifications, the 60th Percentile
Pay Ranges, and a 4% COLA. The proposed changes are to be implemented on January
1, 2024.
Once implementation is approved, payrol",7909,8455,0b61187f5d6cc3a1a5f0be16588cd448afad1dddafce800228691b918383e21f,"AYES: Fedewa, Ross, Seeger, Stump, Smith, Cramton, Galardi.
NAYS: None.
ABSENT: None.
Motion carried.

Wage Compensation
and Classification
Study Final Report

","l will take steps towards this transition and
GovHr will conclude the study with a final implementation meeting will all staff. We
estimate that this implementa",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,moderate,weak,weak,neutral_or_unclear,weak,documentary_mechanism_claim,Classification Study since April of this year.,true,mentions_wage_comp_classification_study_implying_market_comparability_pressure,Market/comparability pressure grounded only in the stated existence of a wage compensation and classification study; no peer/market comparison details or adjustment rationale in this span.,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_04c6243c4d85c48b006a66cc1f1e388197ab54ad10d73900d7,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-1b60e146c9aa0093e452b59b,SPAN321-4cdeb550c4e77a7a01d640ae,TXT321-5693b260c4fd82cb814a,RS429-0ed24e3adf9aa2354992,TS4L-604b81012705eb969b1d,lane_4,tier_b,verification_ready_medium,https://www.dewitttownship.gov/AgendaCenter/ViewFile/Minutes/_11132023-416,"DeWitt Charter Township Board Minutes — November 13, 2023 (includes Wage Compensation and Classification Study Final Report; implementation January 1, 2024)",DeWitt charter,MI,safety_and_non_safety_compensation_units,Mixed (non-union/township-wide implementation plus discussion of public safety items and collective bargaining language items referenced in same board packet),POLC Supervisory Division (mentioned in same minutes packet; includes CBA-related wage schedule context elsewhere in packet),"Final Report concluded in 2023; proposed implementation January 1, 2024",2024-01-01,2024-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-5693b260c4fd82cb814a.txt,3fda06c2e820a6c0a4947eefc27fa4c98340948da22a3490233b1eb84e350279,fd2d83fd75fdb06d677f5cc55af205fb9ec0280e050e3aad15d54392b2c48a5d,"ds this transition and
GovHr will conclude the study with a final implementation meeting will all staff. We
estimate that this implementation will add close to $51,118 of expense to the 2024 Budget.
Manager Dymczyk provided the Wage Compensation and Classification Study Final
Report, a copy of the original 2024 Wage Schedule, and the 60th Percentile Proposed Pay
Ranges.
Rachel Skaggs from GovHr attended the meeting via ZOOM to present details of the study
and address any questions. Of particular interest were the 19 comparable communities that
were selected and weighted based upon their similarity to DeWitt Township. Ms. Skaggs
and Manager Dymczyk also explained that an all-staff meeting will be held to explain",8478,9198,7b246c3fe21955027f85d18f771e9eaeeea3637cb450d41535fd9b5ae1c40ede,"centile
Pay Ranges, and a 4% COLA. The proposed changes are to be implemented on January
1, 2024.
Once implementation is approved, payroll will take steps towar"," the
implementation process, and to also outline an appeals process.
Jamie Boyle, Deputy Treasurer, commented that she has worked at the Township for 26
years a",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,strong,strong,moderate,neutral_or_unclear,strong,direct_text_claim,"19 comparable communities that
were selected and weighted based upon their similarity",true,explicit_peer_comparability_weighting_in_wage_study,Study methodology section describing selection/weighting of comparable communities for pay/range setting.,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_04e18dd2d1c25c40006a66cc20de50819693a68574946b9127,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-f9144be4a5fbb30254cd8395,SPAN321-fb711e64fdf617513eb609bc,TXT321-5693b260c4fd82cb814a,RS429-0ed24e3adf9aa2354992,TS4L-604b81012705eb969b1d,lane_4,tier_b,verification_ready_medium,https://www.dewitttownship.gov/AgendaCenter/ViewFile/Minutes/_11132023-416,"DeWitt Charter Township Board Minutes — November 13, 2023 (includes Wage Compensation and Classification Study Final Report; implementation January 1, 2024)",DeWitt charter,MI,safety_and_non_safety_compensation_units,Mixed (non-union/township-wide implementation plus discussion of public safety items and collective bargaining language items referenced in same board packet),POLC Supervisory Division (mentioned in same minutes packet; includes CBA-related wage schedule context elsewhere in packet),"Final Report concluded in 2023; proposed implementation January 1, 2024",2024-01-01,2024-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-5693b260c4fd82cb814a.txt,3fda06c2e820a6c0a4947eefc27fa4c98340948da22a3490233b1eb84e350279,fd2d83fd75fdb06d677f5cc55af205fb9ec0280e050e3aad15d54392b2c48a5d,"bring staffing up to a good level. The Department has
been extremely busy and Lieutenant Jones called on residents to be vigilant in light of
recent stolen vehicles and vehicular larcenies.
Manager Andrew Dymczyk provided updates on the following:
• Wage study implementation
• Sewer Board of Appeals meeting
• Sidewalk repair program
• Meeting with new East Lansing Manager
• MAFF Negotiations upcoming
• Benefits Committee meeting
• Mechanical / Plumbing inspector resignation
• City village and township revenue sharing
• MBS bid opening, interviews, and references
Trustee Smith was complimentary of the Township newsletter. He also congratulated Fire
Captain Tom Stone on 30 years with the Township, as well as Detective Derreck Schaberg
on 25 years with the Police Department.",11897,12679,ccfb2e65876909a24608572f9e7be2723ac006e4140131b1d00600e4cb7dab03,"entary of the recruit program and
the Department’s first candidate. He also informed the Board that there is potential for a
couple of lateral hires that would ","

DeWitt Charter Township Board Minutes
November 13, 2023
Page 6
Trustee Seeger reminded the Board that there is an open house at the new Clinton County
Road Co",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,moderate,weak,not_supported,neutral_or_unclear,moderate,documentary_mechanism_claim,• Wage study implementation,true,explicit_wage_study_but_no_competitive_wording,Only the listed item about implementing a wage study; no stated peer/market adjustment rationale in this span.,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_00fa2dedebfc0fc4006a66cc20e5b481939855ca31554351bb,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-db9d0d25b6782651f2b6cb5f,SPAN321-aab92fa1e228d33d6175b51e,TXT321-9ce9b8d03eb5439ee9f7,RS429-135641aa2b35e6a985c2,TS4L-0c65caa80dc764fab8b4,lane_4,tier_b,verification_ready_medium,https://play.champds.com/ATT/springhilltn/2022-12/5c8487ed9c66060b9456dacbb1aaa173ec995d94.pdf,"Burris, Thompson & Associates — Proposal for Comprehensive Classification/Compensation Study (dated 2022-12-01; City of Athens, TN listed as prior client)",Athens,TN,safety_and_non_safety_compensation_units,Public safety and other city job classes (classification/compensation study scope likely covers multiple units),,2022-12-01 (proposal date; study proposal),,,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-9ce9b8d03eb5439ee9f7.txt,4a7d0c375c67dc6259e1b26f79f13d0cab5aa64004fd38ad303283d6347e7c41,2524a3aa04dfb00a863944816549e66bb69d00bd2a4e3cb55b811a3a2c0d3908,"Burris, Thompson & Associates
Proposal for

COMPREHENSIVE
CLASSIFICATION/COMPENSATION
STUDY
for the

City of Spring Hill
In Response to RFP dated October 17, 2022

December 1, 2022

Burris Thompson

& Associates

Burris, Thompson & Associates
Contact: Steve Thompson
3259 Vinemont Drive
Thompson’s Station, TN 37179-2924
(615) 500-7931
e-mail: stevenjthompson@comcast.net

Burris, Thompson & Associates
Proposal for Comprehensive Classification/Compensation Study December 1, 2022,

Page 2

COMPREHENSIVE CLASSIFICATION/COMPENSATION STUDY

Table of Contents

Transmittal Letter .............",0,591,c15da8eb72546dc592b07be437f91984ed3803e3fa3651b17eb3ef94ae563817,,".......................................................................................... 3
I. Proposer Qualifications

A. Firm Overview ......................",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,moderate,weak,moderate,neutral_or_unclear,moderate,direct_text_claim,"COMPREHENSIVE
CLASSIFICATION/COMPENSATION
STUDY",true,compensation_study_title_signal,title indicates a compensation/classification study but does not specify market comparison in this span,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_01a3a32b5bec568b006a66cc2162b08190a93588b651a6b666,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-51ca7f290771fc8bceac642d,SPAN321-342126f9dde79cbdf1ef34ab,TXT321-9ce9b8d03eb5439ee9f7,RS429-135641aa2b35e6a985c2,TS4L-0c65caa80dc764fab8b4,lane_4,tier_b,verification_ready_medium,https://play.champds.com/ATT/springhilltn/2022-12/5c8487ed9c66060b9456dacbb1aaa173ec995d94.pdf,"Burris, Thompson & Associates — Proposal for Comprehensive Classification/Compensation Study (dated 2022-12-01; City of Athens, TN listed as prior client)",Athens,TN,safety_and_non_safety_compensation_units,Public safety and other city job classes (classification/compensation study scope likely covers multiple units),,2022-12-01 (proposal date; study proposal),,,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-9ce9b8d03eb5439ee9f7.txt,4a7d0c375c67dc6259e1b26f79f13d0cab5aa64004fd38ad303283d6347e7c41,2524a3aa04dfb00a863944816549e66bb69d00bd2a4e3cb55b811a3a2c0d3908,"t

Burris, Thompson & Associates
Proposal for Comprehensive Classification/Compensation Study December 1, 2022,

Page 2

COMPREHENSIVE CLASSIFICATION/COMPENSATION STUDY

Table of Contents

Transmittal Letter ....................................................................................................... 3
I. Proposer Qualifications

A. Firm Overview ........................................................................................................ 4
B. Past Clients.............................................................................................................. 5
C. Project Staff .........................................................",370,1038,a64ef643ad1b4e788836ee18b806babf499a390f252e47611a5560219cf354aa,"s

Burris, Thompson & Associates
Contact: Steve Thompson
3259 Vinemont Drive
Thompson’s Station, TN 37179-2924
(615) 500-7931
e-mail: stevenjthompson@comcast.ne","................................................... 5
D. References.............................................................................................",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,strong,strong,not_supported,neutral_or_unclear,strong,direct_text_claim,Proposal for Comprehensive Classification/Compensation Study,true,explicit_classification_compensation_study_reference,Proposal title indicating a compensation/classification study (no stated market comparison results or causal impact).,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0cb7f59c6d791d74006a66cc23803081979ad304369771ee10,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-021e5e6f6ff7e263176b96a4,SPAN321-69b35de6ed66a53d9e354223,TXT321-9ce9b8d03eb5439ee9f7,RS429-135641aa2b35e6a985c2,TS4L-0c65caa80dc764fab8b4,lane_4,tier_b,verification_ready_medium,https://play.champds.com/ATT/springhilltn/2022-12/5c8487ed9c66060b9456dacbb1aaa173ec995d94.pdf,"Burris, Thompson & Associates — Proposal for Comprehensive Classification/Compensation Study (dated 2022-12-01; City of Athens, TN listed as prior client)",Athens,TN,safety_and_non_safety_compensation_units,Public safety and other city job classes (classification/compensation study scope likely covers multiple units),,2022-12-01 (proposal date; study proposal),,,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-9ce9b8d03eb5439ee9f7.txt,4a7d0c375c67dc6259e1b26f79f13d0cab5aa64004fd38ad303283d6347e7c41,2524a3aa04dfb00a863944816549e66bb69d00bd2a4e3cb55b811a3a2c0d3908,"rences............................................................................................................... 6

II. Proposed Approach to the Compensation Study

A. Study Scope and Objectives ................................................................................... 7
B. Fact Finding ............................................................................................................ 7
C. Job Analysis ............................................................................................................ 8
D. Review Employee Job Title Assignments .............................................................. 9
E. Identify Market Dat",1099,1767,140b1a5cef5dd9b4296e9338c2c97591efe3c784b37245a4f0ded9c987b5553c,"...................... 5
C. Project Staff ............................................................................................................ 5
D. Refe","a Sources ................................................................................. 9
F. Compile Market Salary Data ....................................",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,moderate,moderate,not_supported,neutral_or_unclear,moderate,documentary_mechanism_claim,Identify Market Dat,true,market_salary_data_step_in_compensation_study,Only evidence that the approach includes identifying market data for compensation; no causal or adjustment results stated.,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0c0f1efadb7b292d006a66cc23846481909bb53bd6d1c2ad3b,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-704563e251f3fdcdadcdf092,SPAN321-27b2105a04650d76fe2ce941,TXT321-9ce9b8d03eb5439ee9f7,RS429-135641aa2b35e6a985c2,TS4L-0c65caa80dc764fab8b4,lane_4,tier_b,verification_ready_medium,https://play.champds.com/ATT/springhilltn/2022-12/5c8487ed9c66060b9456dacbb1aaa173ec995d94.pdf,"Burris, Thompson & Associates — Proposal for Comprehensive Classification/Compensation Study (dated 2022-12-01; City of Athens, TN listed as prior client)",Athens,TN,safety_and_non_safety_compensation_units,Public safety and other city job classes (classification/compensation study scope likely covers multiple units),,2022-12-01 (proposal date; study proposal),,,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-9ce9b8d03eb5439ee9f7.txt,4a7d0c375c67dc6259e1b26f79f13d0cab5aa64004fd38ad303283d6347e7c41,2524a3aa04dfb00a863944816549e66bb69d00bd2a4e3cb55b811a3a2c0d3908,"Burris, Thompson & Associates
Proposal for Comprehensive Classification/Compensation Study December 1, 2022,",3495,3603,89ce7e32ec082727465bf2b622dafde233edcc9dbd0ba6a282be9ae26c06b592,"................................................... 17
Appendix II – Sample Job Analysis Questionnaire .................................................... 19

","

Burris Thompson
Compensation and
Talent Management
Consultants
& Associates

Page 3

Steve Thompson
President, Consulting Services
3259 Vinemont Drive
Thompso",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,moderate,weak,not_supported,neutral_or_unclear,moderate,documentary_mechanism_claim,"Proposal for Comprehensive Classification/Compensation Study December 1, 2022,",true,market_comparison_via_classification_compensation_study,Used only to document that a classification/compensation study was proposed; no claim about wage effects,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0d371b1784e290b6006a66cc23c27c8193b9f3a73ea8326665,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-528a08a26d8d1638113dbb03,SPAN321-5e76060e89ea3f279eb40046,TXT321-9ce9b8d03eb5439ee9f7,RS429-135641aa2b35e6a985c2,TS4L-0c65caa80dc764fab8b4,lane_4,tier_b,verification_ready_medium,https://play.champds.com/ATT/springhilltn/2022-12/5c8487ed9c66060b9456dacbb1aaa173ec995d94.pdf,"Burris, Thompson & Associates — Proposal for Comprehensive Classification/Compensation Study (dated 2022-12-01; City of Athens, TN listed as prior client)",Athens,TN,safety_and_non_safety_compensation_units,Public safety and other city job classes (classification/compensation study scope likely covers multiple units),,2022-12-01 (proposal date; study proposal),,,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-9ce9b8d03eb5439ee9f7.txt,4a7d0c375c67dc6259e1b26f79f13d0cab5aa64004fd38ad303283d6347e7c41,2524a3aa04dfb00a863944816549e66bb69d00bd2a4e3cb55b811a3a2c0d3908,"December 1, 2022
Rick Stokes
HR Director
City of Spring Hill
199 Town Center Parkway
Spring Hill, TN 37174
Dear Rick,
Burris, Thompson & Associates is pleased to present the enclosed proposal for the
Comprehensive Classification/Compensation Study for the City of Spring Hill.
Burris, Thompson & Associates is highly qualified to conduct the Study based on our prior
work with Spring Hill and extensive public sector compensation consulting experience in
Tennessee.
Note that samples of a job description and a study report are not included – would result in
exceeding RFP stipulated 20 page limit. Additionally, we assume the City has an
established job description format and it is against our p",3841,4538,2609773ce2178a93e50ea70f46f87c52ef8aece0bff48f540929598691c52f93,"
Page 3

Steve Thompson
President, Consulting Services
3259 Vinemont Drive
Thompson’s Station, TN 37179-2924
Phone: (615) 500-7931
stevenjthompson@comcast.net

","olicy to provide sample reports –
when provided in the past they were misinterpreted as being indicative of the details of the
Study approach we would take when",MARKET_WAGE_STUDY,wage_compensation_study,high,market_or_comparability_pressure,moderate,moderate,weak,neutral_or_unclear,moderate,direct_text_claim,Comprehensive Classification/Compensation Study for the City of Spring Hill.,true,mentions_classification_compensation_study,"Classifies and compensates via a compensation study for the city (market alignment/comparability context implied, no causal effect stated).",true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0fb63b02c9adb77b006a66cc23e9d88193874afddee582e5a8,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
SPANR201-2400aa45a6cc01b9f0c28c71,SPAN321-2d30cbbceb0391950f6a74b3,TXT321-e81896c5c2b27b3cc331,RS429-1cf60e8b29dbe4551602,TS4L-70c533a0e9abd443f837,lane_4,tier_b,verification_ready_medium,https://agendas.addisontx.gov/docs/2025/CM/20250624_7454/AGENDApacket__06-24-25_0341_7449.pdf,Addison TX City Council agenda packet including 'Existing Pay Plan' table with FY2024 police/fire pay range data,Addison,TX,safety_and_non_safety_compensation_units,Public safety (Firefighter/Paramedic; Police Officer referenced in included pay plan tables),,Agenda packet (2025-06-24) referencing FY2024 pay plan ranges,FY2024 (inferred),FY2024 (inferred),cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-e81896c5c2b27b3cc331.txt,574745b410e510a8c47fc4212176e6ff909437da20753102a0f69cf8212f0d47,e22adc8576dbb9877b1e97b8d5402eec56077aee461616d1ba737ada7f57e135,"Background – Existing Pay Plan
Current Pay Plan
Pay ranges are increased annually
by the market adjustment provided
to all employees:",14044,14177,9a784cdd5120e8ca5c0d30c0f37d27c11e4be5430e5a874fbc00dfb864ee3d07,"ansition and/or competitive position
could be advanced.
• Staff has developed a range of options for Council with these considerations and financial
impact.
2

","

o Allows pay plans to remain
competitive and current
o Provides for growth of tenured
employees
o Progression through the range is
based on merit increases re",MARKET_ADJUSTMENT,market_adjustment,high,market_or_comparability_pressure,strong,strong,not_supported,neutral_or_unclear,strong,direct_text_claim,"Pay ranges are increased annually
by the market adjustment provided
to all employees:",true,explicit_market_adjustment_phrase,Background pay-plan description only; no causal inference,true,true,rated_valid,not_ingested,not_codified,not_causal_evidence,false,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_016f22b6ba49d8d0006a66cc25a68c819498502ee76a8c130c,1,"Bounded exact-span rating only; not a wage-gap estimate, causal conclusion, or global analysis record."
