span_extraction_id,stage,attempt,started_at,elapsed_seconds,status
SPAN321-4f86bcce4667e85310f9f339,preflight,1,2026-07-27T03:07:38.313590+00:00,2.253451,success
SPAN321-120e2edfe36aaa24497600d3,preflight,1,2026-07-27T03:07:38.510932+00:00,3.213579,success
SPAN321-27b2105a04650d76fe2ce941,preflight,1,2026-07-27T03:07:38.510950+00:00,2.742678,success
SPAN321-b77e65a68f186a6f0834c134,preflight,1,2026-07-27T03:07:38.510958+00:00,4.584663,success
SPAN321-6b89c2a7d366cb1f89d40bdf,preflight,1,2026-07-27T03:07:38.510962+00:00,5.868791,success
SPAN321-b025cd80fc87d1df7df365bc,preflight,1,2026-07-27T03:07:38.510967+00:00,6.892432,success
SPAN321-5ad78c7baa4ab1af5917bd0a,preflight,1,2026-07-27T03:07:38.510969+00:00,6.801191,success
SPAN321-5ad78c7baa4ab1af5917bd0a,preflight,2,2026-07-27T03:07:45.410401+00:00,2.975176,success
SPAN321-738ae040c0e38563fdc4193d,live,1,2026-07-27T03:08:26.727815+00:00,2.904115,success
SPAN321-ae31b06146fcec018d341db3,live,1,2026-07-27T03:08:26.902713+00:00,2.781951,success
SPAN321-b025cd80fc87d1df7df365bc,live,1,2026-07-27T03:08:26.902733+00:00,2.942006,success
SPAN321-f74a25973225ee630d3dba9b,live,1,2026-07-27T03:08:26.902742+00:00,2.606373,success
SPAN321-0973ad26253f48d69072b0c6,live,1,2026-07-27T03:08:26.902748+00:00,4.809962,success
SPAN321-bd9a2dcada131f220c5aed30,live,1,2026-07-27T03:08:26.902755+00:00,5.241246,success
SPAN321-89b36334d8082b9f861f2a4b,live,1,2026-07-27T03:08:26.902758+00:00,4.909409,success
SPAN321-e8927af4fdbd22ff13ec8f08,live,1,2026-07-27T03:08:26.902761+00:00,5.423920,success
SPAN321-908fd5c3e0d7c0d81cb82f50,live,1,2026-07-27T03:08:26.902765+00:00,7.289565,success
SPAN321-5bdc32461d412de1d246b77f,live,1,2026-07-27T03:08:26.902767+00:00,7.406854,success
SPAN321-da0ac3ba9b28d59bd0719a35,live,1,2026-07-27T03:08:26.902768+00:00,7.351244,success
SPAN321-0d8436ec9b0bbf34a11e643e,live,1,2026-07-27T03:08:26.902770+00:00,7.499414,success
SPAN321-b0c50d5b829afc0898e1ad8b,live,1,2026-07-27T03:08:26.902772+00:00,9.560259,success
SPAN321-6b89c2a7d366cb1f89d40bdf,live,1,2026-07-27T03:08:26.902773+00:00,9.969021,success
SPAN321-8cf6491470c7468f41ecbfef,live,1,2026-07-27T03:08:26.902776+00:00,12.307651,success
SPAN321-ffec5acea6870598b8a65762,live,1,2026-07-27T03:08:26.902777+00:00,10.984123,success
SPAN321-9a41d241e1209e1506b8dc57,live,1,2026-07-27T03:08:26.902779+00:00,12.763438,success
SPAN321-58869f127fdb324fd6822623,live,1,2026-07-27T03:08:26.902780+00:00,12.522454,success
SPAN321-5060012a408f78e794afc247,live,1,2026-07-27T03:08:26.902781+00:00,14.241148,success
SPAN321-fd8082e1ba028ef6c469e0c6,live,1,2026-07-27T03:08:26.902783+00:00,14.949028,success
SPAN321-b716a24f98162771dc01f08a,live,1,2026-07-27T03:08:26.902784+00:00,15.277230,success
SPAN321-cdd5ae8cc1d278f22183ded8,live,1,2026-07-27T03:08:26.902785+00:00,15.760425,success
SPAN321-a909bcc582f1e2856939df8f,live,1,2026-07-27T03:08:26.902786+00:00,17.593360,success
SPAN321-0c2db677ecd97d7d5f08aa02,live,1,2026-07-27T03:08:26.902787+00:00,17.685196,success
SPAN321-706e47268f4c97bc758ef73c,live,1,2026-07-27T03:08:26.902789+00:00,17.935267,success
SPAN321-738ae040c0e38563fdc4193d,live,2,2026-07-27T03:08:44.851022+00:00,3.189777,success
SPAN321-b025cd80fc87d1df7df365bc,live,2,2026-07-27T03:08:44.851129+00:00,3.217319,success
SPAN321-89b36334d8082b9f861f2a4b,live,2,2026-07-27T03:08:44.851149+00:00,3.722873,success
SPAN321-908fd5c3e0d7c0d81cb82f50,live,2,2026-07-27T03:08:44.851164+00:00,2.487256,success
SPAN321-da0ac3ba9b28d59bd0719a35,live,2,2026-07-27T03:08:44.851177+00:00,5.792057,success
SPAN321-b0c50d5b829afc0898e1ad8b,live,2,2026-07-27T03:08:44.851185+00:00,6.282032,success
SPAN321-8cf6491470c7468f41ecbfef,live,2,2026-07-27T03:08:44.851189+00:00,5.742918,success
SPAN321-9a41d241e1209e1506b8dc57,live,2,2026-07-27T03:08:44.851192+00:00,6.919421,success
SPAN321-58869f127fdb324fd6822623,live,2,2026-07-27T03:08:44.851194+00:00,9.413632,success
SPAN321-063964e97cef3cc39e18b1c6,live,1,2026-07-27T03:08:54.277498+00:00,2.136313,success
SPAN321-e3c5b8f0183976b188af0f51,live,1,2026-07-27T03:08:54.277586+00:00,2.839678,success
SPAN321-da96acdb71addd0442d5eefd,live,1,2026-07-27T03:08:54.277609+00:00,3.107644,success
SPAN321-2f74d5eabc9b2a348914c8eb,live,1,2026-07-27T03:08:54.277626+00:00,2.719494,success
SPAN321-57a13e83705a8c76801cf3db,live,1,2026-07-27T03:08:54.277640+00:00,4.868025,success
SPAN321-9f2419a2d6983b229245963e,live,1,2026-07-27T03:08:54.277648+00:00,5.125355,success
SPAN321-fb83ae748b85cea5e573239b,live,1,2026-07-27T03:08:54.277651+00:00,4.928786,success
SPAN321-fb258d6e9b50f5c6ab7d72b0,live,1,2026-07-27T03:08:54.277655+00:00,5.673173,success
