mixed_join_key,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,quantitative_observation_ids,qualitative_observation_ids,quantitative_observation_count,qualitative_observation_count,confidence,reason_codes,qa_status
mix_1e4fd14810617fa5efa9092d,cexrem_dc7b0801c438edd76a9405b3,doc_bc8e8af8bd5e98fa9b84dea8,ttd_cccd410c5a34fab04ed033b4,sr_d60ff4b9d0901c2fb4aa4110,NSCQ-CA-20260720-0022,CA,Bakersfield,CITY OF BAKERSFIELD,fire,cba,qobs_bd037795a9de01eb249881d1|qobs_b9161cebec64043f754b4489,lobs_bd037795a9de01eb249881d1|lobs_b9161cebec64043f754b4489,2,2,medium,ARTICLE1_06_1_GENERAL_SALARY_INCREASE_1P|ARTICLE1_06_1_CPI_INDEXING_LANGUAGE_FOR_|ARTICLE1_06_1_GENERAL_SALARY_INCREASE_2P,provisional_unverified
mix_7fa75fa1bd4be22fe082d879,cexrem_f96568a560c125afaeb3d35f,doc_c6abc6dabeaed9ac7c51df04,ttd_2747a81a56c813f2858c7a44,sr_90c2fe897b9b2d05ed41e5d2,NSCQ-CA-20260720-0021,CA,Bakersfield,CITY OF BAKERSFIELD,police,cba,qobs_14861bf513159c968b4ed4f1|qobs_2c9ee96903e3a87d9a0149eb|qobs_9ada343fb4b5ef05affdcbb6,lobs_14861bf513159c968b4ed4f1|lobs_2c9ee96903e3a87d9a0149eb,3,2,medium,BASE_WAGE_SALARY_RANGE_INCREASE_2019_032|BASE_WAGE_CPI_INDEXING_2020_WEST_REGION_|BASE_WAGE_CPI_INDEXING_2021_WEST_REGION|BASE_WAGE_CPI_EFFECTIVE_PAY_PERIOD_RULE|BASE_WAGE_CPI_CAP_FLOOR_2020|NON_BASE_OVERTIME_TRAVEL_TIME_TRAINING|NON_BASE_CALLBACKS_MIN_TIME_4_HOURS_T1_2|NON_BASE_PERS_PAYMENT_DISCONTINUANCE_FOR,provisional_unverified
mix_e97863440145203680942e89,cexrem_0d5fa53b153d7e2e6bc9e5e0,doc_6f2521e6c87340427ee6d242,ttd_51b8cf615f9d7f56025008ff,sr_e8ffa07154ab72579f9a11dd,NSCQ-CA-20260720-0635,CA,Banning,CITY OF BANNING,police,cba,qobs_07e6da7b57d0082cf5ef0fb1|qobs_62d22d10f1fef8f19630cda8|qobs_816607afa797b8a6786a036f|qobs_1e26ad1fb20fd5e5abd5cd51|qobs_e4e0fb2e4c7bd771bbac8aad,lobs_07e6da7b57d0082cf5ef0fb1,5,1,medium,COLA1_BASE_PAY_FLOOR_CEILING_AND_CPI_JAN|COLA2_BASE_PAY_FLOOR_CEILING_AND_CPI_JAN|GRADE_INCREASE_OFFICERS_P67_P70_WITH_1AD|GRADE_INCREASE_CORPORALS_P71_P75_WITH_1A|GRADE_INCREASE_SERGEANTS_P78_P82_WITH_1A|COLA_AND_GRADE_REALIGNMENT_MECHANICS,provisional_unverified
mix_d73d57d455180b55b2b6c937,cexrem_6b61dfa45e8a6c081a62b29b,doc_f9cd1bbc95e98a6e9d0eef0c,ttd_9051c1e0a2f9872d02acf8f9,sr_8464163e220b283b926c1314,NSCQ-CA-20260720-0601,CA,Bell,CITY OF BELL,police,cba,qobs_af6341fc198f8c497b969ee5|qobs_68689a1cac152bff58e8d347|qobs_be925869453d3907b133d528|qobs_b7ecf4ff20148b06d18eafc3|qobs_705232001cf3f92947d3f192,lobs_af6341fc198f8c497b969ee5,5,1,medium,BASE_SALARY_TABLE_VALUE_FOR_OFFICER_STEP|BASE_SALARY_DEFINITION_EXCLUDES_SPECIAL_|K9_SPECIAL_ASSIGNMENT_PERCENT_OF_BASE|EXTRA_TRAINING_DUTIES_10_PERCENT_BASE|OVERTIME_1_5_OF_AGGREGATE_HOURLY_PAY|SPECIAL_EVENT_PAY_MINIMUM_FOUR_HOURS|UNIFORM_ALLOWANCE_TIMING_SEPTEMBER,provisional_unverified
mix_e99ab647822d2ee78e64e52f,cexrem_7980eafd9321c1fcfee8b73e,doc_7a22be9af444b4132ed1a682,ttd_7da20ee9f434479005bb62f5,sr_e93b7d54218fc869b7b200ae,NSCQ-CA-20260720-0516,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,qobs_e90208b5bea36af0cf83c43c|qobs_de76430fc989e047c82c389e|qobs_5be9934c45da66f9f2b63fc9|qobs_f63be54a2d3a3944fe2570c7,lobs_e90208b5bea36af0cf83c43c|lobs_de76430fc989e047c82c389e,4,2,medium,BASE_WAGE_SCHEDULED_INCREASE_JULY_2022|BASE_WAGE_SCHEDULED_INCREASE_JULY_2023|BASE_WAGE_SCHEDULED_INCREASE_JULY_2024|BASE_WAGE_MARKET_ADJUSTMENT_0_57_PERCENT|QUAL_MARKET_ADJUSTMENT_TOTAL_COMP_MEAN|QUAL_SPECIAL_ADJUSTMENT_YEAR_3_TOTAL_COM|NON_BASE_PERS_EMPLOYER_RATE_INCREASE|NON_BASE_DENTAL_MAX_2500,provisional_unverified
mix_6481a6cfa94231e41bf5c88d,cexrem_9b0dfdf283a704a24f5bb4a9,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,qobs_e708bf98f49c05e150f665e7|qobs_8b8c0e3ed19e9975c581e305|qobs_86d8db81ac9a72c5ce2372e8|qobs_7befee0765f547277f3e395e|qobs_e195d73a55ad4a85b30c9dee,lobs_e708bf98f49c05e150f665e7|lobs_8b8c0e3ed19e9975c581e305|lobs_86d8db81ac9a72c5ce2372e8|lobs_7befee0765f547277f3e395e,5,4,medium,BASE_PAY_SCHEDULE_INCREASE_JULY_2023|BASE_PAY_IN_ADDITION_TO_2022_GENERAL_IN_|BASE_PAY_SCHEDULE_INCREASE_JULY_2024|BASE_PAY_SCHEDULE_INCREASE_JULY_2025|PROMOTIONS_EFFECT_ON_BASIC_PAY_CLOSEST_T|PAY_STEP_PROGRESSION_CONDITIONED_ON_PERF|PAY_STEP_A_TO_B_SIX_MONTH_SERVICE|PAY_STEP_OTHERS_TWELVE_MONTH_SERVICE,provisional_unverified
mix_e0d7d9a30cef961b9f507e6c,cexrem_0f0f45204de26716d3073852,doc_ff3c23e1ea627b1adc77682c,ttd_24395bf391b78ff52def1001,sr_b8c6d05bef821099d3003db2,NSCQ-CA-20260720-0719,CA,Dana Point,CITY OF DANA POINT,non_safety,cba,qobs_90f66f4b5ee96dfe127fc4e1|qobs_48c74814a43fbbc2e7413a5c,lobs_90f66f4b5ee96dfe127fc4e1|lobs_48c74814a43fbbc2e7413a5c,2,2,high,SECTION_11_SALARY_A_2_5_PERCENT_INCREASE|SECTION_11_SALARY_A_3_ADDITIONAL_1_DOLLH|SECTION_11_SALARY_A_2_121ST_HOUR_CUMULAT|SECTION_11_SALARY_A_3_OUTSIDE_RECREATION,provisional_unverified
mix_963253e20e51dccc4adb7583,cexrem_6c9c5eb799e576d14a95ad10,doc_fc5727c3dbccb74d5eb427fc,ttd_e2fb1c8d102a9a5d0b2dc2a5,sr_99a4a6b87bd7d4d6932a7414,NSCQ-CA-20260720-0079,CA,Elk Grove,CITY OF ELK GROVE,police,cba,qobs_631c4ae528d5a9b5b4cf4d8f|qobs_e948e91ae61b5375faa08770|qobs_d168224ccffbb93344a22275|qobs_ec20dc260f11f43d9e298868,lobs_631c4ae528d5a9b5b4cf4d8f|lobs_e948e91ae61b5375faa08770|lobs_d168224ccffbb93344a22275,4,3,medium,BASE_WAGE_GSI_FLOOR_CEILING_2023_24|BASE_WAGE_MARKET_SALARY_ADJUSTMENT_FORM_|BASE_WAGE_REFERENCE_PERCENT_BELOW_80TH|BASE_WAGE_SUPPLEMENTAL_PAY_PERCENTAGE_ST|CPI_INDEXING_VIA_TOT_COMP_SURVEY_80TH_FI|CPI_INDEXING_2026_RULES_BY_80TH_PERCENT|STEP_SCHEDULE_AND_EFFECTIVE_LOGIC_2023_2|NON_BASE_FLOATER_HOLIDAY_OVERTIME_RELEV,provisional_unverified
mix_3547ae8e6308583a426f2fb1,cexrem_332d46b733da3d57ce0f9709,doc_30b06a429b99bfb44506277e,ttd_3ff0b7b23e50f7b036571885,sr_6646676d38eeb9a4df10db99,NSCQ-CA-20260720-0386,CA,Gardena,CITY OF GARDENA,non_safety,cba,qobs_01a51918a47baf85bc80a383|qobs_daf4d6de42b2cf152434092b,lobs_01a51918a47baf85bc80a383|lobs_daf4d6de42b2cf152434092b,2,2,medium,JOINT_SALARY_SURVEY_SALARY_RANGES_SALARY|COLA_IMPLEMENTATION_FIRST_PAY_PERIOD_JUL,provisional_unverified
mix_278c2304172d2fa7399229a4,cexrem_53f7d7a6d38a13ee3606dc3f,doc_0d688c12b5d03b08cfdd8649,ttd_081061b4075b4fc5151a8b0c,sr_ccde8b30071dd714a82e0058,NSCQ-CA-20260720-0406,CA,Gilroy,CITY OF GILROY,police,cba,qobs_3356b95de18206b909e72dfe|qobs_33218ec9f0bbcea89c2d6f20|qobs_29b9003ba9977c6f9ce46780|qobs_d4457570f194d912377a370e|qobs_2baa193a4dbb4d4fe4eb2f8c,lobs_3356b95de18206b909e72dfe|lobs_33218ec9f0bbcea89c2d6f20,5,2,medium,ARTICLE_IV_1_SALARY_INCREASE_THREE_PCT_1|ARTICLE_IV_2_SALARY_INCREASE_THREE_PCT_2|ARTICLE_IV_3_SALARY_INCREASE_THREE_PCT_3|ARTICLE_IV_EQ_ADJ_ONE_PCT_EFFECTIVE_JULY|ARTICLE_IV_EQ_ADJ_ONE_PCT_EFFECTIVE_JULY|ARTICLE_STEP_F_G_ADD_AND_MOVE_RULES|EFFECTIVE_DATE_MOVED_TO_NEXT_FULL_PAYPER|EMPLOYEE_CONTRIBUTION_PRETAX_DEDUCTION,provisional_unverified
