review_type,extraction_case_id,page_number,lane,observation_ids,observation_count,qa_reason,resolution_classification,resolution_status,unresolved_flag,structured_basis,canonical_observation_id,duplicate_observation_ids
exact_content_duplicate,cex1000_f1be36d33fcf1c3839e8a97b,13,quantitative,qobs_698c36b2be5198d4fbeef9e1|qobs_0f2a8f945560bb540cbaf13b,2,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest cumulative row is canonical.,qobs_698c36b2be5198d4fbeef9e1,qobs_0f2a8f945560bb540cbaf13b
exact_content_duplicate,cex_77ffcd4d041b6c73434fb34f,10,non_base_wage,nobsqa_d74c1706d8048e3433c5c0f9|nobsqa_571713b550193cb15986fce7|nobsqa_7f64f2d6775218d07353734f,3,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest cumulative row is canonical.,nobsqa_d74c1706d8048e3433c5c0f9,nobsqa_571713b550193cb15986fce7|nobsqa_7f64f2d6775218d07353734f
exact_content_duplicate,cex_d05aa871ea17ee0e44809e69,24,non_base_wage,nobsqa_35ef1cfbd5f42aeaaf8fb3b9|nobsqa_9a6f2aa8953dc76e2dd21e6c|nobsqa_d7ba01d7301e5f0b54b372e9,3,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest cumulative row is canonical.,nobsqa_35ef1cfbd5f42aeaaf8fb3b9,nobsqa_9a6f2aa8953dc76e2dd21e6c|nobsqa_d7ba01d7301e5f0b54b372e9
exact_content_duplicate,cex_94eca1be458d3acd471c2557,17,non_base_wage,nobsqa_44f9a09354be16c26322426d|nobsqa_10bba092797b4793c64cf9b3,2,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest cumulative row is canonical.,nobsqa_44f9a09354be16c26322426d,nobsqa_10bba092797b4793c64cf9b3
exact_content_duplicate,cex_27bd58cdf06c8f1ddc1c06a0,31,non_base_wage,nobsqa_a5bf05482a78b891ddbc3395|nobsqa_95c6d18fc72e24f3d5ab4cd3,2,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest cumulative row is canonical.,nobsqa_a5bf05482a78b891ddbc3395,nobsqa_95c6d18fc72e24f3d5ab4cd3
exact_content_duplicate,cex_2736a539edd4f65fb97e8442,11,non_base_wage,nobsqa_c4d2235f10c5a0b8553ffe22|nobsqa_4c21db2e92a723d7615827cc,2,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest cumulative row is canonical.,nobsqa_c4d2235f10c5a0b8553ffe22,nobsqa_4c21db2e92a723d7615827cc
exact_content_duplicate,cex_fb9bd6b64c0ce2ed4a3d933f,14,non_base_wage,nobsqa_064d2daa1eadb9d3a7fe9dea|nobsqa_2daa2331ec1e870577ae0047,2,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest cumulative row is canonical.,nobsqa_064d2daa1eadb9d3a7fe9dea,nobsqa_2daa2331ec1e870577ae0047
potential_quantitative_conflict,cex_cf2ef3b39fdcb44d58e51f3b,6,quantitative,qobs_8044c5b70358d7b132b804a2|qobs_4b7fa2ac4dc2c0441ed90118,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate percentage components/cells.,,
potential_quantitative_conflict,cex_5bcf8fc4872759a9bb92a89b,10,quantitative,qobs_09740c868c022a470219240f|qobs_e183f31821059045e64e898d,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate percentage components/cells.,,
potential_quantitative_conflict,cex_43e0f3541d71ad9b5fbacbcc,5,quantitative,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate percentage components/cells.,,
