request_phase,extraction_case_id,started_at,finished_at,local_packet_seconds,gabriel_elapsed_seconds,request_status
preflight_1000_quantitative_base_wage,cex1000_a1d9a51edbd3611bbd6db0fa,,2026-07-25T23:38:04Z,0.000000,7.064056,success
preflight_1000_qualitative_mechanism,cex1000_33c44824f357c9463855503a,,2026-07-25T23:38:04Z,0.000000,12.047378,success
preflight_1000_mixed_quant_qual,cex1000_c58de708dde4fd15a33552c0,,2026-07-25T23:38:04Z,0.000000,28.150023,success
preflight_1000_non_base_wage,cex1000_f5c9ee9a20150452392fef15,,2026-07-25T23:38:04Z,0.000000,41.855026,success
preflight_1000_reference_exclusion,cex1000_c2fd75f0f2204f109d4ee4f5,,2026-07-25T23:38:04Z,0.000000,43.938456,success
preflight_1000_effective_date_or_classification_conflict,cex1000_a2a4a753588b930fb86f0d3d,,2026-07-25T23:38:04Z,0.000000,50.986290,success
live_1000,cex1000_4040fd998fa910c90e96a7b0,,2026-07-25T22:56:32Z,0.000000,11.297980,success
live_1000,cex1000_cee7f90a88d41a5c0cf72655,,2026-07-25T22:56:32Z,0.000000,3.509805,success
live_1000,cex1000_9dde3d6252346051f1d5dbb8,,2026-07-25T22:56:32Z,0.000000,11.441561,success
live_1000,cex1000_0b3dd477daa190dfa2f465a5,,2026-07-25T22:56:32Z,0.000000,17.748235,success
live_1000,cex1000_d49785a1e8b0754074687e97,,2026-07-25T22:56:32Z,0.000000,17.590473,success
live_1000,cex1000_91c35bb9f1f4e143c0832b43,,2026-07-25T22:56:32Z,0.000000,22.194725,success
live_1000,cex1000_c22e0ed75abf7e25e79dc42f,,2026-07-25T22:56:32Z,0.000000,26.082888,success
live_1000,cex1000_1f775de8bfc6ce16c76f0429,,2026-07-25T22:56:32Z,0.000000,28.929029,success
live_1000,cex1000_a4ae8fa6bb20888bad15883d,,2026-07-25T22:56:32Z,0.000000,32.549100,success
live_1000,cex1000_7da9e33183e8248b80b73f66,,2026-07-25T22:56:32Z,0.000000,34.380991,success
live_1000,cex1000_7813100cc7a45785a490f6b9,,2026-07-25T22:56:32Z,0.000000,35.036118,success
live_1000,cex1000_ab8301515bbc2e8fba0d8807,,2026-07-25T22:56:32Z,0.000000,41.134985,success
live_1000,cex1000_00a02e8af692505a179b550e,,2026-07-25T22:56:32Z,0.000000,43.772895,success
live_1000,cex1000_d0cf4b66da08568c56971806,,2026-07-25T22:56:32Z,0.000000,48.918319,success
live_1000,cex1000_f5c9ee9a20150452392fef15,,2026-07-25T22:56:32Z,0.000000,55.061367,success
live_1000,cex1000_9c51085648e831dc1b96c60b,,2026-07-25T22:56:32Z,0.000000,63.711891,success
live_1000,cex1000_f3d27d2312ffef173b9f1168,,2026-07-25T22:56:32Z,0.000000,63.359711,success
live_1000,cex1000_f1be36d33fcf1c3839e8a97b,,2026-07-25T22:56:32Z,0.000000,74.031709,success
live_1000,cex1000_5c1acdac8df4f58fa551f51e,,2026-07-25T22:56:32Z,0.000000,69.591097,success
live_1000,cex1000_66fd40504285e5df2ac22a86,,2026-07-25T22:56:32Z,0.000000,83.937980,success
live_1000,cex1000_07dbe36f564cf001de45f1a7,,2026-07-25T22:56:32Z,0.000000,81.889523,success
live_1000,cex1000_9e420138d824055aadda7c19,,2026-07-25T22:56:32Z,0.000000,87.427948,success
live_1000,cex1000_04f7742b28b0ac09d0d450a1,,2026-07-25T22:56:32Z,0.000000,90.155667,success
live_1000,cex1000_81fc99519469e6b7197edfd5,,2026-07-25T22:56:32Z,0.000000,93.958018,success
live_1000,cex1000_ffa59ff33c99c839d59a7c9c,,2026-07-25T22:56:32Z,0.000000,93.462477,success
