non_base_wage_observation_id,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,non_base_wage_type,value_text,effective_date,eligibility_or_implementation_rule,bounded_evidence_pointer,confidence,reason_code,qa_status
nobs_4e3a944d4a47082d14efb63f,cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,3,overtime,overtime at premium rate of time and one-half (1-1/2) times straight-time rate of pay,,time worked during the standard work period for employees assigned to 24-hour shifts,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=3,medium,OVERTIME_PREMIUM_1_1_2,provisional_unverified
nobs_a7f1f0d0cc20ecd99ea44610,cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,3,overtime,"court time, administrative, annual, sick leave and holiday pay shall be considered as time worked for purposes of period","Effective January 1, 2005",for computing overtime compensation; excludes Union Leave Time,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=3,low,OVERTIME_TIME_WORKED_EXCLUDES_UNION_LEAV,needs_review
nobs_3cb388e7bf161b15f24ac89e,cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,4,other,"Shift Differential Pay per City of Ketchikan Personnel Rules 5.5.1 (as amended August 3, 1995)",,reference to Personnel Rules,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=4,low,SHIFT_DIFFERENTIAL_REFERENCE_NO_AMOUNT,needs_review
nobs_3378828a361f0bb9113cd41f,cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,4,other,Out of Classification Pay: premium of eight percent (8%) of regular rate of pay,,temporarily assigned to at least three (3) pay grades higher,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=4,medium,OUT_OF_CLASSIFICATION_PREMIUM_8_PERCENT,provisional_unverified
nobs_432d3c921361784a2e723820,cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,4,other,Out of Classification Pay: premium of five percent (5%) of regular rate of pay,,temporarily assigned to a position less than three (3) pay grades higher,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=4,medium,OUT_OF_CLASSIFICATION_PREMIUM_5_PERCENT,provisional_unverified
nobs_3c1985588d2b53a2dec18388,cexrem_55a1aa9edee2455edb807f61,doc_678e04748b29da50c6e1bcad,ttd_b804ace850e92c271c760ee2,sr_acb5ecbffecbf0b6b5bb75dd,NSCQ-AK-20260720-0014,AK,Sitka,CITY AND BOROUGH OF SITKA,police,cba,,,9,leave,transfer from one hour (1) to eight (8) hours from each Employee’s personal leave account to the Association Leave Bank,,Transfers of leave into the Association Leave Bank,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0133_sr_acb5ecbffecbf0b6b5bb75dd.pdf#page=9,medium,CBA_FMLA_LEAVE_BANK_CONVERSION_RATIO,provisional_unverified
nobs_5e434d99d6e0dd31d60f662a,cexrem_55a1aa9edee2455edb807f61,doc_678e04748b29da50c6e1bcad,ttd_b804ace850e92c271c760ee2,sr_acb5ecbffecbf0b6b5bb75dd,NSCQ-AK-20260720-0014,AK,Sitka,CITY AND BOROUGH OF SITKA,police,cba,,,9,leave,cash value by multiplying hours deducted from the member’s leave balance by the regular hourly pay rate of the donor; to,,Cash value then divided by regular hourly rate of the recipient to establish value in hours as business leave,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0133_sr_acb5ecbffecbf0b6b5bb75dd.pdf#page=9,low,CBA_LEAVE_BANK_BUSINESS_LEAVE_CASH_VALUE,needs_review
nobs_c36eee36125a40ed4d3fefde,cexrem_55a1aa9edee2455edb807f61,doc_678e04748b29da50c6e1bcad,ttd_b804ace850e92c271c760ee2,sr_acb5ecbffecbf0b6b5bb75dd,NSCQ-AK-20260720-0014,AK,Sitka,CITY AND BOROUGH OF SITKA,police,cba,,,9,leave,Association Leave Bank requests for absences made in writing at the end of each calendar year not later than January 31,,Request timing for absences from duty for business leave,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0133_sr_acb5ecbffecbf0b6b5bb75dd.pdf#page=9,low,CBA_ASSOC_LEAVE_BANK_REQUEST_DEADLINE,needs_review
nobs_5d1ee8eeb73f665b556f2d0d,cexrem_55a1aa9edee2455edb807f61,doc_678e04748b29da50c6e1bcad,ttd_b804ace850e92c271c760ee2,sr_acb5ecbffecbf0b6b5bb75dd,NSCQ-AK-20260720-0014,AK,Sitka,CITY AND BOROUGH OF SITKA,police,cba,,,8,leave,Up to 10 Days: leave-without-pay not to exceed a total of ten (10) working days in any calendar year (after using/presum,,Granted after accrued personal leave used; approval/conditions referenced by Department Head,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0133_sr_acb5ecbffecbf0b6b5bb75dd.pdf#page=8,medium,CBA_LEAVE_WITHOUT_PAY_10_DAYS_LIMIT,provisional_unverified
nobs_9b258f536ac8105fcc1c9a68,cexrem_55a1aa9edee2455edb807f61,doc_678e04748b29da50c6e1bcad,ttd_b804ace850e92c271c760ee2,sr_acb5ecbffecbf0b6b5bb75dd,NSCQ-AK-20260720-0014,AK,Sitka,CITY AND BOROUGH OF SITKA,police,cba,,,8,leave,More than 10 Days: allowed to be absent from duty without pay in excess of ten (10) days; return to same position or any,,Based on application for leave-without-pay approved by the Department Head; return terms referenced,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0133_sr_acb5ecbffecbf0b6b5bb75dd.pdf#page=8,medium,CBA_LEAVE_WITHOUT_PAY_MORE_THAN_10_DAYS,provisional_unverified
