scout_target_id,state,region,municipality,municipality_id,census_gov_id,population,government_name,expected_units_to_search,scout_purpose,anchor_cycle,selection_reason,broad_geographic_target_reason,source_family_diversification_reason,matched_non_safety_opportunity_flag,search_query_family,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,verification_status,download_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
BSSS-20260727-0001,AK,West,Cordova,cog_2025_100228,100228,2473,Cordova municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Cordova"" AK municipal labor agreements police fire general employees","""Cordova"" AK human resources pay plan wage salary schedule civil service","""Cordova"" AK labor arbitration award factfinding report","""Cordova"" AK salary ordinance compensation classification study budget pay plan","""Cordova"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0002,AK,West,Dillingham,cog_2025_183690,183690,2126,Dillingham municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Dillingham"" AK municipal labor agreements police fire general employees","""Dillingham"" AK human resources pay plan wage salary schedule civil service","""Dillingham"" AK labor arbitration award factfinding report","""Dillingham"" AK salary ordinance compensation classification study budget pay plan","""Dillingham"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0003,AK,West,Houston,cog_2025_160774,160774,2146,Houston municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Houston"" AK municipal labor agreements police fire general employees","""Houston"" AK human resources pay plan wage salary schedule civil service","""Houston"" AK labor arbitration award factfinding report","""Houston"" AK salary ordinance compensation classification study budget pay plan","""Houston"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0004,AK,West,Kotzebue,cog_2025_160769,160769,2979,Kotzebue municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Kotzebue"" AK municipal labor agreements police fire general employees","""Kotzebue"" AK human resources pay plan wage salary schedule civil service","""Kotzebue"" AK labor arbitration award factfinding report","""Kotzebue"" AK salary ordinance compensation classification study budget pay plan","""Kotzebue"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0005,AK,West,Nome,cog_2025_122719,122719,3639,Nome municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Nome"" AK municipal labor agreements police fire general employees","""Nome"" AK human resources pay plan wage salary schedule civil service","""Nome"" AK labor arbitration award factfinding report","""Nome"" AK salary ordinance compensation classification study budget pay plan","""Nome"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0006,AK,West,North Pole,cog_2025_122711,122711,2427,North Pole municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""North Pole"" AK municipal labor agreements police fire general employees","""North Pole"" AK human resources pay plan wage salary schedule civil service","""North Pole"" AK labor arbitration award factfinding report","""North Pole"" AK salary ordinance compensation classification study budget pay plan","""North Pole"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0007,AK,West,Seward,cog_2025_189580,189580,2735,Seward municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Seward"" AK municipal labor agreements police fire general employees","""Seward"" AK human resources pay plan wage salary schedule civil service","""Seward"" AK labor arbitration award factfinding report","""Seward"" AK salary ordinance compensation classification study budget pay plan","""Seward"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0008,AK,West,Unalaska,cog_2025_183689,183689,4214,Unalaska municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Unalaska"" AK municipal labor agreements police fire general employees","""Unalaska"" AK human resources pay plan wage salary schedule civil service","""Unalaska"" AK labor arbitration award factfinding report","""Unalaska"" AK salary ordinance compensation classification study budget pay plan","""Unalaska"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0009,AK,West,Valdez,cog_2025_122726,122726,3805,Valdez municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Valdez"" AK municipal labor agreements police fire general employees","""Valdez"" AK human resources pay plan wage salary schedule civil service","""Valdez"" AK labor arbitration award factfinding report","""Valdez"" AK salary ordinance compensation classification study budget pay plan","""Valdez"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0010,AK,West,Wrangell,cog_2025_239781,239781,2064,Wrangell municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Wrangell"" AK municipal labor agreements police fire general employees","""Wrangell"" AK human resources pay plan wage salary schedule civil service","""Wrangell"" AK labor arbitration award factfinding report","""Wrangell"" AK salary ordinance compensation classification study budget pay plan","""Wrangell"" AK memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
