scout_target_id,state,region,municipality,municipality_id,scout_outcome,candidate_row_count,failure_type
BSSS-20260727-0001,AK,West,Cordova,cog_2025_100228,candidate_positive,2,
BSSS-20260727-0002,AK,West,Dillingham,cog_2025_183690,candidate_positive,5,
BSSS-20260727-0003,AK,West,Houston,cog_2025_160774,candidate_positive,2,
BSSS-20260727-0004,AK,West,Kotzebue,cog_2025_160769,candidate_positive,5,
BSSS-20260727-0005,AK,West,Nome,cog_2025_122719,candidate_positive,2,
BSSS-20260727-0006,AK,West,North Pole,cog_2025_122711,candidate_positive,1,
BSSS-20260727-0007,AK,West,Seward,cog_2025_189580,candidate_positive,3,
BSSS-20260727-0008,AK,West,Unalaska,cog_2025_183689,candidate_positive,5,
BSSS-20260727-0009,AK,West,Valdez,cog_2025_122726,candidate_positive,1,
BSSS-20260727-0010,AK,West,Wrangell,cog_2025_239781,candidate_positive,3,
BSSS-20260727-0011,AL,South,Alabaster,cog_2025_160707,candidate_positive,1,
BSSS-20260727-0012,AL,South,Athens,cog_2025_207518,candidate_positive,3,
BSSS-20260727-0013,AL,South,Bessemer,cog_2025_160637,candidate_positive,2,
BSSS-20260727-0014,AL,South,Daphne,cog_2025_160546,candidate_positive,4,
BSSS-20260727-0015,AL,South,Fairhope,cog_2025_160548,candidate_positive,2,
BSSS-20260727-0016,AL,South,Gadsden,cog_2025_183677,candidate_positive,3,
BSSS-20260727-0017,AL,South,Homewood,cog_2025_122554,candidate_positive,1,
BSSS-20260727-0018,AL,South,Northport,cog_2025_193062,candidate_positive,1,
BSSS-20260727-0019,AL,South,Opelika,cog_2025_160663,candidate_positive,2,
BSSS-20260727-0020,AL,South,Pelham,cog_2025_183682,candidate_positive,4,
BSSS-20260727-0021,AR,South,Bella Vista,cog_2025_220399,candidate_positive,3,
BSSS-20260727-0022,AR,South,Bryant,cog_2025_161059,candidate_positive,1,
BSSS-20260727-0023,AR,South,Centerton,cog_2025_160895,candidate_positive,2,
BSSS-20260727-0024,AR,South,El Dorado,cog_2025_194955,candidate_positive,3,
BSSS-20260727-0025,AR,South,Jacksonville,cog_2025_194954,candidate_positive,3,
BSSS-20260727-0026,AR,South,Maumelle,cog_2025_161050,candidate_positive,4,
BSSS-20260727-0027,AR,South,Searcy,cog_2025_161086,candidate_positive,2,
BSSS-20260727-0028,AR,South,Siloam Springs,cog_2025_160897,candidate_positive,5,
BSSS-20260727-0029,AR,South,Van Buren,cog_2025_122864,candidate_positive,3,
BSSS-20260727-0030,AR,South,West Memphis,cog_2025_183727,candidate_positive,3,
BSSS-20260727-0031,AZ,West,Apache Junction,cog_2025_160845,candidate_positive,8,
BSSS-20260727-0032,AZ,West,Bullhead City,cog_2025_160836,candidate_positive,1,
BSSS-20260727-0033,AZ,West,El Mirage,cog_2025_122747,candidate_positive,2,
BSSS-20260727-0034,AZ,West,Kingman,cog_2025_100252,candidate_positive,2,
BSSS-20260727-0035,AZ,West,Oro Valley,cog_2025_183703,candidate_positive,4,
