run_id,row_index,row_identity_key,municipality_id,municipality,state,worker_id,census_gov_id,prompt_started_at,prompt_finished_at,elapsed_seconds,sleep_before_seconds,sleep_after_seconds,planned_sleep_before_seconds,planned_sleep_after_seconds,pacing_mode,adaptive_sleep_level_seconds,adaptive_sleep_event,backend,model,live_attempted,success_status,parse_status,failure_type,response_id_present,input_tokens,output_tokens,reasoning_tokens,total_tokens
all_2026-07-27_132715,1,municipality_id:cog_2025_100228,cog_2025_100228,Cordova,AK,,100228,2026-07-27T13:27:15.888401-04:00,2026-07-27T13:27:35.944834-04:00,20.055,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,23012,1709,800,24721
all_2026-07-27_132715,2,municipality_id:cog_2025_183690,cog_2025_183690,Dillingham,AK,,183690,2026-07-27T13:27:35.945035-04:00,2026-07-27T13:28:27.850390-04:00,51.905,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,46097,3844,1885,49941
all_2026-07-27_132715,3,municipality_id:cog_2025_160774,cog_2025_160774,Houston,AK,,160774,2026-07-27T13:28:27.850507-04:00,2026-07-27T13:29:14.997775-04:00,47.146,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,40295,2155,1429,42450
all_2026-07-27_132715,4,municipality_id:cog_2025_160769,cog_2025_160769,Kotzebue,AK,,160769,2026-07-27T13:29:14.998027-04:00,2026-07-27T13:29:41.745474-04:00,26.747,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,18220,2867,973,21087
all_2026-07-27_132715,5,municipality_id:cog_2025_122719,cog_2025_122719,Nome,AK,,122719,2026-07-27T13:29:41.745713-04:00,2026-07-27T13:30:02.847395-04:00,21.101,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,26427,1925,944,28352
all_2026-07-27_132715,6,municipality_id:cog_2025_122711,cog_2025_122711,North Pole,AK,,122711,2026-07-27T13:30:02.848096-04:00,2026-07-27T13:30:20.761328-04:00,17.913,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,24225,966,545,25191
all_2026-07-27_132715,7,municipality_id:cog_2025_189580,cog_2025_189580,Seward,AK,,189580,2026-07-27T13:30:20.761548-04:00,2026-07-27T13:31:27.940201-04:00,67.177,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,36381,3019,1853,39400
all_2026-07-27_132715,8,municipality_id:cog_2025_183689,cog_2025_183689,Unalaska,AK,,183689,2026-07-27T13:31:27.940570-04:00,2026-07-27T13:32:11.946149-04:00,44.005,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,34466,3283,1407,37749
all_2026-07-27_132715,9,municipality_id:cog_2025_122726,cog_2025_122726,Valdez,AK,,122726,2026-07-27T13:32:11.946451-04:00,2026-07-27T13:32:51.887307-04:00,39.94,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,39852,1732,1338,41584
all_2026-07-27_132715,10,municipality_id:cog_2025_239781,cog_2025_239781,Wrangell,AK,,239781,2026-07-27T13:32:51.887601-04:00,2026-07-27T13:33:30.623364-04:00,38.735,0.0,0.0,0.0,0.0,fixed,,fixed,direct-sdk,gpt-5.4-nano,yes,completed_parseable,parseable,,yes,26545,2068,938,28613
