state,region,locked_target_count,parseable_new_municipality_count,candidate_positive_new_municipality_count,no_candidate_new_municipality_count,failed_or_stopped_target_count,candidate_row_count
AK,West,10,10,10,0,0,29
AL,South,10,10,10,0,0,23
AR,South,10,10,10,0,0,29
AZ,West,10,10,9,1,0,30
CA,West,10,10,10,0,0,33
CO,West,10,10,9,1,0,24
CT,Northeast,10,10,10,0,0,36
DC,South,0,0,0,0,0,0
DE,South,10,9,6,3,1,15
FL,South,10,9,9,0,1,24
GA,South,10,10,10,0,0,27
HI,West,0,0,0,0,0,0
IA,Midwest,10,10,10,0,0,27
ID,West,10,10,10,0,0,27
IL,Midwest,10,10,8,2,0,32
IN,Midwest,10,10,3,7,0,10
KS,Midwest,11,11,6,5,0,18
KY,South,10,10,10,0,0,29
LA,South,10,10,9,1,0,23
MA,Northeast,10,10,10,0,0,40
MD,South,10,10,9,1,0,28
ME,Northeast,10,9,9,0,1,33
MI,Midwest,10,10,10,0,0,42
MN,Midwest,10,10,9,1,0,22
MO,Midwest,10,10,8,2,0,22
MS,South,10,10,8,2,0,17
MT,West,10,10,9,1,0,25
NC,South,10,10,8,2,0,22
ND,Midwest,11,11,7,4,0,16
NE,Midwest,10,10,10,0,0,23
NH,Northeast,10,10,10,0,0,49
NJ,Northeast,10,10,10,0,0,32
NM,West,10,10,8,2,0,20
NV,West,7,7,7,0,0,22
NY,Northeast,10,9,9,0,1,22
OH,Midwest,10,10,10,0,0,33
OK,South,10,10,10,0,0,26
OR,West,10,10,8,2,0,20
PA,Northeast,10,10,10,0,0,29
RI,Northeast,10,10,10,0,0,35
SC,South,10,10,8,2,0,27
SD,Midwest,11,11,9,2,0,20
TN,South,10,10,9,1,0,19
TX,South,10,10,8,2,0,20
UT,West,10,10,10,0,0,24
VA,South,10,10,10,0,0,27
VT,Northeast,10,10,9,1,0,36
WA,West,10,10,10,0,0,33
WI,Midwest,10,10,10,0,0,39
WV,South,10,10,10,0,0,21
WY,West,10,10,8,2,0,21
