scout_target_id,state,region,municipality,municipality_id,search_query_family,matched_non_safety_opportunity_flag,selection_reason
BSSS-20260727-0001,AK,West,Cordova,cog_2025_100228,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0002,AK,West,Dillingham,cog_2025_183690,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0003,AK,West,Houston,cog_2025_160774,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0004,AK,West,Kotzebue,cog_2025_160769,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0005,AK,West,Nome,cog_2025_122719,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0006,AK,West,North Pole,cog_2025_122711,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0007,AK,West,Seward,cog_2025_189580,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0008,AK,West,Unalaska,cog_2025_183689,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0009,AK,West,Valdez,cog_2025_122726,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0010,AK,West,Wrangell,cog_2025_239781,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0011,AL,South,Alabaster,cog_2025_160707,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0012,AL,South,Athens,cog_2025_207518,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0013,AL,South,Bessemer,cog_2025_160637,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0014,AL,South,Daphne,cog_2025_160546,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0015,AL,South,Fairhope,cog_2025_160548,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0016,AL,South,Gadsden,cog_2025_183677,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0017,AL,South,Homewood,cog_2025_122554,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0018,AL,South,Northport,cog_2025_193062,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0019,AL,South,Opelika,cog_2025_160663,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0020,AL,South,Pelham,cog_2025_183682,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0021,AR,South,Bella Vista,cog_2025_220399,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0022,AR,South,Bryant,cog_2025_161059,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
BSSS-20260727-0023,AR,South,Centerton,cog_2025_160895,broad_multi_source_family,false,new_municipality_coverage; geographic_gap_fill; source_family_diversification
