municipality_cycle_id,municipality,state,cycle_label,normalized_record_count,explicit_safety_record_count,explicit_non_safety_record_count,comparison_readiness_status,blockers
B4X2500RESCUEGROUP-bb0a7687a29f22b8cd468dde,Akron,NY,2018-2019,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-909014213f388f8760df3088,Akron,NY,2019,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-a06c7ec9f25b130b03ce8915,Albion,IN,2024,5,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f61c4d17be542d02d024e0f4,Alburtis,PA,2018-2021,13,1,1,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-b08772f8c7eeb41420050320,Aledo,IL,2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0bb9e1d242d91954ac56c7d6,Alna,ME,2022,5,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-19edc2496b2e0f41b27be037,Alna,ME,2022-2023,2,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ac626ab7cbd0fb633423cca8,Alpena,MI,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-d09efbc5893de1dd7243bd19,Alpena,MI,2022-2023,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ff52aff64a2892264226c438,Altamont,KS,2024,6,0,2,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-646e82a07c415cb8b297993e,Altamont,NY,2022,3,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-90d068ce78e85a038f1687c8,Andover,CT,2015,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7b766d6f93f9c08370badc09,Andover,CT,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-b12e787b2ce5a20b5eb0f7cf,Antlers,OK,2018,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-18bb5cf169bb05feebc97d6a,Antwerp,OH,2018,6,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-1145f8c539699d4cda001ddf,Arcadia,NE,2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-458ef92a9a64feace2f3992a,Archer Lodge,NC,2018,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ec25f9d4370af239b6544d8f,Ardsley,NY,2017,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-c9b2168bb5d75a59ec5c2ea8,Ardsley,NY,2018,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-2a1af67f14a0bad12609459f,Ardsley,NY,2019-2021,5,2,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-2fcc39b6f4a0748ab073cf1e,Arnegard,ND,2015,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-fab8130a80c98f33b26ad4f8,Ashland,AL,2017,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-d958657f846a1f1b4b181050,Ashtabula,OH,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f8e4d228350a5af8e81d1f42,Ashville,AL,2023,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7b4c1bd0e4da4f4a6b0bc2fb,Atlas,MI,2021,7,0,3,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-dc9580577a527b1de87893a6,Auburn,OH,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-51542804be80932188e71861,Auburndale,WI,2023,2,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-d379e348f98e421b3d65cf2b,Augusta charter,MI,2015,7,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-edb8779f6b54dfa7854e810f,Augusta charter,MI,2021,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-c9b0b5a7faafff29ce38e510,Augusta charter,MI,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-c15312cd5bf229f91322a55a,Augusta charter,MI,2023,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-2378788d7f938a1deb68c65c,Avoca,IA,2020,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-91b1a2fccc8b40ff65635713,Avon-by-the-Sea,NJ,2021,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-e126db3bc0baa901b3097187,Bad Axe,MI,2023,1,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-a1f63092ca28200d3248b17a,Bagley,MN,2023,12,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f8c8d34a2b1871eaa864f2ca,Bainbridge,OH,2016,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7405c1f09eaf8a4e2dc81f8a,Bainbridge,OH,2017,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-4ac5dd70b061c4278c3f5283,Bainbridge,OH,2023,2,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-6714b23113d54a38710d6463,Bainbridge,OH,2024,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-dab4f5dd800f77b461818d81,Balaton,MN,2024,2,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0ffa67c834ea19e5fcc3a318,Balcones Heights,TX,2022,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-19e9de66c1ebf87e560a27a2,Ballston,NY,2024,12,0,3,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f3d01f96945e2cad07918c76,Banner Elk,NC,2019,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-5d441ae98e18c0488f4dabcd,Barrington Hills,IL,2015-2017,9,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-47abf40068b55435a96c43bc,Barrington Hills,IL,2021,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-cbaeec4d10442588aad6648f,Bass Lake,WI,2024,3,0,2,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-e881f4745cfb6d673fc9047e,Bath,OH,2016,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-43411849495aa2361c9bdbec,Bath,OH,2021,20,3,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-8dddefb1767acd2c5ef4624e,Bath,OH,2023,9,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f11543245a488836e274d8c5,Battle Lake,MN,2023,12,3,1,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-f1ce82b7309eb19b093c0dd3,Beaver,OH,2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-02463df1a7baa35e49c19f83,Beaver,OH,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-71c1204c54d0613678dffcac,Beaver,OH,2023,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-bf87eed4d30257d8e6b1f0ed,Beaver Cove,ME,2023-2024,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-37f754409a5aa75b8b77a1b7,Becker,MN,2018,4,0,2,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-24b3533be29910a416417708,Bedminster,NJ,2019,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0849bfd3ef02c37c51c85ea8,Bedminster,NJ,2020,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-9ef1c481ceb406829a4e2c0c,Beech Mountain,NC,2023,7,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-cca9ca27521f5838d6fa64fc,Beech Mountain,NC,2023-2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-8ea53c555443124691a884a7,Belle Meade,TN,2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
