rescue_id,normalized_record_id,municipality,state,reason
B4X2500RESCUE-dbe4996bdcbfd2bf59552590,B4X2500NORM-000e5cfcfa1978852dc29ce4,Cortlandt,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-6a417fc50c301a3c8eebc115,B4X2500NORM-001c26205b0939bf098b6fdb,Mazeppa,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-82556723b51d71bea2c55a44,B4X2500NORM-001d084dac37d629026d4b1a,York charter,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d7b977c9b519d0c7e6c96737,B4X2500NORM-002c80d7a9324aa7fdc64865,White Lake,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-ba3a45185d87470f2c5cd10f,B4X2500NORM-002e2cdb0f9a06eeaa1a2c48,Crosby,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-99cd64b7629286140964e10f,B4X2500NORM-0035d1a9727156cb57a84fca,Kure Beach,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-f34f5c41e1c68cbd322c0948,B4X2500NORM-004e19db8fcef29e54fb8dfb,Roxbury,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-0b46463ea48742fc60d19676,B4X2500NORM-00659f60444ce5902daf8c5f,Delta charter,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-743563fe334c0e024239053d,B4X2500NORM-00745a2672fd3659717381c3,Ocean Ridge,FL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-6b5ee37e31343c31970a90ab,B4X2500NORM-0074ef68d79dd74920185c67,Chesterville,ME,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-0213d39e18df79ff3138456d,B4X2500NORM-008dc8397de99bb8ccb7fdaa,Doniphan,MO,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d9c8b41ae32acb2ea74c9deb,B4X2500NORM-009427a24b6026db8b3ee548,Ithaca,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-1f2c44e3905b55bf46f236ce,B4X2500NORM-00acc4f9cdf9e3f0a3c8acd9,Northfield,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-486e579e8b040ae20c6525a4,B4X2500NORM-00acdafa6783eb823cfcc5c6,Chester,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-f5abd9f673c8dce1554844de,B4X2500NORM-00af1a96ddcd4b8590d7f2e1,Wilmington,IL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-b78e595a702cee4e5baf950c,B4X2500NORM-00b047710960226ee18764d5,Stewartstown,PA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-adda2c0c1494169ad7b75ba4,B4X2500NORM-00b434209fbddf7aa81ad4a2,Madison,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-f483024ad96a7b024237f3a3,B4X2500NORM-00cf2e140c7478466b364f3d,Wallkill,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-aad2bc66886b799e5d40c2c3,B4X2500NORM-00dc67d309c60893588af447,Dandridge,TN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-e67362fe071ac3fa0a94941c,B4X2500NORM-00e2744b2a36d6fba2f98c02,Carmel-by-the-Sea,CA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-b35ef31c2e30af1b266f0ac9,B4X2500NORM-012e786d3d176d1006b146ee,Shelby,WI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-e5ae644b74cb83acb2fd5f70,B4X2500NORM-0136355d63c22f52e09c332c,Madelia,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d1ca0477446c44ebe3fd1321,B4X2500NORM-0140cf46e0d14d937d951551,Geneseo,IL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-afd6472b72282aa4647a81c8,B4X2500NORM-015042c60d2771e8c4dc302d,Gayville,SD,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-56de04d95580fd25e4635114,B4X2500NORM-01592f642df999a52a7bdbdc,Harrington Park,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-a3b2612cd580c7bb3970a710,B4X2500NORM-0170a6091c163a22d44f2c40,Goshen,KY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-c2baa2e94df531704a27a799,B4X2500NORM-01893b88111f96042a73d025,Wabasha,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-e0991c88137238404c049031,B4X2500NORM-01a2d908daedff9c979c79ff,Pownal,ME,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-3d97a5cd01e4ece3a59e0b0e,B4X2500NORM-01dd9ead02639ba613fa6dfd,Evans,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-b79ca506c66cf22aceb2b5cf,B4X2500NORM-01e0a1add4c25ef135ef6f2c,Village of Grosse Pointe Shores,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-4d4d55e975b2d34446209a7e,B4X2500NORM-01e24d82a25ddf0aa02f92cd,Woodfin,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-be9b32b1533f4d09bcc0436b,B4X2500NORM-01fcecdc7d114844ce9ac636,Pennsville,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-af26a94afa2f7bed150e8f8d,B4X2500NORM-021a4355c5f19a310ec6a5eb,Butler,WI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-16ed3cb717ef05cb5fbc81fe,B4X2500NORM-021dfda1b10420a60e02b171,North Topsail Beach,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-679bbb6bd06d01dec4cbbd0b,B4X2500NORM-021e12aed81c0607c8da1d26,Kenesaw,NE,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-9907ef6f9f4da48041fb3a90,B4X2500NORM-02248631cf45302e0f6a705f,Groton,MA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-aafe1be8c3d953c912b7ea93,B4X2500NORM-024429c5292f9069986200ea,Perham,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d7ea26b5c117f932684d0d7a,B4X2500NORM-024d24341d0bdb4fe937fa8e,Corinth,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-8935a578ee53c4444d880f71,B4X2500NORM-0255830e4fd389b4fe44cda9,Cohasset,MA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d6864719a851db0542e21864,B4X2500NORM-025d9ced3359e6611dfea4ff,Mendham,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-e26febe9dfa3152ee9a81ce1,B4X2500NORM-0275e34b6a16638ac5b3d396,Doyline,LA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-4b77b186d95a0e6fa1c8eae9,B4X2500NORM-0278508a3489fbc74c85459c,Vershire,VT,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-2f25ae64201ea49887f99f12,B4X2500NORM-028b4f5a5a083030251085fc,River Bend,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-1f17c0e132e325288a313687,B4X2500NORM-029f880d9e594afec259d611,Malcolm,NE,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-7e4d539cd68b959a145501ac,B4X2500NORM-02b80dd447f4966de989e73a,Bainbridge,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-70477237d2ea834144aaf7df,B4X2500NORM-02c01c5822a42674fea9a248,Washington,KS,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-4d0187890970a640788e89b8,B4X2500NORM-02c096ad1260eb7b8b44b443,Peapack and Gladstone,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-37252c781013b272291a0831,B4X2500NORM-02ca506a043f61ac107ae1b8,Sparta,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-973ffb547fc3bb2a3dc4f027,B4X2500NORM-02cc0d1bc65e003608c6521e,Scioto,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-3d4b2c6c1a1feb9f83a7c4d1,B4X2500NORM-02d26dedaabde325a95e73f0,Village of Grosse Pointe Shores,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-5adc638329207cbe5193059e,B4X2500NORM-02e21a7bee31810924539921,Sewall's Point,FL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-1bbf0181b7929e0abc3c8638,B4X2500NORM-02e74c3dea6fdfb1450862e5,Washington,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-6cad82884c855302324d5bde,B4X2500NORM-02eb757408f60db821ac8bab,Rowe,MA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-242638c0be4e84ccc93879d4,B4X2500NORM-02f2970292c8e0c5ee7a7f43,Reed City,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-87cca24d03930fa6f4514153,B4X2500NORM-02f4c91649759a7ee11451e0,Minoa,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-c985d623ffc5d856781582ee,B4X2500NORM-02f89f1184d9805ca21c7669,Kensington,NH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-01979cdd7d2818a07c68ef5d,B4X2500NORM-030c4b26e11bee6c749e62aa,Fairfield,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-80f1f6567322cd95b5bd402e,B4X2500NORM-030d74343618f5c9b3e053a0,Altamont,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-df27f9268a34e0e54c82eb12,B4X2500NORM-0318499226529a420256b91a,Tewksbury,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d073e2906e5f41eba64d676d,B4X2500NORM-032cc65c189d678b14a59ab6,Shelby,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-cc5a00e127fffe7a08fa9806,B4X2500NORM-036a450ff77d43406d3714b3,North Hero,VT,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d70901a69a0d294cfe826263,B4X2500NORM-03713589db6ebc6991b73115,Howland,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-b97b410bd06d29845482cc01,B4X2500NORM-0375dd172d71cd99383e66f4,Giltner,NE,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-f2050559c1e702c55dabfe10,B4X2500NORM-0388c0ef9f835c3b5b5cc94d,Alburtis,PA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-516054f65f377fdc41e70882,B4X2500NORM-03a569781139e68b0efc0c13,Freeport,TX,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-474521a617aef8751ad0c19b,B4X2500NORM-03c7ec84faac91086a530a22,Brule,NE,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-5398e240b587eb407c3e32a8,B4X2500NORM-03dc838e9f6ab79522fc5e41,Escalon,CA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-6dff85e22de71df37e770fde,B4X2500NORM-03de5b8dfba2fc9431485bd7,Larchmont,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-c327452158be717372691965,B4X2500NORM-03e0a900194b189c220ed38d,Geneseo,IL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-664a878c21e026c918feff16,B4X2500NORM-03e5318ce34499938d073c79,Avoca,IA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-61e1f3c5fd4b03cb4a14df13,B4X2500NORM-03e717b56fd194d23bace295,Wentworth,SD,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-9d0533cc867e9c03e57bd4a7,B4X2500NORM-03e8f1d959ba93419ea508b9,Shawangunk,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-5d665070227a310b88d018d2,B4X2500NORM-03f22c784ecdfb3a35aa3162,Condon,OR,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-5be797fbd84dcbb67738db65,B4X2500NORM-03f871b0c07d053c634b4003,West Dundee,IL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-7894d1194f25743713598c5d,B4X2500NORM-041cb0893f656dd4e58e2b72,Solvang,CA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-8577cc9cdeaaa55fedd2a263,B4X2500NORM-0455e6ee09d6f94c82b527af,St. Ansgar,IA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-23c65fe0feb224c7fe3a4798,B4X2500NORM-045601cd2226ca21d78d22fd,Paynesville,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-9719ee0ae043fbbb6f05c6b8,B4X2500NORM-046375631d7abdee2ddedcb8,Big Bear Lake,CA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-5cd0c09c4ee13f53413e80ae,B4X2500NORM-046e894c50d0470b078d3338,Lake Worth,TX,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-556ad86f6895fa93aeb89e63,B4X2500NORM-0473c61d714d710effbef2bf,Wadesboro,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-dd7d9702ea0da5c0098fc90b,B4X2500NORM-049e39860be09863347c4f2d,Oregon,IL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-ecb0f7443d554de9e160e7da,B4X2500NORM-049f2dc433737272cdf6fc9d,Mendon,MA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-f02d3aa31e01a53cf05cec1c,B4X2500NORM-04aafa2a6d3a4cd6a7ff6df7,Kingwood,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-675c379fbe1e123bf2137b36,B4X2500NORM-04b06588c8545e28b4c14a6c,Beaver,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-0359c5c46b1b7716d02f000a,B4X2500NORM-04b2dbbac97bd84aac55a558,DeWitt charter,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d8bcfbecb047da73d77c22ae,B4X2500NORM-04c963977a7f80c0fe6bf17b,Niskayuna,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-a400f44caaef4d9ee2e5ae62,B4X2500NORM-04cbcde1d5a932ebbfa24c50,Garfield,WA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-45b9453864142fa92ca1061e,B4X2500NORM-04d5221323d7e02bd562dc24,Ballston,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-7c0cd194fe4856bab2cb1b43,B4X2500NORM-04e52c8cd256ea3d409b34c6,Corinth,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-bfbe8a0f6f7699cfbcbe6fb3,B4X2500NORM-04e633c8a905a99def0045da,Maple Shade,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d66e58146bd19a288b370282,B4X2500NORM-04e6a2bde49add1cc108a275,New Strawn,KS,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-deaea7f3cc88c08330a40c94,B4X2500NORM-04f4c8a92be781b340ddda0f,Sherburn,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d243992f39e5a7f329958576,B4X2500NORM-0504632755ca48fee1dac075,Ossining,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-feccb3af55c05450339fef81,B4X2500NORM-0527d236a2ea61be8b8e8c40,Shelburne,MA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-1c55dc18eec9b57d946daa6d,B4X2500NORM-05669dd4a91e250f6cbe50f2,Ferguson,PA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-3e7fe9312ad8b1d4d2479e4b,B4X2500NORM-0584f1c90e0869c04cc0db2c,Malta,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-bfc4678cc2784faa159bba71,B4X2500NORM-059f4f9692c1751684248b08,Millersburg,PA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-f17d47919d19d890d152e1a0,B4X2500NORM-05a8ac66083272c3a1ed62d6,Malta,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
