future_gap_candidate_id,matched_cycle_id,municipality,state,cycle_period,status,statement,prohibited_claim_warning
B4X2500FUTUREGAP-fdd4cf777f6ac7ad61574b33,B4X2500RESCUEMATCH-a50a51f3cfb98e6e33ec0216,Bernards,NJ,2023,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-1820b9e3cdd2669783a54a72,B4X2500RESCUEMATCH-4167fc55dd05aecc67abf5f8,Bethalto,IL,2021,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-318d621dc7c7b57267654561,B4X2500RESCUEMATCH-a673f0bbf5ce7f605bc18ed8,Bladenboro,NC,2022-2023,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-7fc9abac3b5e3dde281ef994,B4X2500RESCUEMATCH-1c622eeef95ad2e965f9fd1a,Braham,MN,2024,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-55f276fed472c99e1f67fa5f,B4X2500RESCUEMATCH-4c6a439de1dfd20ada14cbca,Bristol,IN,2024,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-79d0a4c11e992ad687669273,B4X2500RESCUEMATCH-7adf488cbedeb8a093b1ea34,Churubusco,IN,2023,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-0fa7e29e30bff390e5ab2761,B4X2500RESCUEMATCH-cf54c0a6b70cead4b0691be4,Cohasset,MA,2022,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-a502e65f5cecd3788203cb99,B4X2500RESCUEMATCH-b8fd2d9e28776514b9c514a3,Greenwich,NJ,2024,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-02f370d9d3995844dcc4e9c5,B4X2500RESCUEMATCH-b65eba923e291aa2fe3687d2,Mamaroneck,NY,2023,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-aff1ab3c1d26e89179345520,B4X2500RESCUEMATCH-16876c521ca9c6de5678e2d7,Middlesex,NC,2019-2020,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-0045549480f8266f0267646d,B4X2500RESCUEMATCH-3b7992238c6023178d93ddf5,Perry,NY,2023-2024,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-3eae2a6f4f8c5f5e2fead61d,B4X2500RESCUEMATCH-9405f17f32b61482aebfb55c,Poland,OH,2023,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-fa71c909b78719845f229e4b,B4X2500RESCUEMATCH-54f8efa34c0f272cd1a0a8c9,Shelby,MI,2017,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-8b4177ee3ce3c3ba787309e3,B4X2500RESCUEMATCH-2031ed05b1f556fc6b02a7cd,Southampton,NY,2022,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
B4X2500FUTUREGAP-553cdd3d2f6900b82ab81ab7,B4X2500RESCUEMATCH-cf650b8ee94ad6d40fbfc00a,West Bridgewater,MA,2023,future_gap_potential_only,"Both explicit safety and non-safety records are present, but current pay-basis, value, or mechanism fields do not support a bounded differential statement.",Do not phrase as a current wage differential.
