annualization_assumption,annualization_hours_used,base_or_non_base,candidate_id,cba_non_cba_hint,character_end_offset,character_start_offset,codified_record_id,comparable_wage_candidate_link,comparison_cycle_candidate,direction_bucket,effective_period_end,effective_period_start,evidence_category,extraction_id,fields_repaired,fields_still_missing,final_locator,gap_claim_blockers,gap_claim_readiness,grade,lane_position,line_offset,manual_review_reason,matched_cycle_link,mechanism_attributes,municipality,municipality_cycle_id_candidate,non_base_component_type,normalization_blocker_tags,normalization_notes,normalization_status,normalized_annual_equivalent,normalized_at,normalized_growth_type,normalized_hourly_equivalent,normalized_pay_basis,normalized_percentage_growth,normalized_record_id,normalized_value_confidence,occupation_or_classification,original_locator,original_normalization_status,page_number,paragraph_offset,parsed_annual_salary,parsed_biweekly_rate,parsed_cola_cpi_value,parsed_contract_year,parsed_currency_amount,parsed_cycle_label,parsed_daily_rate,parsed_effective_date,parsed_end_date,parsed_fiscal_year,parsed_hourly_rate,parsed_lump_sum,parsed_monthly_rate,parsed_percentage_value,parsed_premium_amount,parsed_premium_percentage,parsed_start_date,parsed_step_or_grade_value,parsed_stipend_or_allowance,parsed_weekly_rate,payband,primary_mechanism_cluster,prior_comparable_wage_candidate_link,priority_bucket,quant_span_types,rank,rating_id,raw_base_nonbase_text,raw_compensation_text,raw_context_notes,raw_effective_period_text,raw_paraphrase,raw_rank_step_grade_text,raw_span_text,raw_unit_or_group_text,raw_unit_text,raw_value_text,raw_values_preserved,readiness_id,region,repair_confidence,repair_evidence_basis,report_usability_bucket,rescue_basket,rescue_completed_at,rescue_id,rescue_lane,rescue_status,retained_source_id,safety_category,scout_target_id,section_heading,source_family,source_id,source_review_download_id,source_title,span_id,span_sha256,state,step,unit_or_group,verification_row_id
standard_2080_hours,2080,base,B4X2500LIVE-20260729-005378,cba_hint,53418,53397,B4X2500COD-20260730-369c14118b37eaac9a7fd38c,,undated-source-B4X2500LIVE-20260729-005378,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-7c0f3698beef1d159ce3,[],"[""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]",https://cms9files.revize.com/deltatwpmi/Document_Center/Township%20Board%20Agendas%20and%20Minutes/2022/November%2014%2C%202022%20Agenda%20Packet.pdf,"[""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]",not_ready,,153,1094,safety_category;occupation_or_unit;2014_2024_effective_cycle,B4X2500MC-1d413e87a4ac9a0a6609be18,"[""base_wage_direct_value""]",Delta charter,B4X2500MC-1d413e87a4ac9a0a6609be18,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,520000.0,2026-07-30T22:04:38Z,not_growth_value,250.0,hourly,,B4X2500NORM-00659f60444ce5902daf8c5f,moderate,unknown,https://cms9files.revize.com/deltatwpmi/Document_Center/Township%20Board%20Agendas%20and%20Minutes/2022/November%2014%2C%202022%20Agenda%20Packet.pdf,normalization_partial,,135,,,,,250.0,,,,,,250.0,,,,,,,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-9011e87ba9783570945a11e9,base,Fire Engine $250/hr.,Agreement Between CHARTER TOWNSHIP OF DELTA and LOCAL NO. 2846 (International Association of Fire Fighters) (Ratified; successor CBA attachment); APPARATUS FEES,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,Fire Engine $250/hr.,,hourly_rate,$250.00,True,B4X2500RDY-20260730-ef62fc80a1d510a77b5a,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:04:14.376304Z,B4X2500RESCUE-0b46463ea48742fc60d19676,rescue_lane_002,downgraded_unusable,B4X2500SRD-20260730-542d26a29e3ce7df0aad,unclear,B4X2500-20260729-05359,APPARATUS FEES,cba,B4X2500LIVE-20260729-005378,B4X2500SRD-20260730-542d26a29e3ce7df0aad,Agreement Between CHARTER TOWNSHIP OF DELTA and LOCAL NO. 2846 (International Association of Fire Fighters) (Ratified; successor CBA attachment),B4X2500SPAN-20260730-8bb3688e44d89c8380cd92e8,73be875e772ccf59d86d00a332b967f56ab8484bc5e1ce1c0301984407e79d66,MI,,unresolved_unit,B4X2500V-20260730-04878
not_applicable,,non_base,B4X2500LIVE-20260729-001116,non_cba_or_other_hint,118046,117942,B4X2500COD-20260730-c3203de469e0efab375b2f6d,B4X2500PAIR-51dcf96d9d605126279d25f7,undated-source-B4X2500LIVE-20260729-001116,not_applicable,,,non_base_compensation,B4X2500TXT-20260730-84a2e6857696b0731ed2,[],"[""comparable_wage_value"", ""pay_basis"", ""2014_2024_effective_cycle""]",https://townofchesterville.me/_files/ugd/f41968_077c6a57903e4ea0b702208522d5ec48.pdf,"[""comparable_wage_value"", ""pay_basis"", ""2014_2024_effective_cycle""]",not_ready,,1173,2465,comparable_wage_value;pay_basis;2014_2024_effective_cycle,B4X2500MC-b3fd72c7cbe7b37eab8403d3,"[""non_base_compensation_signal""]",Chesterville,B4X2500MC-b3fd72c7cbe7b37eab8403d3,stipend_or_allowance,"[""effective_period_or_cycle_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_partial,,2026-07-30T22:04:39Z,premium_or_differential,,stipend,,B4X2500NORM-0074ef68d79dd74920185c67,moderate,fire,https://www.townofchesterville.me/_files/ugd/f41968_077c6a57903e4ea0b702208522d5ec48.pdf,normalization_partial,,478,,,,,250.0,,,,,,,,,,10400.0,,,,250.0,,,non_base_compensation,B4X2500PAIR-51dcf96d9d605126279d25f7,high_priority_verification_ready,"[""stipend_or_allowance""]",,B4X2500-RATING-20260730-78ad64497774f932967c0269,non_base,"CEO 10,400 10,400 10,200 200 14,300 13,000 11,700 $250/week stipend $225/week stipend $200/wk = $10,400",Town of Chesterville (ME) Budget / Payroll & Taxes – Fire Department line items and suggested pay;,,The passage references a non-base compensation component for later review.,,"CEO 10,400 10,400 10,200 200 14,300 13,000 11,700 $250/week stipend $225/week stipend $200/wk = $10,400",fire,stipend_or_allowance,"$250.00; $225.00; $200.00; $10,400.00",True,B4X2500RDY-20260730-e0fb1909a23e366dd91b,Northeast,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T22:56:31.106720Z,B4X2500RESCUE-6b5ee37e31343c31970a90ab,rescue_lane_001,downgraded_unusable,B4X2500SRD-20260730-5907826dd158824aa3ce,fire,B4X2500-20260729-01086,,budget_or_pay_plan,B4X2500LIVE-20260729-001116,B4X2500SRD-20260730-5907826dd158824aa3ce,Town of Chesterville (ME) Budget / Payroll & Taxes – Fire Department line items and suggested pay,B4X2500SPAN-20260730-bbdcb4f16ad9fcea3449958c,7f49c65b02c0eb9bd7a4813ffb3698633fbeae94cff929463eaf24eac1918b36,ME,,fire,B4X2500V-20260730-01947
standard_2080_hours,2080,base,B4X2500LIVE-20260729-000600,non_cba_or_other_hint,8707,8683,B4X2500COD-20260730-a060cc167e2faf8898cb55d1,,2026,neutral_or_general,,2026-06-22,quantitative_compensation,B4X2500TXT-20260730-f94230f1353a56ba805c,[],"[""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]",https://doniphanmo.org/cmsAdmin/uploads/june-22-2026.pdf,"[""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]",not_ready,,672,159,safety_category;occupation_or_unit;2014_2024_effective_cycle,B4X2500MC-9a840642a3a858c1b6d6398a,"[""base_wage_direct_value""]",Doniphan,B4X2500MC-9a840642a3a858c1b6d6398a,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""annual_equivalent_uses_standard_2080_assumption"", ""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,15600.0,2026-07-30T22:04:39Z,not_growth_value,7.5,hourly,,B4X2500NORM-008dc8397de99bb8ccb7fdaa,moderate,unknown,https://www.doniphanmo.org/cmsAdmin/uploads/june-22-2026.pdf,normalization_partial,,27,,,,2026,7.5,2026,,2026-06-22,,,7.5,,,,,,2026-06-22,,,,,quantitative_base_wage_needs_normalization,,medium_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-0d8eda14a2392feb49399a2e,base,instead of the $7.50/hr.,"CITY OF DONIPHAN REGULAR COUNCIL MEETING — June 22nd, 2026;",2026-06-22,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,instead of the $7.50/hr.,,hourly_rate,$7.50,True,B4X2500RDY-20260730-99fbd08e833f47982558,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:04:19.695385Z,B4X2500RESCUE-0213d39e18df79ff3138456d,rescue_lane_002,downgraded_unusable,B4X2500SRD-20260730-e63ef6be7153d14f8741,unclear,B4X2500-20260729-00525,,agenda_packet_or_minutes,B4X2500LIVE-20260729-000600,B4X2500SRD-20260730-e63ef6be7153d14f8741,"CITY OF DONIPHAN REGULAR COUNCIL MEETING — June 22nd, 2026",B4X2500SPAN-20260730-635f2cad618b3533892e2225,e87b5d8101cab8dc7a9ca0b1b5c01d3562ab9280170cc6f19bf201f1887c4d3e,MO,,unresolved_unit,B4X2500V-20260730-03532
not_applicable,,non_base,B4X2500LIVE-20260729-008293,cba_hint,66861,66769,B4X2500COD-20260730-3b691617db7119e6e5cdffad,,undated-source-B4X2500LIVE-20260729-008293,neutral_or_general,,,non_base_compensation,B4X2500TXT-20260730-3202832e66a15e885b6c,[],"[""comparable_wage_value"", ""pay_basis"", ""2014_2024_effective_cycle""]",https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0016.pdf,"[""comparable_wage_value"", ""pay_basis"", ""2014_2024_effective_cycle""]",not_ready,,1131,1241,comparable_wage_value;pay_basis;2014_2024_effective_cycle,B4X2500MC-0ff118d2ef5c0f011ff6d4b0,"[""non_base_compensation_signal""]",Madison,B4X2500MC-0ff118d2ef5c0f011ff6d4b0,stipend_or_allowance,"[""effective_period_or_cycle_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_partial,,2026-07-30T22:04:39Z,premium_or_differential,,stipend,,B4X2500NORM-00b434209fbddf7aa81ad4a2,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0016.pdf,normalization_partial,,271,,,,,850.0,,,,,,,,,,850.0,,,,850.0,,,non_base_compensation,,high_priority_verification_ready,"[""stipend_or_allowance""]",,B4X2500-RATING-20260730-5c5b5723751444466dd026f9,non_base,allowance of $850.00 to be established at a local uniform supplier(s) to purchase the daily,Collective Bargaining Agreement — Madison Township Trustees and IAFF Local 2507; Section 22.2. All bargaining unit employees shall be granted an annual uniform credit,,The passage references a non-base compensation component for later review.,,allowance of $850.00 to be established at a local uniform supplier(s) to purchase the daily,fire,stipend_or_allowance,$850.00,True,B4X2500RDY-20260730-168cdaf52d338157a171,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:12:30.245014Z,B4X2500RESCUE-adda2c0c1494169ad7b75ba4,rescue_lane_003,downgraded_unusable,B4X2500SRD-20260730-474121d1427061739559,fire,B4X2500-20260729-08290,Section 22.2. All bargaining unit employees shall be granted an annual uniform credit,cba,B4X2500LIVE-20260729-008293,B4X2500SRD-20260730-474121d1427061739559,Collective Bargaining Agreement — Madison Township Trustees and IAFF Local 2507,B4X2500SPAN-20260730-40910d22b0b71595c08c605f,8fb2f76c096473a6f70462e6eb1c2865db8181460f8fd04bcf4b157fe84f427f,OH,,fire,B4X2500V-20260730-02532
not_applicable,,non_base,B4X2500LIVE-20260729-002327,non_cba_or_other_hint,17519,17426,B4X2500COD-20260730-9a989ffd200a0f2b86c538aa,,2024,non_safety_advantage,2026-06-30,2024-07-01,non_base_compensation,B4X2500TXT-20260730-7aa99512e9f6ecc60eca,[],"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit""]",https://ci.carmel.ca.us/sites/main/files/file-attachments/mou_fire_and_ambulance_effective_july_1_2024.pdf,"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit""]",not_ready,,90,351,comparable_wage_value;pay_basis;safety_category;occupation_or_unit,B4X2500MC-e6a1dd4f3fc06cecdda9d63c,"[""non_base_compensation_signal""]",Carmel-by-the-Sea,B4X2500MC-e6a1dd4f3fc06cecdda9d63c,stipend_or_allowance,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_partial,,2026-07-30T22:04:39Z,premium_or_differential,,stipend,,B4X2500NORM-00e2744b2a36d6fba2f98c02,moderate,unknown,https://ci.carmel.ca.us/sites/main/files/file-attachments/mou_fire_and_ambulance_effective_july_1_2024.pdf?1721688429=,normalization_partial,,89,,,,2024,50.0,2024,,2024-07-01,2026-06-30,,,,,,50.0,,2024-07-01,,50.0,,,non_base_compensation,,high_priority_verification_ready,"[""stipend_or_allowance""]",,B4X2500-RATING-20260730-ab36dbd2d842afb54f157a41,non_base,9.1 Regular Full Time Shift Employees shall be entitled to a uniform allowance of $50.00 per,"Memorandum of Understanding: Carmel Fire Ambulance Association (July 1, 2024 – June 30, 2026); ARTICLE 9: UNIFORM ALLOWANCE",2024-07-01; 2026-06-30,The passage references a non-base compensation component for later review.,,9.1 Regular Full Time Shift Employees shall be entitled to a uniform allowance of $50.00 per,,stipend_or_allowance,$50.00,True,B4X2500RDY-20260730-6bf829ca04605a04868d,West,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T22:56:14.156334Z,B4X2500RESCUE-e67362fe071ac3fa0a94941c,rescue_lane_001,downgraded_unusable,B4X2500SRD-20260730-51c85fe500910861a069,unclear,B4X2500-20260729-02353,ARTICLE 9: UNIFORM ALLOWANCE,mou_or_memorandum,B4X2500LIVE-20260729-002327,B4X2500SRD-20260730-51c85fe500910861a069,"Memorandum of Understanding: Carmel Fire Ambulance Association (July 1, 2024 – June 30, 2026)",B4X2500SPAN-20260730-b4f245ae76e916d44ec2db55,7653e95384617bed17edd427be96c4dee490e159aa0c93c5d201e8fbeeb1bc9b,CA,,unresolved_unit,B4X2500V-20260730-00040
not_applicable,,non_base,B4X2500LIVE-20260729-006247,non_cba_or_other_hint,2902,2794,B4X2500COD-20260730-c967fe4bdf6f7b3c89bbef82,,2018,neutral_or_general,,2018-01-01,non_base_compensation,B4X2500TXT-20260730-99c443a27cac87ff5caf,[],"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit""]",https://harringtonparknj.gov/government/ordinances/2018-3/24-728-2018-salary-ordinance/file,"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit""]",not_ready,,132,94,comparable_wage_value;pay_basis;safety_category;occupation_or_unit,B4X2500MC-cc5497645d1ffdfa9aa83a8c,"[""non_base_compensation_signal""]",Harrington Park,B4X2500MC-cc5497645d1ffdfa9aa83a8c,stipend_or_allowance,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_partial,,2026-07-30T22:04:38Z,premium_or_differential,,stipend,,B4X2500NORM-01592f642df999a52a7bdbdc,moderate,unknown,https://www.harringtonparknj.gov/government/ordinances/2018-3/24-728-2018-salary-ordinance?format=html,normalization_partial,,12,,,,2018,400.0,2018,,,,,,,,,400.0,,2018-01-01,,400.0,,,non_base_compensation,,high_priority_verification_ready,"[""stipend_or_allowance""]",,B4X2500-RATING-20260730-713876dc9b2be1a24fc1a2d9,non_base,All full time non contractual Borough hall employees are given prescription glass allowance of $400.00/Year,Ordinance 728 Salary Ordinance 2018;,2018,The passage references a non-base compensation component for later review.,,All full time non contractual Borough hall employees are given prescription glass allowance of $400.00/Year,,stipend_or_allowance,$400.00,True,B4X2500RDY-20260730-6feb946547efe38c72d6,Northeast,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:12:14.354868Z,B4X2500RESCUE-56de04d95580fd25e4635114,rescue_lane_003,downgraded_unusable,B4X2500SRD-20260730-d1c2f3520cd99cb0c66f,unclear,B4X2500-20260729-06205,,salary_ordinance,B4X2500LIVE-20260729-006247,B4X2500SRD-20260730-d1c2f3520cd99cb0c66f,Ordinance 728 Salary Ordinance 2018,B4X2500SPAN-20260730-e5cb43f794a53c82b2ddacc5,1226a35f18c15902e8d6b0e4dc9f2308451f93fc87b6c1bd2bce022fbf3baa8f,NJ,,unresolved_unit,B4X2500V-20260730-00909
standard_2080_hours,2080,base,B4X2500LIVE-20260729-009394,non_cba_or_other_hint,2520,2372,B4X2500COD-20260730-005d35104a35224203a8ef5b,,2023,neutral_or_general,,2023-01-01,quantitative_compensation,B4X2500TXT-20260730-b839ee37a5b18cd89824,[],"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit""]",https://cityofgoshen.com/uploads/1/1/9/6/119686881/may_2023_minutes.pdf,"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit""]",not_ready,,1074,59,comparable_wage_value;pay_basis;safety_category;occupation_or_unit,B4X2500MC-fb4acffdf891a5cf058d8f97,"[""base_wage_direct_value""]",Goshen,B4X2500MC-fb4acffdf891a5cf058d8f97,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,83200.0,2026-07-30T22:04:39Z,scheduled_raise,40.0,mixed,25.0,B4X2500NORM-0170a6091c163a22d44f2c40,moderate,unknown,https://www.cityofgoshen.com/uploads/1/1/9/6/119686881/may_2023_minutes.pdf,normalization_partial,,17,,,,2023,40.0,2023,,,,,40.0,,,25.0,,,2023-01-01,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-119e48f12110b1cee69382a0,base,"Thacker reported the hourly rate for sheriff deputies will increase by 25% on July 1 st. The current rate is $40 per hour, the new rate will be $50.",CITY OF GOSHEN COMMISSION MEETING MINUTES (May 2023);,2023,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Thacker reported the hourly rate for sheriff deputies will increase by 25% on July 1 st. The current rate is $40 per hour, the new rate will be $50.",,hourly_rate,$40.00; $50.00; 25%,True,B4X2500RDY-20260730-f65d4e0bc89aa9390197,South,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T22:56:28.224884Z,B4X2500RESCUE-a3b2612cd580c7bb3970a710,rescue_lane_001,downgraded_unusable,B4X2500SRD-20260730-a4f1b6b11951a672a233,unclear,B4X2500-20260729-09290,,wage_schedule,B4X2500LIVE-20260729-009394,B4X2500SRD-20260730-a4f1b6b11951a672a233,CITY OF GOSHEN COMMISSION MEETING MINUTES (May 2023),B4X2500SPAN-20260730-1cc4ced4e2312c15768e20e7,651bfe4372c3bd4f19e36b96146534e7f547235fb34521148929797a8f9651d8,KY,,unresolved_unit,B4X2500V-20260730-01819
not_applicable,,non_base,B4X2500LIVE-20260729-007962,non_cba_or_other_hint,13077,12985,B4X2500COD-20260730-268451430845ed14dddfec19,,2021,safety_advantage,,2021-06-30,non_base_compensation,B4X2500TXT-20260730-c5b2732d85736979804f,[],"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit""]",https://poam.net/signed-and-sealed/signed-sealed-2021,"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit""]",not_ready,,327,571,comparable_wage_value;pay_basis;safety_category;occupation_or_unit,B4X2500MC-914a9619fc9203ae1b393ba1,"[""rank_or_specialization_premium""]",Village of Grosse Pointe Shores,B4X2500MC-914a9619fc9203ae1b393ba1,hazard_or_specialty,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_partial,,2026-07-30T22:04:39Z,premium_or_differential,,premium,,B4X2500NORM-01e0a1add4c25ef135ef6f2c,moderate,unknown,https://www.poam.net/signed-and-sealed/signed-sealed-2021/,normalization_partial,,286,,,,2021,2500.0,2021,,2021-06-30,,,,,,,2500.0,,2021-06-30,,,,,non_base_compensation,,high_priority_verification_ready,"[""hazard_or_specialty_pay""]",,B4X2500-RATING-20260730-a0cc06c8bb401f3a4b48c09e,non_base,"On June 30, 2021, employees will receive $2,500 hazard pay from the federal COVID-19 funds.",Signed and Sealed 2021 (#37) — Grosse Pointe Shores Public Safety Officers Association;,2021-06-30,The passage references a non-base compensation component for later review.,,"On June 30, 2021, employees will receive $2,500 hazard pay from the federal COVID-19 funds.",,hazard_or_specialty_pay,"$2,500.00",True,B4X2500RDY-20260730-f8767f6c174781446375,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:04:15.395562Z,B4X2500RESCUE-b79ca506c66cf22aceb2b5cf,rescue_lane_002,downgraded_unusable,B4X2500SRD-20260730-9047215f3f4c5fc0f9d4,unclear,B4X2500-20260729-07912,,mou_or_memorandum,B4X2500LIVE-20260729-007962,B4X2500SRD-20260730-9047215f3f4c5fc0f9d4,Signed and Sealed 2021 (#37) — Grosse Pointe Shores Public Safety Officers Association,B4X2500SPAN-20260730-d7e6b2161aa8d810eb2c4e4d,c5a9fb4558ce7c1ec5c660a5893204b66dbdb44bf297f3035d2a47295f6c153e,MI,,unresolved_unit,B4X2500V-20260730-00572
standard_2080_hours,2080,base,B4X2500LIVE-20260729-003839,non_cba_or_other_hint,29174,29140,B4X2500COD-20260730-2db1a8e172bea0a56e505a40,,2025,not_applicable,,2025-01-01,quantitative_compensation,B4X2500TXT-20260730-c2b84655b7a14ef4b26c,[],"[""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]",https://pennsville.org/download/forms_library/ordinances/codification_ordinances/Chapter-22-Miscellaneous.pdf,"[""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]",not_ready,,297,565,safety_category;occupation_or_unit;2014_2024_effective_cycle,B4X2500MC-25c887a8fcb735668d527537,"[""base_wage_direct_value""]",Pennsville,B4X2500MC-25c887a8fcb735668d527537,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""annual_equivalent_uses_standard_2080_assumption"", ""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,51022.4,2026-07-30T22:04:39Z,not_growth_value,24.53,hourly,,B4X2500NORM-01fcecdc7d114844ce9ac636,moderate,unknown,https://www.pennsville.org/download/forms_library/ordinances/codification_ordinances/Chapter-22-Miscellaneous.pdf,normalization_partial,,130,,,,2025,24.53,2025,,,,,24.53,,,,,,2025-01-01,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-19c581a22e2120648af6eed8,base,17 Fire Inspector $24.53 per hour,"An Ordinance Fixing Salaries and Compensation of Officers and Employees of the Township of Pennsville, Salem County, New Jersey, for the Year 2025;",2025,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,17 Fire Inspector $24.53 per hour,,hourly_rate,$24.53,True,B4X2500RDY-20260730-2331df8d5595288436b6,Northeast,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:12:15.358278Z,B4X2500RESCUE-be9b32b1533f4d09bcc0436b,rescue_lane_003,downgraded_unusable,B4X2500SRD-20260730-defc72bc578791715b64,unclear,B4X2500-20260729-03738,,other_local_government_pay_policy,B4X2500LIVE-20260729-003839,B4X2500SRD-20260730-defc72bc578791715b64,"An Ordinance Fixing Salaries and Compensation of Officers and Employees of the Township of Pennsville, Salem County, New Jersey, for the Year 2025",B4X2500SPAN-20260730-7f214ca0ae1c192c62ee6729,b79fa424fd2a3d0b3d58250dcb5381aa118ff918dd9a9f14818cf77b13f9bf23,NJ,,unresolved_unit,B4X2500V-20260730-00876
not_applicable,,non_base,B4X2500LIVE-20260729-003401,cba_hint,274579,274475,B4X2500COD-20260730-0a8ccdb6bfbd7dca67a79d56,,undated-source-B4X2500LIVE-20260729-003401,non_safety_advantage,,,non_base_compensation,B4X2500TXT-20260730-923a2b03caa8be23646c,[],"[""comparable_wage_value"", ""pay_basis"", ""2014_2024_effective_cycle""]",https://cms3.revize.com/revize/villageofbutler/Document%20Center/Agendas%20And%20Minutes/Village%20Board/2023/Packet/July%2018%2C%202023%20Village%20Board%20Packet.pdf,"[""comparable_wage_value"", ""pay_basis"", ""2014_2024_effective_cycle""]",not_ready,,945,6181,comparable_wage_value;pay_basis;2014_2024_effective_cycle,B4X2500MC-316410fe0f7f7cab39d2965c,"[""non_base_compensation_signal""]",Butler,B4X2500MC-316410fe0f7f7cab39d2965c,shift_differential,"[""effective_period_or_cycle_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_partial,,2026-07-30T22:04:38Z,premium_or_differential,,premium,,B4X2500NORM-021a4355c5f19a310ec6a5eb,moderate,police,https://cms3.revize.com/revize/villageofbutler/Document%20Center/Agendas%20And%20Minutes/Village%20Board/2023/Packet/July%2018%2C%202023%20Village%20Board%20Packet.pdf,normalization_partial,,1425,,,,,0.25,,,,,,,,,,0.25,,,,,,,non_base_compensation,,high_priority_verification_ready,"[""shift_differential""]",,B4X2500-RATING-20260730-1a2f7dc017f9d3494693ffad,non_base,16 SECTION 7.04: Employees shall receive based on their regularly scheduled shift differential of $0.25,"Agreement between the Village of Butler and the Labor Association of Wisconsin, Inc. for and on behalf of the Village of Butler Professional Police Association Local No. 312;",,The passage references a non-base compensation component for later review.,,16 SECTION 7.04: Employees shall receive based on their regularly scheduled shift differential of $0.25,police,shift_differential,$0.25,True,B4X2500RDY-20260730-ce9adc4b7db9c01e8ae1,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:20:25.049188Z,B4X2500RESCUE-af26a94afa2f7bed150e8f8d,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-6e62979342933b4660b8,police,B4X2500-20260729-03428,,cba,B4X2500LIVE-20260729-003401,B4X2500SRD-20260730-6e62979342933b4660b8,"Agreement between the Village of Butler and the Labor Association of Wisconsin, Inc. for and on behalf of the Village of Butler Professional Police Association Local No. 312",B4X2500SPAN-20260730-c675ae4c34a72aea8d68cdb5,32dfc2a287dfe1280570cac81ab3ddab52d1c41200741922a2ca57e97a2acd2f,WI,,police,B4X2500V-20260730-04293
