annualization_assumption,annualization_hours_used,base_or_non_base,candidate_id,cba_non_cba_hint,character_end_offset,character_start_offset,codified_record_id,comparable_wage_candidate_link,comparison_cycle_candidate,direction_bucket,effective_period_end,effective_period_start,evidence_category,extraction_id,fields_repaired,fields_still_missing,final_locator,gap_claim_blockers,gap_claim_readiness,grade,lane_position,line_offset,manual_review_reason,matched_cycle_link,mechanism_attributes,municipality,municipality_cycle_id_candidate,non_base_component_type,normalization_blocker_tags,normalization_notes,normalization_status,normalized_annual_equivalent,normalized_at,normalized_growth_type,normalized_hourly_equivalent,normalized_pay_basis,normalized_percentage_growth,normalized_record_id,normalized_value_confidence,occupation_or_classification,original_locator,original_normalization_status,page_number,paragraph_offset,parsed_annual_salary,parsed_biweekly_rate,parsed_cola_cpi_value,parsed_contract_year,parsed_currency_amount,parsed_cycle_label,parsed_daily_rate,parsed_effective_date,parsed_end_date,parsed_fiscal_year,parsed_hourly_rate,parsed_lump_sum,parsed_monthly_rate,parsed_percentage_value,parsed_premium_amount,parsed_premium_percentage,parsed_start_date,parsed_step_or_grade_value,parsed_stipend_or_allowance,parsed_weekly_rate,payband,primary_mechanism_cluster,prior_comparable_wage_candidate_link,priority_bucket,quant_span_types,rank,rating_id,raw_base_nonbase_text,raw_compensation_text,raw_context_notes,raw_effective_period_text,raw_paraphrase,raw_rank_step_grade_text,raw_span_text,raw_unit_or_group_text,raw_unit_text,raw_value_text,raw_values_preserved,readiness_id,region,repair_confidence,repair_evidence_basis,report_usability_bucket,rescue_basket,rescue_completed_at,rescue_id,rescue_lane,rescue_status,retained_source_id,safety_category,scout_target_id,section_heading,source_family,source_id,source_review_download_id,source_title,span_id,span_sha256,state,step,unit_or_group,verification_row_id
standard_2080_hours,2080,base,B4X2500LIVE-20260729-003051,non_cba_or_other_hint,3705,3567,B4X2500COD-20260730-aad79978380af7691cf3d729,,2025,neutral_or_general,,2025-03-12,quantitative_compensation,B4X2500TXT-20260730-3deb39502af69082921e,"[""occupation_or_classification"", ""safety_category"", ""unit_or_group""]","[""2014_2024_effective_cycle""]",https://mazeppamn.us/march-12-2025-regular-city-council-meeting-minutes,"[""2014_2024_effective_cycle""]",near_ready,,546,65,2014_2024_effective_cycle,B4X2500MC-49c87c35c725d976ecf18564,"[""base_wage_direct_value""]",Mazeppa,B4X2500MC-49c87c35c725d976ecf18564,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""annual_equivalent_uses_standard_2080_assumption"", ""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,24960.0,2026-07-30T22:04:39Z,not_growth_value,12.0,hourly,,B4X2500NORM-001c26205b0939bf098b6fdb,moderate,other,https://mazeppamn.us/march-12-2025-regular-city-council-meeting-minutes/,normalization_partial,,33,,,,2025,12.0,2025,,2025-03-12,,,12.0,,,,,,2025-03-12,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-1ee379ba1026609dfaa01747,base,"Motion by Wiebusch, second by Liffrig to approve pay increase for Municipal Liquor Store staff to $12.00/hour with a $10.00/training wage.","March 12, 2025, Regular City Council Meeting Minutes;",2025-03-12,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Motion by Wiebusch, second by Liffrig to approve pay increase for Municipal Liquor Store staff to $12.00/hour with a $10.00/training wage.",,hourly_rate,$12.00; $10.00,True,B4X2500RDY-20260730-ea3e67f54bf36fb6984f,Midwest,moderate,"[""exact_span""]",downstream_normalization_needed,partial_repair,2026-07-30T23:04:17.821323Z,B4X2500RESCUE-6a417fc50c301a3c8eebc115,rescue_lane_002,rescued_near_gap_ready,B4X2500SRD-20260730-3204669a53c0b4facf79,non_safety,B4X2500-20260729-02967,,agenda_packet_or_minutes,B4X2500LIVE-20260729-003051,B4X2500SRD-20260730-3204669a53c0b4facf79,"March 12, 2025, Regular City Council Meeting Minutes",B4X2500SPAN-20260730-5e1930c513921d4a299cd9ab,cb30581cacec10135c928335608c742a0c4ea49d1dc263e275701457265ce3c8,MN,,other,B4X2500V-20260730-02040
standard_2080_hours,2080,base,B4X2500LIVE-20260729-006331,non_cba_or_other_hint,10653,10579,B4X2500COD-20260730-34e04462ae11c884b3f36606,,undated-source-B4X2500LIVE-20260729-006331,neutral_or_general,,,quantitative_compensation,B4X2500TXT-20260730-57f4d72b8d4cde756ef1,"[""occupation_or_classification"", ""safety_category"", ""unit_or_group""]","[""2014_2024_effective_cycle""]",https://roxburynj.us/AgendaCenter/ViewFile/Agenda/_07132021-749,"[""2014_2024_effective_cycle""]",near_ready,Position,333,320,2014_2024_effective_cycle,B4X2500MC-5bb699d5c637989ffecdf31f,"[""rank_or_specialization_premium""]",Roxbury,B4X2500MC-5bb699d5c637989ffecdf31f,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,41600.0,2026-07-30T22:04:39Z,step_progression,20.0,hourly,,B4X2500NORM-004e19db8fcef29e54fb8dfb,moderate,parks_rec,https://www.roxburynj.us/AgendaCenter/ViewFile/Agenda/_07132021-749,normalization_partial,,56,,,,,0.0,,,,,,20.0,,,,,,,0.0,,,,rank_step_specialization_classification,,high_priority_verification_ready,"[""grade_or_payband"", ""step_schedule""]",,B4X2500-RATING-20260730-92bea3fb7f9d190ef63c901b,base,Pay Grade Position Title Recreation Supervisor - Seasonal* $0 - $20.00/hr,"Council Agenda/Introduced Materials (includes ordinance text amending Administrative Code § 2-17.13 Pay Plan for non-union personnel); SECTION 1. Chapter II, Administrative Code, Section 2-17, Officers",,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",grade Position,Pay Grade Position Title Recreation Supervisor - Seasonal* $0 - $20.00/hr,,grade_or_payband;step_schedule,$0.00; $20.00,True,B4X2500RDY-20260730-3e3fc25972fc3a4dafb9,Northeast,moderate,"[""exact_span""]",downstream_normalization_needed,partial_repair,2026-07-30T23:12:15.656741Z,B4X2500RESCUE-f34f5c41e1c68cbd322c0948,rescue_lane_003,rescued_near_gap_ready,B4X2500SRD-20260730-1b3d27fc6f5ceec46895,non_safety,B4X2500-20260729-06240,"SECTION 1. Chapter II, Administrative Code, Section 2-17, Officers",budget_or_pay_plan,B4X2500LIVE-20260729-006331,B4X2500SRD-20260730-1b3d27fc6f5ceec46895,Council Agenda/Introduced Materials (includes ordinance text amending Administrative Code § 2-17.13 Pay Plan for non-union personnel),B4X2500SPAN-20260730-f3a5b7845535b63319edcf50,67d0a46951cb65c0a383d860d1182978360762bba0b88f4df38d52ca45834853,NJ,,parks_rec,B4X2500V-20260730-03678
standard_2080_hours,2080,base,B4X2500LIVE-20260729-008187,non_cba_or_other_hint,1886,1832,B4X2500COD-20260730-df813f7fad7c9d2ffa5e4ab9,,undated-source-B4X2500LIVE-20260729-008187,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-c1ecc98dbdeaee75fcd4,[],"[""2014_2024_effective_cycle""]",https://ci.brule.ne.us/wp-content/uploads/04-23-2024-Special-Meeting-Minutes.pdf,"[""2014_2024_effective_cycle""]",near_ready,,894,39,2014_2024_effective_cycle,B4X2500MC-b95a161c08fb055a5e576fcf,"[""base_wage_direct_value""]",Brule,B4X2500MC-b95a161c08fb055a5e576fcf,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,39998.4,2026-07-30T22:04:39Z,not_growth_value,19.23,hourly,,B4X2500NORM-03c7ec84faac91086a530a22,moderate,clerical_admin,https://ci.brule.ne.us/wp-content/uploads/04-23-2024-Special-Meeting-Minutes.pdf,normalization_partial,,11,,,,,19.23,,,,,,19.23,,,,,,,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-d00d13180eb41ab027b65f01,base,"per hour to $19.23 per hour, seconded by Kevin Tjaden.",The Village of Brule Board of Trustees — Special Meeting Minutes (Introduction/Adoption of Ordinance 24-04-01; wage approval for Village Clerk Megan Heflin);,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"per hour to $19.23 per hour, seconded by Kevin Tjaden.",clerical_admin,hourly_rate,$19.23,True,B4X2500RDY-20260730-0ccdd767ae8aa710f036,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:04:24.066741Z,B4X2500RESCUE-474521a617aef8751ad0c19b,rescue_lane_002,rescued_near_gap_ready,B4X2500SRD-20260730-2268bbb8267ae0c58d22,non_safety,B4X2500-20260729-08183,,agenda_packet_or_minutes,B4X2500LIVE-20260729-008187,B4X2500SRD-20260730-2268bbb8267ae0c58d22,The Village of Brule Board of Trustees — Special Meeting Minutes (Introduction/Adoption of Ordinance 24-04-01; wage approval for Village Clerk Megan Heflin),B4X2500SPAN-20260730-4cad5326ecd7324b857a3420,23397c9134fe3e80ab8fbc2883ea28f629ed00807653f0b0166f56036ff898de,NE,,clerical_admin,B4X2500V-20260730-03637
standard_2080_hours,2080,base,B4X2500LIVE-20260729-005799,cba_hint,29724,29688,B4X2500COD-20260730-d6fd86cfac6d4473cdd834de,,undated-source-B4X2500LIVE-20260729-005799,neutral_or_general,,,quantitative_compensation,B4X2500TXT-20260730-5c97bc033d4aa4c1df3e,[],"[""2014_2024_effective_cycle""]",https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-10-1032.pdf,"[""2014_2024_effective_cycle""]",near_ready,,135,545,2014_2024_effective_cycle,B4X2500MC-878ca4748a8f1a3b4b206ab4,"[""base_wage_direct_value""]",Sagamore Hills,B4X2500MC-878ca4748a8f1a3b4b206ab4,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,48776.0,2026-07-30T22:04:39Z,not_growth_value,23.45,hourly,,B4X2500NORM-0697257da2b5e614bbdce1f3,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-10-1032.pdf,normalization_partial,,122,,,,,23.45,,,,,,23.45,,,,,,,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-48646bda81a4c06e606023e1,base,Start $23.45/hr $24.16/hr $24.88/hr,Collective Bargaining Agreement (Full-Time Patrol and Full-Time Sergeants) — Ohio Patrolmen's Benevolent Association (OPBA); FULL TIME POLICE OFFICERS,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,Start $23.45/hr $24.16/hr $24.88/hr,police,hourly_rate,$23.45; $24.16; $24.88,True,B4X2500RDY-20260730-99257e47241bed7f213b,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:20:14.326702Z,B4X2500RESCUE-ec00cd95410dd3e1b9280a10,rescue_lane_004,rescued_near_gap_ready,B4X2500SRD-20260730-6b15860db1db0eb30a3d,police,B4X2500-20260729-05816,FULL TIME POLICE OFFICERS,cba,B4X2500LIVE-20260729-005799,B4X2500SRD-20260730-6b15860db1db0eb30a3d,Collective Bargaining Agreement (Full-Time Patrol and Full-Time Sergeants) — Ohio Patrolmen's Benevolent Association (OPBA),B4X2500SPAN-20260730-7a044c59334c71d4d2f7c620,e0f1b020a5da91c8c6e49fd6f8f3dd2c753a33d7870e842321980565696d91ea,OH,,police,B4X2500V-20260730-05424
standard_2080_hours,2080,base,B4X2500LIVE-20260729-005894,non_cba_or_other_hint,4185,4153,B4X2500COD-20260730-2dda7f9afe98a94cd60544e8,,undated-source-B4X2500LIVE-20260729-005894,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-2899ccfaf8b985331eee,[],"[""2014_2024_effective_cycle""]",https://werc.wi.gov/decisions/26734.pdf,"[""2014_2024_effective_cycle""]",near_ready,,957,75,2014_2024_effective_cycle,B4X2500MC-292f5af27ca3f1344ca564e4,"[""base_wage_direct_value""]",Dickeyville,B4X2500MC-292f5af27ca3f1344ca564e4,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,17950.4,2026-07-30T22:04:39Z,not_growth_value,8.63,hourly,,B4X2500NORM-07aaa7d5ee8892a11ab06acb,moderate,public_works,https://werc.wi.gov/decisions/26734.pdf,normalization_partial,,4,,,,,8.63,,,,,,8.63,,,,,,,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-f925a9253d7174e5cd746478,base,paid at an hourly rate of $8.63.,"Village of Dickeyville (Department: Department of Public Works), WERC Dec. No. 26734 (Findings/Conclusions/Direction of Election with Memo);",,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,paid at an hourly rate of $8.63.,public_works,hourly_rate,$8.63,True,B4X2500RDY-20260730-b972026715f0e743add7,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:20:25.327616Z,B4X2500RESCUE-427e0b0586309f43a89a1a96,rescue_lane_004,rescued_near_gap_ready,B4X2500SRD-20260730-694cacaed12e89bd5d0c,non_safety,B4X2500-20260729-05939,,arbitration_award,B4X2500LIVE-20260729-005894,B4X2500SRD-20260730-694cacaed12e89bd5d0c,"Village of Dickeyville (Department: Department of Public Works), WERC Dec. No. 26734 (Findings/Conclusions/Direction of Election with Memo)",B4X2500SPAN-20260730-bbb6b580a36b5157c5667356,88d5f48b1615ddf8b2a7a478b28e453252ff77c7b5e9f2b9bb22f16763e92869,WI,,public_works,B4X2500V-20260730-05719
standard_2080_hours,2080,base,B4X2500LIVE-20260729-009010,non_cba_or_other_hint,25886,25806,B4X2500COD-20260730-b7b45b90672d601af7861160,,undated-source-B4X2500LIVE-20260729-009010,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-5caa6644f627536ff3ae,[],"[""2014_2024_effective_cycle""]",https://perb.ny.gov/system/files/documents/2024/03/ia85-021-award-5-19-86.pdf,"[""2014_2024_effective_cycle""]",near_ready,,825,948,2014_2024_effective_cycle,B4X2500MC-ae37bcf84b689e73f0a522f2,"[""base_wage_direct_value""]",Warwick,B4X2500MC-ae37bcf84b689e73f0a522f2,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,13000.0,2026-07-30T22:04:39Z,not_growth_value,6.25,hourly,,B4X2500NORM-086ef65a8ed9d0353477aac0,moderate,police,https://perb.ny.gov/town-warwick-and-united-federation-police-inc,normalization_partial,,431,,,,,6.25,,,,,,6.25,,,,,,,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-c60b1a7a46569f29365b1a3b,base,Part-time employees shall be compensated at the rate of $6.25 per hour in 1985.,"Opinion and Award (Interest Arbitration): Town of Warwick and United Federation of Police, Inc. (Case No. IA 85-21);",,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,Part-time employees shall be compensated at the rate of $6.25 per hour in 1985.,police,hourly_rate,$6.25,True,B4X2500RDY-20260730-8c96fbf4ee2d6149d6b2,Northeast,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:12:22.921563Z,B4X2500RESCUE-9cee874ff74457d2e4b5bdf2,rescue_lane_003,rescued_near_gap_ready,B4X2500SRD-20260730-2b6bc3f3b22751ffc0ae,police,B4X2500-20260729-08841,,arbitration_award,B4X2500LIVE-20260729-009010,B4X2500SRD-20260730-2b6bc3f3b22751ffc0ae,"Opinion and Award (Interest Arbitration): Town of Warwick and United Federation of Police, Inc. (Case No. IA 85-21)",B4X2500SPAN-20260730-9ba0b0ba0a76d5a2f2948502,b048ae8318f31d4dac8a32599b0b2dc4cc7ffa2ebc493067016d3a2fdacd3c76,NY,,police,B4X2500V-20260730-00978
standard_2080_hours,2080,base,B4X2500LIVE-20260729-001436,non_cba_or_other_hint,8450,8429,B4X2500COD-20260730-d3af8ff70b6f442ea1a78fd5,B4X2500PAIR-0e73644cf81dd1dbb9f8f4e9,undated-source-B4X2500LIVE-20260729-001436,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-17ef07de1084fa4f3213,[],"[""2014_2024_effective_cycle""]",https://villageofclaytonny.gov/wp-content/uploads/2025/05/Minutes-2025-0428.pdf,"[""2014_2024_effective_cycle""]",near_ready,,492,177,2014_2024_effective_cycle,B4X2500MC-cbbedf45ad78d43e136412f2,"[""base_wage_direct_value""]",Clayton,B4X2500MC-cbbedf45ad78d43e136412f2,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,47611.2,2026-07-30T22:04:39Z,not_growth_value,22.89,hourly,,B4X2500NORM-0c76059d1197cb131a6fb01a,moderate,public_works,https://www.villageofclaytonny.gov/wp-content/uploads/2025/05/Minutes-2025-0428.pdf,normalization_partial,,25,,,,,22.89,,,,,,22.89,,,,,,,,,,,quantitative_base_wage_needs_normalization,B4X2500PAIR-0e73644cf81dd1dbb9f8f4e9,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-a818ad90fd37fc1cb39513ee,base,Laborer - $22.89/hr.,Regular Village Meeting & Public Hearings — Village of Clayton Board of Trustees (Teamsters wage acceptance for DPW & Water/Sewer); DPW,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,Laborer - $22.89/hr.,public_works,hourly_rate,$22.89,True,B4X2500RDY-20260730-0223c7d1e63992dbfca9,Northeast,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:12:17.387617Z,B4X2500RESCUE-1ccee724d534160a9a0717b2,rescue_lane_003,rescued_near_gap_ready,B4X2500SRD-20260730-3e8684a4c6ea5c8a4497,non_safety,B4X2500-20260729-01280,DPW,wage_schedule,B4X2500LIVE-20260729-001436,B4X2500SRD-20260730-3e8684a4c6ea5c8a4497,Regular Village Meeting & Public Hearings — Village of Clayton Board of Trustees (Teamsters wage acceptance for DPW & Water/Sewer),B4X2500SPAN-20260730-b0259a2dc97f7422ad074df4,43c786bc64c8f99e073cfe0c497a4ca58dc45188678180c349f1bbdb8289a2d5,NY,,public_works,B4X2500V-20260730-02502
standard_2080_hours,2080,base,B4X2500LIVE-20260729-000338,non_cba_or_other_hint,5675,5578,B4X2500COD-20260730-2e1392a45159f09ea05ac017,B4X2500PAIR-b4250874c965924c8ab5e20a,undated-source-B4X2500LIVE-20260729-000338,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-12de08dd800fed2e9083,[],"[""2014_2024_effective_cycle""]",https://goesselks.com/_files/ugd/c248e8_c3e96d81c8174065af266189ef7fdb3d.pdf,"[""2014_2024_effective_cycle""]",near_ready,,957,82,2014_2024_effective_cycle,B4X2500MC-ed8a06f8b2fd71005455b819,"[""base_wage_direct_value""]",Goessel,B4X2500MC-ed8a06f8b2fd71005455b819,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,33072.0,2026-07-30T22:04:38Z,not_growth_value,15.9,hourly,,B4X2500NORM-0ec761e2c6c896fc2dc30cbe,moderate,clerical_admin,https://www.goesselks.com/_files/ugd/c248e8_c3e96d81c8174065af266189ef7fdb3d.pdf,normalization_partial,,2,,,,,15.9,,,,,,15.9,,,,,,,,,,,quantitative_base_wage_needs_normalization,B4X2500PAIR-b4250874c965924c8ab5e20a,medium_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-c140c9c59086425e327ca353,base,"• A Voth moved, seconded by D Snelling to hire Shannon and back-up city clerk at $15.90 per hour.",Minutes of the Goessel City Council Meeting (Police pay / part-time offer; $20 per hour; 26 hours/week);,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"• A Voth moved, seconded by D Snelling to hire Shannon and back-up city clerk at $15.90 per hour.",clerical_admin,hourly_rate,$15.90,True,B4X2500RDY-20260730-bd6dac5c792b60721017,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T22:56:25.232078Z,B4X2500RESCUE-cd8c5976b32bd813605521f2,rescue_lane_001,rescued_near_gap_ready,B4X2500SRD-20260730-9fb88a32acb0a34f64fe,non_safety,B4X2500-20260729-00279,,agenda_packet_or_minutes,B4X2500LIVE-20260729-000338,B4X2500SRD-20260730-9fb88a32acb0a34f64fe,Minutes of the Goessel City Council Meeting (Police pay / part-time offer; $20 per hour; 26 hours/week),B4X2500SPAN-20260730-e31c1eef3ef93961fede6c7c,6df507a9062e9ceb8d055aacc86cc90eda01a221818e55273e287922a0bbd151,KS,,clerical_admin,B4X2500V-20260730-01778
standard_2080_hours,2080,base,B4X2500LIVE-20260729-008438,cba_hint,98534,98477,B4X2500COD-20260730-58634fd3a1fe937dc94fd1a1,,undated-source-B4X2500LIVE-20260729-008438,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-e08ab3230cccc9dcfa94,[],"[""2014_2024_effective_cycle""]",https://marathoncitywi.gov/wp-content/uploads/2025/11/Village-Packet-11.12.2025-final.pdf,"[""2014_2024_effective_cycle""]",near_ready,,1020,1907,2014_2024_effective_cycle,B4X2500MC-a34ce555ab2f820bbb8e9743,"[""base_wage_direct_value""]",Marathon City,B4X2500MC-a34ce555ab2f820bbb8e9743,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,47902.4,2026-07-30T22:04:39Z,not_growth_value,23.03,hourly,,B4X2500NORM-0f91f6cb2adcd972d8d304ae,moderate,clerical_admin,https://www.marathoncitywi.gov/wp-content/uploads/2025/11/Village-Packet-11.12.2025-final.pdf,normalization_partial,,309,,,,,23.03,,,,,,23.03,,,,,,,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,B4X2500-RATING-20260730-081c900868352e8691070494,base,Deputy Clerk/Office Anita Krautkramer $23.03 per hour***,Collective Bargaining Agreement (General Teamsters Union Local 662) — Clerical & Public Works Employees (Firefighters/EMRs/Police Officers excluded);,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,Deputy Clerk/Office Anita Krautkramer $23.03 per hour***,clerical_admin,hourly_rate,$23.03,True,B4X2500RDY-20260730-f5db140f8a508ba2fc4f,Midwest,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:20:26.809500Z,B4X2500RESCUE-a41a5b2cebd98e3643979dd0,rescue_lane_004,rescued_near_gap_ready,B4X2500SRD-20260730-5316bb0f747cd3bddc8b,non_safety,B4X2500-20260729-08461,,cba,B4X2500LIVE-20260729-008438,B4X2500SRD-20260730-5316bb0f747cd3bddc8b,Collective Bargaining Agreement (General Teamsters Union Local 662) — Clerical & Public Works Employees (Firefighters/EMRs/Police Officers excluded),B4X2500SPAN-20260730-f280a4d8bc15be886ac9b26c,2dcffed069da50279507ecabfb5be21bc9474c6ad6460a1e4e572cb8461ae427,WI,,clerical_admin,B4X2500V-20260730-04294
standard_2080_hours,2080,base,B4X2500LIVE-20260729-004930,cba_hint,18784,18629,B4X2500COD-20260730-3c79ebdca252bc956e85d23a,B4X2500PAIR-cccf5f816b0615e7380f50a7,undated-source-B4X2500LIVE-20260729-004930,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-936e46bbce1f11f4376c,[],"[""2014_2024_effective_cycle""]",https://tekoawa.com/documents/470/Code_Book.pdf,"[""2014_2024_effective_cycle""]",near_ready,,906,446,2014_2024_effective_cycle,B4X2500MC-fd99bc460ae4210523a21d43,"[""base_wage_direct_value""]",Tekoa,B4X2500MC-fd99bc460ae4210523a21d43,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,28280.0,2026-07-30T22:04:39Z,not_growth_value,13.5962,annual,,B4X2500NORM-109bdb38d20bb7dbf99a00a2,moderate,police,https://tekoawa.com/documents/470/Code_Book.pdf,normalization_partial,,157,28280.0,,,,28280.0,,,,,,,,,,,,,,,,,quantitative_base_wage_needs_normalization,B4X2500PAIR-cccf5f816b0615e7380f50a7,high_priority_verification_ready,"[""annual_salary""]",,B4X2500-RATING-20260730-54d9a4f0a8573b8ccb7ed555,base,"The Street Superintendent shall receive an annual salary of $28,280.00 or such other compensation as the City Council may hereafter fix from time-to-time",Tekoa Municipal Code Chapter 1.08 - Compensation of City Officers (Section 1.08.010 Chief of Police);,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"The Street Superintendent shall receive an annual salary of $28,280.00 or such other compensation as the City Council may hereafter fix from time-to-time",police,annual_salary,"$28,280.00",True,B4X2500RDY-20260730-5250f36eb47c8985871b,West,low,"[""prior_normalization_metadata_only""]",downstream_normalization_needed,partial_repair,2026-07-30T23:20:24.187101Z,B4X2500RESCUE-ce96d3700420d47d3ce3e254,rescue_lane_004,rescued_near_gap_ready,B4X2500SRD-20260730-e84dd8eab994a6a46205,police,B4X2500-20260729-04994,,cba,B4X2500LIVE-20260729-004930,B4X2500SRD-20260730-e84dd8eab994a6a46205,Tekoa Municipal Code Chapter 1.08 - Compensation of City Officers (Section 1.08.010 Chief of Police),B4X2500SPAN-20260730-b27f977be9fe7837acff1a0e,8bbe10f44b9ce3a22e4da576c8507a9ae0a125456d5b690827c63f7fad57f93e,WA,,police,B4X2500V-20260730-02810
