matched_cycle_id,municipality_cycle_id,municipality,state,cycle_period,safety_record_count,non_safety_record_count,match_quality,tier_1_count,tier_2_count,tier_3_count,current_claim_tier
B4X2500RESCUEMATCH-f61c4d17be542d02d024e0f4,B4X2500RESCUEGROUP-f61c4d17be542d02d024e0f4,Alburtis,PA,2018-2021,1,1,strong,1,0,0,current_bounded_wage_differential_supported
B4X2500RESCUEMATCH-f11543245a488836e274d8c5,B4X2500RESCUEGROUP-f11543245a488836e274d8c5,Battle Lake,MN,2023,3,1,weak,0,0,1,current_directional_documentary_hint_supported
B4X2500RESCUEMATCH-a50a51f3cfb98e6e33ec0216,B4X2500RESCUEGROUP-a50a51f3cfb98e6e33ec0216,Bernards,NJ,2023,1,4,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-4167fc55dd05aecc67abf5f8,B4X2500RESCUEGROUP-4167fc55dd05aecc67abf5f8,Bethalto,IL,2021,1,1,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-a673f0bbf5ce7f605bc18ed8,B4X2500RESCUEGROUP-a673f0bbf5ce7f605bc18ed8,Bladenboro,NC,2022-2023,1,1,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-1c622eeef95ad2e965f9fd1a,B4X2500RESCUEGROUP-1c622eeef95ad2e965f9fd1a,Braham,MN,2024,1,1,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-4c6a439de1dfd20ada14cbca,B4X2500RESCUEGROUP-4c6a439de1dfd20ada14cbca,Bristol,IN,2024,2,2,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-7143b11af17fbf1a316e18f5,B4X2500RESCUEGROUP-7143b11af17fbf1a316e18f5,Cammack Village,AR,2024,1,3,strong,1,0,0,current_bounded_wage_differential_supported
B4X2500RESCUEMATCH-00ac8cf24cbd914d0a286a80,B4X2500RESCUEGROUP-00ac8cf24cbd914d0a286a80,Canastota,NY,2023-2024,1,2,strong,1,0,0,current_bounded_wage_differential_supported
B4X2500RESCUEMATCH-943039be37d688cd789e5a3b,B4X2500RESCUEGROUP-943039be37d688cd789e5a3b,Cheltenham,PA,2022,1,1,weak,0,0,1,current_directional_documentary_hint_supported
B4X2500RESCUEMATCH-7adf488cbedeb8a093b1ea34,B4X2500RESCUEGROUP-7adf488cbedeb8a093b1ea34,Churubusco,IN,2023,1,2,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-cf54c0a6b70cead4b0691be4,B4X2500RESCUEGROUP-cf54c0a6b70cead4b0691be4,Cohasset,MA,2022,3,1,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-b8fd2d9e28776514b9c514a3,B4X2500RESCUEGROUP-b8fd2d9e28776514b9c514a3,Greenwich,NJ,2024,6,5,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-b65eba923e291aa2fe3687d2,B4X2500RESCUEGROUP-b65eba923e291aa2fe3687d2,Mamaroneck,NY,2023,1,1,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-2e7693b66c088ae4496df46e,B4X2500RESCUEGROUP-2e7693b66c088ae4496df46e,Mechanicsville,IA,2022,1,1,moderate,0,1,0,current_bounded_growth_mechanism_comparison_supported
B4X2500RESCUEMATCH-16876c521ca9c6de5678e2d7,B4X2500RESCUEGROUP-16876c521ca9c6de5678e2d7,Middlesex,NC,2019-2020,3,1,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-3b7992238c6023178d93ddf5,B4X2500RESCUEGROUP-3b7992238c6023178d93ddf5,Perry,NY,2023-2024,4,2,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-9405f17f32b61482aebfb55c,B4X2500RESCUEGROUP-9405f17f32b61482aebfb55c,Poland,OH,2023,1,1,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-54f8efa34c0f272cd1a0a8c9,B4X2500RESCUEGROUP-54f8efa34c0f272cd1a0a8c9,Shelby,MI,2017,2,2,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-67806a10ac6816c12f02f253,B4X2500RESCUEGROUP-67806a10ac6816c12f02f253,Shreve,OH,2024,2,1,strong,1,0,0,current_bounded_wage_differential_supported
B4X2500RESCUEMATCH-2031ed05b1f556fc6b02a7cd,B4X2500RESCUEGROUP-2031ed05b1f556fc6b02a7cd,Southampton,NY,2022,1,1,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-234aff70dc03d2a1882e7306,B4X2500RESCUEGROUP-234aff70dc03d2a1882e7306,Stanhope,NJ,2021,3,1,weak,0,0,1,current_directional_documentary_hint_supported
B4X2500RESCUEMATCH-cf650b8ee94ad6d40fbfc00a,B4X2500RESCUEGROUP-cf650b8ee94ad6d40fbfc00a,West Bridgewater,MA,2023,1,2,incomplete,0,0,0,future_gap_potential_only
B4X2500RESCUEMATCH-30a857a92e1b664616c9a9d8,B4X2500RESCUEGROUP-30a857a92e1b664616c9a9d8,Westfield,NY,2017,1,1,weak,0,0,1,current_directional_documentary_hint_supported
