annualization_assumption,annualization_hours_used,base_or_non_base,candidate_id,cba_non_cba_hint,character_end_offset,character_start_offset,classification_evidence_basis,codified_record_id,comparison_cycle_candidate,direction_bucket,effective_period_end,effective_period_start,evidence_category,extraction_id,final_locator,grade,growth_mechanism_claim_caveat,growth_mechanism_claim_text,growth_mechanism_type,growth_value_type,lane_position,line_offset,mechanism_attributes,mechanism_claim_ready,municipality,municipality_cycle_id_candidate,non_base_component_type,normalization_blocker_tags,normalization_needed_for_gap_claim,normalization_notes,normalization_status,normalized_annual_equivalent,normalized_at,normalized_growth_type,normalized_hourly_equivalent,normalized_pay_basis,normalized_percentage_growth,normalized_record_id,normalized_value_confidence,occupation_or_classification,original_locator,original_normalization_status,page_number,paragraph_offset,parsed_annual_salary,parsed_biweekly_rate,parsed_cola_cpi_value,parsed_contract_year,parsed_currency_amount,parsed_cycle_label,parsed_daily_rate,parsed_effective_date,parsed_end_date,parsed_fiscal_year,parsed_growth_period,parsed_growth_unit,parsed_growth_value,parsed_hourly_rate,parsed_lump_sum,parsed_monthly_rate,parsed_percentage_value,parsed_premium_amount,parsed_premium_percentage,parsed_start_date,parsed_step_or_grade_value,parsed_stipend_or_allowance,parsed_weekly_rate,payband,primary_mechanism_cluster,prior_comparable_wage_candidate_link,priority_bucket,quant_span_types,quantitative_growth_value_present,rank,rating_id,raw_base_nonbase_text,raw_compensation_text,raw_context_notes,raw_effective_period_text,raw_paraphrase,raw_rank_step_grade_text,raw_span_text,raw_unit_or_group_text,raw_unit_text,raw_value_text,raw_values_preserved,readiness_id,region,report_usability_bucket,rescue_basket,rescue_completed_at,rescue_id,rescue_lane,rescue_status,retained_source_id,safety_category,scout_target_id,section_heading,source_family,source_id,source_review_download_id,source_title,span_id,span_sha256,state,step,unit_or_group,verification_row_id,why_not_gap_comparable,comparable_wage_candidate_link,fields_repaired,fields_still_missing,gap_claim_blockers,gap_claim_readiness,manual_review_reason,matched_cycle_link,repair_confidence,repair_evidence_basis
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008265,cba_hint,55685,55600,"[""unit_specific_source_title"", ""unresolved"", ""unresolved""]",B4X2500COD-20260730-7efae7ec4ab76fd6e9a84978,undated-source-B4X2500LIVE-20260729-008265,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-afdfbcf26121be9fd126,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,1,987,"[""automatic_raise_mechanism""]",False,Green,B4X2500MC-658ac646e8f8a2ebd95cf160,,"[""base_nonbase_unresolved"", ""effective_period_or_cycle_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,across_the_board_raise,,unknown,,B4X2500NORM-4af36aee52833c69f7ced93c,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,normalization_mechanism_only,,223,,,,,,,,,,,,,,,,,,,,,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""percentage_raise""]",False,,B4X2500-RATING-20260730-e582ecc198012e5afae50f00,,After fifteen years the employee shall not receive both the ten year .5% adjustment,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF); Appendix A",,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,After fifteen years the employee shall not receive both the ten year .5% adjustment,fire,percentage_raise,,True,B4X2500RDY-20260730-07d93b49d1e1dc34e819,Midwest,pi_report_context_only,mechanism_only_repair,2026-07-30T23:25:57.849401Z,B4X2500RESCUE-862dd6c43708a862d8cce2fe,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-c3a1791f2e47b264527c,fire,B4X2500-20260729-08273,Appendix A,cba,B4X2500LIVE-20260729-008265,B4X2500SRD-20260730-c3a1791f2e47b264527c,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF)",B4X2500SPAN-20260730-d3a9b441b84e0855b9bc76d7,351713f9b21740829ea3b311f59d06aaf204e7f1d222d6c19a7f851c269dcbc8,OH,,fire,B4X2500V-20260730-01080,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008266,cba_hint,56714,56676,"[""unit_specific_source_title"", ""unresolved"", ""unresolved""]",B4X2500COD-20260730-5b7ab4778bf9ce0a6788aff0,undated-source-B4X2500LIVE-20260729-008266,neutral_or_general,,,quantitative_compensation,B4X2500TXT-20260730-39bf366a928da789cc04,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-05-0608.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,2,1044,"[""automatic_raise_mechanism""]",False,Green,B4X2500MC-72228be068b0c2fbc77757c3,,"[""base_nonbase_unresolved"", ""effective_period_or_cycle_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,across_the_board_raise,,unknown,,B4X2500NORM-aae7cf0e5b0b527f81f79b96,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-05-0608.pdf,normalization_mechanism_only,,257,,,,,,,,,,,,,,,,,,,,,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""percentage_raise""]",False,,B4X2500-RATING-20260730-255b2073742eba189ff67fd4,,tind 1he fifteen year .75% adjustment.,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF);",,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,tind 1he fifteen year .75% adjustment.,fire,percentage_raise,,True,B4X2500RDY-20260730-99e82fc39b64223a6fd8,Midwest,pi_report_context_only,mechanism_only_repair,2026-07-30T23:25:57.921917Z,B4X2500RESCUE-365e56188e3b926422508c7e,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-aead308fa033b01e2f2b,fire,B4X2500-20260729-08273,,cba,B4X2500LIVE-20260729-008266,B4X2500SRD-20260730-aead308fa033b01e2f2b,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF)",B4X2500SPAN-20260730-365c89f6629ea911d9a79e65,f26f3e10c9122e0224b53756f95dac03ba498e034b0e9269da3b0fd6fbbc12d8,OH,,fire,B4X2500V-20260730-02523,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
standard_2080_hours,2080,base,B4X2500LIVE-20260729-005773,cba_hint,89346,89266,,B4X2500COD-20260730-f6de4a9937df018999a50cbe,undated-source-B4X2500LIVE-20260729-005773,neutral_or_general,,,quantitative_compensation,B4X2500TXT-20260730-7a5343b1bd4f32b52711,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-09-0973.pdf,,,,,,3,1611,"[""rank_or_specialization_premium""]",,Marion,B4X2500MC-5425e1b370dc3bba938bacec,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]",,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,55250.0,2026-07-30T22:04:39Z,step_progression,26.5625,annual,,B4X2500NORM-797b1e0555b8c07f0ff51f93,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-09-0973.pdf,normalization_partial,,386,55250.0,,,,55250.0,,,,,,,,,,,,,,,,55250.0,,,,rank_step_specialization_classification,,high_priority_verification_ready,"[""step_schedule""]",,,B4X2500-RATING-20260730-091b9f0f8b6e77ad262e58d5,base,"Step 5 - $55,250.00 (This annual wage includes the paramedic pay listed below).","Collective Bargaining Agreement (In re: Marion Township Fire Department) — Marion Township Trustees and Local No. 2134, International Association of Fire Fighters;",,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",step 5,"Step 5 - $55,250.00 (This annual wage includes the paramedic pay listed below).",fire,step_schedule,"$55,250.00",True,B4X2500RDY-20260730-8392003b669c7c49a4dc,Midwest,downstream_normalization_needed,partial_repair,2026-07-30T23:20:14.065636Z,B4X2500RESCUE-6b76f314b063343b354b122e,rescue_lane_004,rescued_near_gap_ready,B4X2500SRD-20260730-c949a88286ad0cc32537,fire,B4X2500-20260729-05795,,cba,B4X2500LIVE-20260729-005773,B4X2500SRD-20260730-c949a88286ad0cc32537,"Collective Bargaining Agreement (In re: Marion Township Fire Department) — Marion Township Trustees and Local No. 2134, International Association of Fire Fighters",B4X2500SPAN-20260730-6eb654268b81787184e07f1f,2ebde2e06b66a5364c47b35e9f1ef0d2536c7531f049e9a3d63e23e26168841f,OH,5,fire,B4X2500V-20260730-01090,,,[],"[""2014_2024_effective_cycle""]","[""2014_2024_effective_cycle""]",near_ready,2014_2024_effective_cycle,B4X2500MC-5425e1b370dc3bba938bacec,low,"[""prior_normalization_metadata_only""]"
not_safe_to_annualize,,base,B4X2500LIVE-20260729-008265,cba_hint,55586,55487,"[""unit_specific_source_title"", ""exact_span_base_term"", ""unresolved""]",B4X2500COD-20260730-f01b4a7ea6f267c9b7b663d7,undated-source-B4X2500LIVE-20260729-008265,neutral_or_general,,,quantitative_compensation,B4X2500TXT-20260730-afdfbcf26121be9fd126,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,percentage_raise,percentage_raise,4,986,"[""automatic_raise_mechanism""]",False,Green,B4X2500MC-658ac646e8f8a2ebd95cf160,,"[""base_nonbase_unresolved"", ""effective_period_or_cycle_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,across_the_board_raise,,unknown,,B4X2500NORM-b544e5ff4aee61c092460c46,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,normalization_mechanism_only,,223,,,,,,,,,,,,percent,75.0,,,,,,,,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""percentage_raise""]",True,,B4X2500-RATING-20260730-692f5c6ee5567bd1d4cf14cb,,fifteen years of service the employee shall receive a .75% adjustment to the annual salary set out,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF); Appendix A",,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,fifteen years of service the employee shall receive a .75% adjustment to the annual salary set out,fire,percentage_raise,,True,B4X2500RDY-20260730-07d93b49d1e1dc34e819,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:25:57.930395Z,B4X2500RESCUE-2658043f702c18e43e5f9ce5,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-c3a1791f2e47b264527c,fire,B4X2500-20260729-08273,Appendix A,cba,B4X2500LIVE-20260729-008265,B4X2500SRD-20260730-c3a1791f2e47b264527c,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF)",B4X2500SPAN-20260730-a3e67b40cff94c085616e884,e3bb5264919b705310668b03b40e1246a88dbc6cbf0db9e586b6d3aa64c9ba99,OH,,fire,B4X2500V-20260730-01080,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008265,cba_hint,55480,55390,"[""unit_specific_source_title"", ""unresolved"", ""unresolved""]",B4X2500COD-20260730-94a1df3bb2f11fd8c1181059,undated-source-B4X2500LIVE-20260729-008265,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-afdfbcf26121be9fd126,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,5,985,"[""automatic_raise_mechanism""]",False,Green,B4X2500MC-658ac646e8f8a2ebd95cf160,,"[""base_nonbase_unresolved"", ""effective_period_or_cycle_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,across_the_board_raise,,unknown,,B4X2500NORM-c35a1ad430813b12f826f3e8,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,normalization_mechanism_only,,223,,,,,,,,,,,,,,,,,,,,,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""percentage_raise""]",False,,B4X2500-RATING-20260730-9b8912e3d56fbb26235c79ea,,".5% adjustment during years eleven, twelve, thirteen, fourteen and fifteen of his service.","Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF); Appendix A",,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,".5% adjustment during years eleven, twelve, thirteen, fourteen and fifteen of his service.",fire,percentage_raise,,True,B4X2500RDY-20260730-07d93b49d1e1dc34e819,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:25:57.941955Z,B4X2500RESCUE-9b2d6937dd104cb2cff066a6,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-c3a1791f2e47b264527c,fire,B4X2500-20260729-08273,Appendix A,cba,B4X2500LIVE-20260729-008265,B4X2500SRD-20260730-c3a1791f2e47b264527c,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF)",B4X2500SPAN-20260730-098bb65023c9fa311bff8f9d,c875146d387a292908741a1c426924bb82637a110f50058f22ef0e90c34c6c8a,OH,,fire,B4X2500V-20260730-01080,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
standard_2080_hours,2080,base,B4X2500LIVE-20260729-005775,non_cba_or_other_hint,22977,22894,,B4X2500COD-20260730-e62e9c1343abfef177f4b81b,undated-source-B4X2500LIVE-20260729-005775,neutral_or_general,,,quantitative_compensation,B4X2500TXT-20260730-cf05eadbabb9566f9aef,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2025/25-MED-10-1213.pdf,,,,,,6,451,"[""base_wage_direct_value""]",,Marion,B4X2500MC-adf75fdd21e29ae71fb4d628,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]",,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,64084.8,2026-07-30T22:04:39Z,not_growth_value,30.81,hourly,,B4X2500NORM-1e52d2ab1db66dfae1f9fd14,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2025/25-MED-10-1213.pdf,normalization_partial,,66,,,,,76893.0,,,,,,,,,30.81,,,,,,,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,,B4X2500-RATING-20260730-f8e922ef99e74ea339e08980,base,"its proposed adjustment of $76,893 .03, representing $30.81 per hour, is a reasona",Fact-Finding Report (Marion Township Fire Department) — State Employment Relations Board (SERB);,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"its proposed adjustment of $76,893 .03, representing $30.81 per hour, is a reasona",fire,hourly_rate,"$76,893.00; $30.81",True,B4X2500RDY-20260730-5dc314b9062bc1e32620,Midwest,downstream_normalization_needed,partial_repair,2026-07-30T23:20:14.066802Z,B4X2500RESCUE-7e599727d8cd1dc01c07dd40,rescue_lane_004,rescued_near_gap_ready,B4X2500SRD-20260730-dc93bc24cdc4d813d0de,fire,B4X2500-20260729-05795,,factfinding_report,B4X2500LIVE-20260729-005775,B4X2500SRD-20260730-dc93bc24cdc4d813d0de,Fact-Finding Report (Marion Township Fire Department) — State Employment Relations Board (SERB),B4X2500SPAN-20260730-217a65e1ffaaa264866412f9,cd9f9222044cb15009e0cd437e2238d797d9e75a139bb3ad4bab284fc209d63a,OH,,fire,B4X2500V-20260730-03998,,,[],"[""2014_2024_effective_cycle""]","[""2014_2024_effective_cycle""]",near_ready,2014_2024_effective_cycle,B4X2500MC-adf75fdd21e29ae71fb4d628,low,"[""prior_normalization_metadata_only""]"
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008265,cba_hint,52030,51942,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-18b8219700b5f9a973586582,2018,neutral_or_general,,2018-01-01,quantitative_compensation,B4X2500TXT-20260730-afdfbcf26121be9fd126,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,7,933,"[""implementation_or_retroactivity_advantage""]",False,Green,B4X2500MC-edf47e3969486c22c03413c6,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-25da8c0f78b8017e0f55e7e8,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,normalization_mechanism_only,,215,,,,2018,,2018,,2018-01-01,,,2018,,,,,,,,,2018-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-f692c944c05b8ccdeb7660e7,,"Effective January 1, 2018, all employees governed by this Agreement shall receive wages","Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF); ARTICLE XVI. SALARIES, WAGES AND COMPENSATION",2018-01-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective January 1, 2018, all employees governed by this Agreement shall receive wages",fire,effective_date,,True,B4X2500RDY-20260730-07d93b49d1e1dc34e819,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:25:57.820561Z,B4X2500RESCUE-577ee2e2c50f336a2e55ca7b,rescue_lane_004,mechanism_with_no_quant_value,B4X2500SRD-20260730-c3a1791f2e47b264527c,fire,B4X2500-20260729-08273,"ARTICLE XVI. SALARIES, WAGES AND COMPENSATION",cba,B4X2500LIVE-20260729-008265,B4X2500SRD-20260730-c3a1791f2e47b264527c,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF)",B4X2500SPAN-20260730-cff7f038740c7347755991d6,8f4e9c93f51f6947210d94c95c5f8036245594ab00d25b6616d84adbbf6579f1,OH,,fire,B4X2500V-20260730-01080,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008263,cba_hint,10673,10639,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-c7c34b32ffb72cd9d88b07cc,2017,not_applicable,,2017-01-01,quantitative_compensation,B4X2500TXT-20260730-1163035d0931a99c61a9,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2022/22-MED-07-0670.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,8,248,"[""implementation_or_retroactivity_advantage""]",False,Green,B4X2500MC-9e020d8709b6f6fc11cfc622,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,unknown,,unknown,,B4X2500NORM-49761a704a739bad68823940,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2022/22-MED-07-0670.pdf,normalization_mechanism_only,,77,,,,2017,,2017,,2017-01-01,,,2017,,,,,,,,,2017-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-c3797895905e5c28e9db8167,,"424), effective January 1, 2017,","Collective Bargaining Agreement (Green Township Police Officers) — Green Township, Hamilton County, Ohio & Fraternal Order of Police (Ohio Labor Council, Inc.);",2017-01-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"424), effective January 1, 2017,",police,effective_date,,True,B4X2500RDY-20260730-2d86dbeb6e0019d92aed,Midwest,pi_report_context_only,mechanism_only_repair,2026-07-30T23:25:57.847537Z,B4X2500RESCUE-e24994307770324be464f5e3,rescue_lane_004,mechanism_with_no_quant_value,B4X2500SRD-20260730-c6d5a46562d73001ada8,police,B4X2500-20260729-08273,,cba,B4X2500LIVE-20260729-008263,B4X2500SRD-20260730-c6d5a46562d73001ada8,"Collective Bargaining Agreement (Green Township Police Officers) — Green Township, Hamilton County, Ohio & Fraternal Order of Police (Ohio Labor Council, Inc.)",B4X2500SPAN-20260730-02502de1e3ecfcd67b67dfdf,ace8993291a97069a383ba9f93068497e5bee01b86bdb85b1735b134ade6a62a,OH,,police,B4X2500V-20260730-05406,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
standard_2080_hours,2080,base,B4X2500LIVE-20260729-005775,non_cba_or_other_hint,22977,22878,,B4X2500COD-20260730-7b3cd6f6bfd516f541349494,undated-source-B4X2500LIVE-20260729-005775,neutral_or_general,,,quantitative_compensation,B4X2500TXT-20260730-cf05eadbabb9566f9aef,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2025/25-MED-10-1213.pdf,,,,,,9,450,"[""rank_or_specialization_premium""]",,Marion,B4X2500MC-adf75fdd21e29ae71fb4d628,,"[""effective_period_or_cycle_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]",,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,64084.8,2026-07-30T22:04:39Z,step_progression,30.81,hourly,,B4X2500NORM-3d475402f6f4b38910b95ca3,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2025/25-MED-10-1213.pdf,normalization_partial,,66,,,,,76893.0,,,,,,,,,30.81,,,,,,,76893.0,,,,rank_step_specialization_classification,,high_priority_verification_ready,"[""step_schedule""]",,,B4X2500-RATING-20260730-7f12bf5ef06688754a687ec4,base,"ble step toward its proposed adjustment of $76,893 .03, representing $30.81 per hour, is a reasona",Fact-Finding Report (Marion Township Fire Department) — State Employment Relations Board (SERB);,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",step toward,"ble step toward its proposed adjustment of $76,893 .03, representing $30.81 per hour, is a reasona",fire,step_schedule,"$76,893.00; $30.81",True,B4X2500RDY-20260730-5dc314b9062bc1e32620,Midwest,pi_report_context_only,partial_repair,2026-07-30T23:20:14.068293Z,B4X2500RESCUE-38c1379aa599e1df36da18fd,rescue_lane_004,rescued_near_gap_ready,B4X2500SRD-20260730-dc93bc24cdc4d813d0de,fire,B4X2500-20260729-05795,,factfinding_report,B4X2500LIVE-20260729-005775,B4X2500SRD-20260730-dc93bc24cdc4d813d0de,Fact-Finding Report (Marion Township Fire Department) — State Employment Relations Board (SERB),B4X2500SPAN-20260730-8025cc1e8dd3bd48f69ec795,54ff83e5b9e1af1d14627a3ed42ac5a19e07b1fe026c801185374b2a513da4ce,OH,toward,fire,B4X2500V-20260730-03998,,,[],"[""2014_2024_effective_cycle""]","[""2014_2024_effective_cycle""]",near_ready,2014_2024_effective_cycle,B4X2500MC-adf75fdd21e29ae71fb4d628,low,"[""prior_normalization_metadata_only""]"
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008265,cba_hint,78803,78715,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-0d0db7f5374bf1f252607ba2,2004,not_applicable,,2004-10-13,quantitative_compensation,B4X2500TXT-20260730-afdfbcf26121be9fd126,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,10,1392,"[""implementation_or_retroactivity_advantage""]",False,Green,B4X2500MC-cd23aece2d8f48f9606b5973,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved"", ""cycle_outside_2014_2024_observation_window""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-a23d7ab63239219f2b38d132,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-04-0561.pdf,normalization_mechanism_only,,319,,,,2004,,2004,,2004-10-13,,,,,,,,,,,,2004-10-13,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-56d02782028426656dd638eb,,"Effective October 13, 2004, Section 4123.54 of the Ohio Revised Code requires notice of","Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF);",2004-10-13,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective October 13, 2004, Section 4123.54 of the Ohio Revised Code requires notice of",fire,effective_date,,True,B4X2500RDY-20260730-07d93b49d1e1dc34e819,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:25:57.915157Z,B4X2500RESCUE-1f103974de6b5bbde82d67e9,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-c3a1791f2e47b264527c,fire,B4X2500-20260729-08273,,cba,B4X2500LIVE-20260729-008265,B4X2500SRD-20260730-c3a1791f2e47b264527c,"Collective Bargaining Agreement — Green Township, Hamilton County, Ohio & Green Township Professional Firefighters Union Local 2927 (IAFF)",B4X2500SPAN-20260730-5b3a3dca3063e54675b97684,4c9a7cf675f6b582d98278a2ef8a7012a3e0a8e73c804cecc7488d35f7bdd4a1,OH,,fire,B4X2500V-20260730-01080,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
