mechanism_tag,mechanism_name,category_type,profile_id,all_geography_event_count,alaska_event_count,alaska_root_event_count,alaska_municipality_count,alaska_cycle_count,alaska_safety_count,alaska_non_safety_count,alaska_mixed_count,alaska_side_independent_count,alaska_unresolved_count,alaska_display_mode,hex_density_used_for_alaska,category_map_count_matches,all_events_accounted_for,analytical_unit
none_identified,None Identified,evidence_status,grouped-sparse-status-appendix,2001,9,9,8,8,1,0,0,0,8,point_table,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
payroll_effective_date,Payroll Effective Date,reader_facing_mechanism,retroactivity-payroll,1876,3,3,3,3,1,0,0,0,2,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
retroactive,Retroactive,reader_facing_mechanism,retroactivity-payroll,1418,6,6,6,6,1,0,0,0,5,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
retroactive_pay,Retroactive Pay,reader_facing_mechanism,retroactivity-payroll,1418,6,6,6,6,1,0,0,0,5,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
recurring,Recurring,reader_facing_mechanism,scheduled-base-growth,720,5,5,4,4,1,0,0,1,3,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
fiscal_constraint,Fiscal Constraint,reader_facing_mechanism,budgets-pay-plans,619,1,1,1,1,0,0,0,1,0,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
budget_pay_plan_process,Budget Pay Plan Process,reader_facing_mechanism,budgets-pay-plans,617,1,1,1,1,0,0,0,1,0,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
no_direct_compensation_outcome,No Direct Compensation Outcome,evidence_status,grouped-sparse-status-appendix,544,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
across_the_board_raise,Across The Board Raise,reader_facing_mechanism,scheduled-base-growth,373,3,3,3,3,0,0,0,0,3,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
one_time,One Time,reader_facing_mechanism,non-base-compensation,299,2,2,2,2,0,0,0,0,2,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
non_base_compensation_other,Non Base Compensation Other,reader_facing_mechanism,non-base-compensation,292,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
ordinance_council_adoption,Ordinance Council Adoption,reader_facing_mechanism,ordinance-adoption,255,3,3,2,2,0,0,0,1,2,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
ordinance_adoption,Ordinance Adoption,reader_facing_mechanism,ordinance-adoption,206,2,2,2,2,0,0,0,1,1,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
unclear,Unclear,evidence_status,grouped-sparse-status-appendix,140,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
base_wage_change,Base Wage Change,reader_facing_mechanism,scheduled-base-growth,120,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
step_progression,Step Progression,reader_facing_mechanism,scheduled-base-growth,87,1,1,1,1,0,0,0,1,0,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
cola_cpi_adjustment,COLA CPI Adjustment,reader_facing_mechanism,scheduled-base-growth,79,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
uniform_or_equipment_allowance,Uniform Or Equipment Allowance,reader_facing_mechanism,non-base-compensation,68,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
benefit_cost_change,Benefit Cost Change,reader_facing_mechanism,non-base-compensation,65,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
budget_appropriation,Budget Appropriation,reader_facing_mechanism,budgets-pay-plans,64,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
stipend_or_premium,Stipend Or Premium,reader_facing_mechanism,non-base-compensation,62,1,1,1,1,1,0,0,0,0,point_inset,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
settlement_or_mou,Settlement Or MOU,reader_facing_mechanism,formal-bargaining,58,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
market_recruitment_retention,Market Recruitment Retention,reader_facing_mechanism,staffing-market-pressure,44,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
classification_band_change,Classification Band Change,reader_facing_mechanism,classification-structure,43,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
longevity,Longevity,reader_facing_mechanism,non-base-compensation,40,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
