figure_id,source_format,vector_path,svg_path,png_path,raster_width,raster_height,raster_dpi,embedded_format,regenerated,qa_status
profile-map-retroactivity-payroll,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-retroactivity-payroll.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-retroactivity-payroll.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-retroactivity-payroll.png,5343,2632,600,vector PDF,True,pass
profile-map-non-base-compensation,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-non-base-compensation.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-non-base-compensation.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-non-base-compensation.png,5343,2632,600,vector PDF,True,pass
profile-map-scheduled-base-growth,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-scheduled-base-growth.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-scheduled-base-growth.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-scheduled-base-growth.png,5343,2632,600,vector PDF,True,pass
profile-map-budgets-pay-plans,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-budgets-pay-plans.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-budgets-pay-plans.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-budgets-pay-plans.png,5343,2632,600,vector PDF,True,pass
profile-map-ordinance-adoption,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-ordinance-adoption.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-ordinance-adoption.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-ordinance-adoption.png,5343,2632,600,vector PDF,True,pass
profile-map-formal-bargaining,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-formal-bargaining.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-formal-bargaining.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-formal-bargaining.png,5343,2632,600,vector PDF,True,pass
profile-map-classification-structure,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-classification-structure.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-classification-structure.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-classification-structure.png,5343,2632,600,vector PDF,True,pass
profile-map-staffing-market-pressure,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-staffing-market-pressure.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-staffing-market-pressure.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/maps/profile-map-staffing-market-pressure.png,5343,2632,600,vector PDF,True,pass
corpus-scale,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/corpus-scale.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/corpus-scale.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/corpus-scale.png,3103,1583,360,vector PDF,True,pass
evidence-pipeline,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/evidence-pipeline.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/evidence-pipeline.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/evidence-pipeline.png,3089,1583,360,vector PDF,True,pass
side-visibility,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/side-visibility.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/side-visibility.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/side-visibility.png,3886,1848,420,vector PDF,True,pass
analytical-readiness,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/analytical-readiness.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/analytical-readiness.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/analytical-readiness.png,2883,1489,360,vector PDF,True,pass
documentary-growth,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/documentary-growth.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/documentary-growth.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/documentary-growth.png,2973,1583,360,vector PDF,True,pass
staffing-channel,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/staffing-channel.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/staffing-channel.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/staffing-channel.png,3038,1583,360,vector PDF,True,pass
implementation-lifecycle,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/implementation-lifecycle.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/implementation-lifecycle.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/implementation-lifecycle.png,3012,1583,360,vector PDF,True,pass
local-comparisons,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/local-comparisons.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/local-comparisons.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/local-comparisons.png,2962,1583,360,vector PDF,True,pass
claim-overview,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-overview.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-overview.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-overview.png,2962,1583,360,vector PDF,True,pass
claim-matrix-supported-and-mechanisms,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-matrix-supported-and-mechanisms.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-matrix-supported-and-mechanisms.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-matrix-supported-and-mechanisms.png,3391,1747,420,vector PDF,True,pass
claim-matrix-unsupported-boundaries,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-matrix-unsupported-boundaries.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-matrix-unsupported-boundaries.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/claim-matrix-unsupported-boundaries.png,3391,1747,420,vector PDF,True,pass
counterexamples,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/counterexamples.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/counterexamples.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/counterexamples.png,2962,1583,360,vector PDF,True,pass
strict-bounded-sensitivity,matplotlib vector PDF,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/strict-bounded-sensitivity.pdf,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/strict-bounded-sensitivity.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_final_2026-08-06/assets/figures/strict-bounded-sensitivity.png,2962,1583,360,vector PDF,True,pass
