page,appendix_role,content_count,accounting,status,concrete_correction
49,Reader-facing category cards,4,"categories 1-4 of 35",complete,"Use plain category-count subtitle."
50,Reader-facing category cards,4,"categories 5-8 of 35",complete,"Use plain category-count subtitle."
51,Reader-facing category cards,4,"categories 9-12 of 35",complete,"Use plain category-count subtitle."
52,Reader-facing category cards,4,"categories 13-16 of 35",complete,"Use plain category-count subtitle."
53,Reader-facing category cards,4,"categories 17-20 of 35",complete,"Use plain category-count subtitle."
54,Reader-facing category cards,4,"categories 21-24 of 35",complete,"Use plain category-count subtitle."
55,Reader-facing category cards,4,"categories 25-28 of 35",complete,"Use plain category-count subtitle."
56,Reader-facing category cards,4,"categories 29-32 of 35",complete,"Use plain category-count subtitle."
57,Reader-facing category cards,3,"categories 33-35 of 35",complete,"Use three equal-width full-height cards."
58,Evidence-status cards,3,"None Identified; No Direct Compensation Outcome; Unclear",complete,"Call counts distinct implementation events and keep these outside mechanism profiles."
59,Technical counts,6,"corpus source discovery mechanism claim and page-equivalent units",complete,"Use plain duplicate-grouping and event-grouping language."
60,Source and method notes,4,"lineage Human-AI roles review boundary and source availability",complete,"Remove handoff from title and move packaging procedure out of public copy."
