audit_id,concept,primary_pages,secondary_pages,relationship,duplication_status,disposition,concrete_correction
XD-001,Cross-mechanism analytical figures,18-20,none,"Growth staffing and lifecycle visuals relocated under Compensation mechanisms.",not_duplicated,retain_relocated,"Do not add a Cross-Mechanism section header bookmark or divider."
XD-002,Local comparisons,21,22-33,"Local comparisons test comparative claim direction before the claim overview.",complementary,retain,none
XD-003,Mechanism definitions,5,10-17,"Page 5 defines core terms; profiles explain the grouped wage channel and evidence.",complementary,retain,"Avoid copying glossary definitions verbatim into profile captions."
XD-004,Safety and non-safety imbalance,8,38,"Page 8 shows the layer-specific pattern; page 38 explains its limitation.",complementary,retain,"Cross-reference page 8 from page 38 rather than repeat the full chart."
XD-005,Evidence tiers,4,33 and 48,"Page 4 defines tiers; page 33 shows claim sensitivity; page 48 explains the methodological redesign.",complementary,retain,"Keep page 48 focused on consequences and do not repeat all definitions verbatim."
XD-006,Unsupported national and causal claims,29-31,33 and 38-40,"Claim cards preserve exact language; later pages synthesize boundaries and design limits.",complementary,retain,"Use short cross-references in limitations rather than restating all prohibited wording."
XD-007,Counterexamples,32,10-17 and 25-31,"Page 32 provides the complete seven-record overview; profiles and cards mention only relevant bounds.",complementary,retain,"Do not reproduce all seven counterexample descriptions outside page 32."
XD-008,Full workflow and tools,41,43,"Workflow supplies sequence; tools page identifies functions and actors.",potential_overlap,boundary_required,"Remove repeated stage descriptions from page 43 when the tool or responsibility adds no information."
XD-009,Execution design and scaling,44,45,"Page 44 explains lane mechanics and worktree tradeoffs; page 45 shows selected scale milestones.",complementary,retain,"Keep task chronology off page 44."
XD-010,Failures and repairs,46,47,"One canonical incident set is divided into evidence-workflow and analysis-publication families.",not_duplicated,retain_split,"Use one shared introduction only and assign each incident to exactly one page."
XD-011,Scale counts,2,6 and 59,"Executive metrics orient; corpus page explains units; appendix preserves full technical counts.",progressive_detail,retain,"Do not use different labels for the same denominator."
XD-012,Alaska status,10-17,49-57,"Profiles show grouped-map Alaska status; appendix preserves category-level Alaska counts.",complementary,retain,"Label grouped profile counts and category counts distinctly."
XD-013,Integrated profiles and category appendix,10-17,49-57,"Profiles synthesize 35 categories into eight reader concepts; appendix preserves all categories individually.",complementary,retain,"Keep category cards concise and avoid repeating full profile interpretation."
XD-014,Source-package procedure,60,repository planning documents,"Detailed compression and staging policy already belongs in repository handoff documentation.",duplicated_operational_detail,remove_from_public,"Replace the packaging card with a short source-availability note."
XD-015,Status categories,58,none,"Three evidence-status outcomes are separated from 35 reader-facing mechanisms.",not_duplicated,retain,"Keep status labels out of profile and mechanism totals."
